"drug","library","arm","drug_regulation","Term","Overlap","P.value","Adjusted.P.value","Combined.Score","Genes"
"aripiprazole","DSigDB","UP","assoc","Aripiprazole TTD 00002132","1/18",0.126778675360575,0.785849644101707,16.1710783083339,"HTR2C"
"apomorphine","DSigDB","UP","assoc","apomorphine TTD 00002109","1/18",0.126778675360575,0.785849644101707,16.1710783083339,"HTR2C"
"olanzapine","DSigDB","UP","assoc","olanzapine TTD 00009902","1/18",0.126778675360575,0.785849644101707,16.1710783083339,"HTR2C"
"dibenzo[def,p]chrysene","DSigDB","UP","assoc","Dibenzo[def,p]chrysene CTD 00001899","2/84",0.131136421689663,0.785849644101707,6.61816582801596,"IGFBP1;MMP3"
"tryptamine","DSigDB","UP","assoc","tryptamine CTD 00001466","1/19",0.133333724835071,0.785849644101707,14.8991418611153,"HTR2C"
"dirithromycin","DSigDB","UP","assoc","dirithromycin HL60 UP","3/171",0.137544082121934,0.785849644101707,4.74312007782048,"IBSP;GAGE2E;CTAG2"
"clotrimazole","DSigDB","UP","assoc","clotrimazole","2/87",0.138760841191523,0.785849644101707,6.20603212975077,"NPSR1;HTR2C"
"medroxyprogesterone","DSigDB","UP","assoc","Medroxyprogesterone acetate","1/20",0.139839892947361,0.785849644101707,13.7805285047067,"NPSR1"
"doxorubicin","DSigDB","UP","assoc","doxorubicin","1/20",0.139839892947361,0.785849644101707,13.7805285047067,"SLCO1B3"
"2,2',4,6,6'-pentachlorobiphenyl","DSigDB","UP","assoc","2,2',4,6,6'-pentachlorobiphenyl CTD 00003860","1/20",0.139839892947361,0.785849644101707,13.7805285047067,"MMP3"
"serotonin","DSigDB","UP","assoc","serotonin TTD 00010933","1/20",0.139839892947361,0.785849644101707,13.7805285047067,"HTR2C"
"picrotoxinin","DSigDB","UP","assoc","picrotoxinin PC3 UP","4/266",0.140065181698026,0.785849644101707,4.02625754494171,"SAGE1;GAGE2E;CTAG2;SSX1"
"glibenclamide","DSigDB","UP","assoc","glibenclamide HL60 UP","5/366",0.141357575014887,0.785849644101707,3.64213389285813,"IBSP;ALPP;CGB5;CTAG2;WNT2"
"fluoxetine","DSigDB","UP","assoc","fluoxetine","1/21",0.14629754177092,0.785849644101707,12.7904350012064,"HTR2C"
"propafenone","DSigDB","UP","assoc","propafenone","1/21",0.14629754177092,0.785849644101707,12.7904350012064,"HTR2C"
"ezetimibe","DSigDB","UP","assoc","Ezetimibe CTD 00003509","1/21",0.14629754177092,0.785849644101707,12.7904350012064,"NPSR1"
"apomorphine","DSigDB","UP","assoc","apomorphine","1/21",0.14629754177092,0.785849644101707,12.7904350012064,"HTR2C"
"anandamide","DSigDB","UP","assoc","Anandamide CTD 00002912","1/21",0.14629754177092,0.785849644101707,12.7904350012064,"MMP3"
"ketanserin","DSigDB","UP","assoc","Ketanserin CTD 00006189","1/21",0.14629754177092,0.785849644101707,12.7904350012064,"HTR2C"
"remifentanil","DSigDB","UP","assoc","REMIFENTANIL BOSS","1/21",0.14629754177092,0.785849644101707,12.7904350012064,"FEZF1"
"azacyclonol","DSigDB","UP","assoc","azacyclonol HL60 UP","4/275",0.152444162110797,0.785849644101707,3.72312138165191,"IBSP;GAGE2E;CGB5;CTAG2"
"ergotamine","DSigDB","UP","assoc","ERGOTAMINE","1/22",0.152707030711896,0.785849644101707,11.9090225264124,"HTR2C"
"methysergide","DSigDB","UP","assoc","methysergide","1/22",0.152707030711896,0.785849644101707,11.9090225264124,"HTR2C"
"dihydroergotamine","DSigDB","UP","assoc","dihydroergotamine","1/22",0.152707030711896,0.785849644101707,11.9090225264124,"HTR2C"
"sodium","DSigDB","UP","assoc","sodium azide CTD 00007311","1/22",0.152707030711896,0.785849644101707,11.9090225264124,"MMP3"
"cinchocaine","DSigDB","UP","assoc","cinchocaine PC3 UP","1/22",0.152707030711896,0.785849644101707,11.9090225264124,"ACTL8"
"potassium","DSigDB","UP","assoc","POTASSIUM PERSULFATE CTD 00000451","1/22",0.152707030711896,0.785849644101707,11.9090225264124,"CST4"
"1-methylphenanthrene","DSigDB","UP","assoc","1-METHYLPHENANTHRENE CTD 00001894","1/22",0.152707030711896,0.785849644101707,11.9090225264124,"IGFBP1"
"aripiprazole","DSigDB","UP","assoc","Aripiprazole CTD 00003220","1/22",0.152707030711896,0.785849644101707,11.9090225264124,"HTR2C"
"oltipraz","DSigDB","UP","assoc","Oltipraz CTD 00001231","1/22",0.152707030711896,0.785849644101707,11.9090225264124,"SLCO1B3"
"glyburide","DSigDB","UP","assoc","glyburide CTD 00006024","1/22",0.152707030711896,0.785849644101707,11.9090225264124,"SLCO1B3"
