"grouping","subgroup","n","events","HR_per_SD","CI_low","CI_high","p_value"
"overall","ALL",300,152,1.33189678798586,1.13409556318673,1.56419715536349,0.000475750598731414
"subtype","MSI",68,23,1.70968978514045,1.13268931367346,2.58061864460767,0.0106771164728305
"subtype","MSS/TP53+",79,38,1.25317115623407,0.924410448932359,1.69885352186444,0.14603609510732
"subtype","MSS/TP53-",107,58,1.00287451545585,0.774037872955314,1.29936444829343,0.982670450242364
"subtype","MSS/EMT",46,33,1.87380190546996,1.05799092379432,3.31868024760621,0.0312983813733235
"stage_bin","I-II",127,36,1.01064707080365,0.749188017670699,1.36335269335949,0.944718414438798
"stage_bin","III-IV",173,116,1.47329578734212,1.18102866247571,1.83788975320037,0.000592989561000909
