"","KVF37","L2HBK","L3RVN","L3RVR","L7Y62","L848P","LJDKG"
"Non-ul",0,11,0,73,69,0,146
"Ul",0,0,0,1,28,0,74
"GCN",0,0,0,22,83,1,113
"GCT",1,0,96,0,0,226,0
