"Genus","DESeq2_baseMean","DESeq2_log2FC_TvsN","DESeq2_p","DESeq2_padj","CLR_mean_Normal","CLR_mean_Tumor","CLR_diff_TvsN","Wilcox_p","Wilcox_padj","DESeq2_dir","CLR_dir","sig_DESeq2","sig_CLR","both_sig_sameDir"
"Pediococcus",0.348126188060337,-0.337248297875106,0.358296190780241,0.381045155274224,-3.32608093750437,-3.88602585574459,-0.559944918240227,2.04439133067693e-38,3.11305043534896e-38,"depleted_Tumor","depleted_Tumor",FALSE,TRUE,FALSE
"Actinomyces",110.303331715012,-0.0834768935800874,0.290475918354411,0.319047320159763,2.38403625497645,2.78893025283345,0.404893997856996,1.58420609511434e-37,2.30743061679697e-37,"depleted_Tumor","enriched_Tumor",FALSE,TRUE,FALSE
"Collinsella",11.8945625401268,-1.33715676286797,8.5854784550451e-55,1.98354157409663e-54,0.515401224318731,-0.315735675644843,-0.831136899963574,1.55369828921989e-37,2.30743061679697e-37,"depleted_Tumor","depleted_Tumor",TRUE,TRUE,TRUE
"[Prevotella]",318.800308518986,0.0894280799425429,0.331533685879164,0.358270273450064,3.25245351094153,3.9313932688746,0.678939757933074,3.99222541198056e-37,5.69104473622761e-37,"enriched_Tumor","enriched_Tumor",FALSE,TRUE,FALSE
"Oribacterium",38.5359517030121,-0.275252543121789,5.21294296691342e-12,7.43121656985531e-12,2.09580435713294,1.63497729202347,-0.460827065109471,7.88039174322329e-19,1.09997134749158e-18,"depleted_Tumor","depleted_Tumor",TRUE,TRUE,TRUE
"Atopostipes",8.66428439502561,-5.62102363474123,3.14700083138868e-182,1.24028856295907e-181,-0.410521391223383,-3.85752287423237,-3.44700148300899,7.09496292418697e-18,9.70127583511279e-18,"depleted_Tumor","depleted_Tumor",TRUE,TRUE,TRUE
"Neisseria",489.638473495988,-0.345707460752657,6.22785056368172e-31,1.15907218824077e-30,4.70147729272177,4.1543340193282,-0.547143273393564,4.0282883760467e-17,5.39790642390258e-17,"depleted_Tumor","depleted_Tumor",TRUE,TRUE,TRUE
"Mitsuokella",1.71417002955694,-3.27365744688825,2.33568844624438e-44,5.21637086327911e-44,-1.94022296740902,-3.86862912569995,-1.92840615829093,4.5033989828753e-17,5.91623003632637e-17,"depleted_Tumor","depleted_Tumor",TRUE,TRUE,TRUE
"Bordetella",7.57931863092594,-0.934127209949716,1.47621658581586e-28,2.6028029276227e-28,0.0168876708748579,-0.492624555832298,-0.509512226707156,5.74691726632388e-17,7.40468186237885e-17,"depleted_Tumor","depleted_Tumor",TRUE,TRUE,TRUE
"Acidisphaera",0.783255968763995,-2.34141041198275,9.87223962307196e-43,2.13367759595426e-42,-2.18214550290523,-3.87712381861174,-1.69497831570651,3.09364110281617e-14,3.9108293186544e-14,"depleted_Tumor","depleted_Tumor",TRUE,TRUE,TRUE
"Odoribacter",0.523282166229798,-1.78469887079106,1.39349241843521e-27,2.39394851372203e-27,-2.40998035655471,-3.86955256522454,-1.45957220866983,4.21818100095629e-11,5.23366901970502e-11,"depleted_Tumor","depleted_Tumor",TRUE,TRUE,TRUE
"Filifactor",9.86759870865939,0.324280927388575,3.02661160416837e-13,4.60870403362002e-13,0.225007474922595,0.496934429323546,0.271926954400951,1.3252886541931e-09,1.61444254238068e-09,"enriched_Tumor","enriched_Tumor",TRUE,TRUE,TRUE
"Catenibacterium",2.04473727489234,-1.13399042294237,4.95290595395474e-13,7.37432664255484e-13,-1.68361337914825,-2.41156895866665,-0.727955579518401,1.78293334746697e-07,2.13315239786227e-07,"depleted_Tumor","depleted_Tumor",TRUE,TRUE,TRUE
"Novosphingobium",2.92596487390523,-4.0571830566879,1.15353742213557e-61,2.86248175122529e-61,-1.67100976854756,-3.86848568076106,-2.1974759122135,6.65858933219554e-06,7.82676289924739e-06,"depleted_Tumor","depleted_Tumor",TRUE,TRUE,TRUE
"Vestibaculum",15.4414986119717,0.295760780435391,9.77700650722218e-07,1.31011887196777e-06,0.565937608767248,0.968500392932232,0.402562784164984,7.06228076087625e-05,8.15815191342601e-05,"enriched_Tumor","enriched_Tumor",TRUE,TRUE,TRUE
"Bulleidia",29.7576856219091,0.111173468289903,0.0381761166573365,0.0433525392549415,1.23725609874962,1.5647814386602,0.327525339910589,0.000141030497084233,0.000160153276349891,"enriched_Tumor","enriched_Tumor",TRUE,TRUE,TRUE
"Porphyromonas",24.2166699181841,0.0581528850495734,0.285509176468094,0.318818580389372,1.07202849710537,1.31940890026601,0.247380403160639,0.00182425254340518,0.00203708200680245,"enriched_Tumor","enriched_Tumor",FALSE,TRUE,FALSE
"Serpens",2.31962500968985,-3.71704327327574,7.84039770228042e-37,1.64158326891496e-36,-2.04377203102514,-3.86351001734674,-1.8197379863216,0.00440684143429697,0.00484030124750651,"depleted_Tumor","depleted_Tumor",TRUE,TRUE,TRUE
"Anaerosinus",491.790743033861,0.316462339498318,0.00106908665637191,0.00132645936994292,3.56327005839744,4.46366652944783,0.900396471050394,0.00919640535547145,0.00993805094865463,"enriched_Tumor","enriched_Tumor",TRUE,TRUE,TRUE
"Bacillus",344.963144171882,0.303332703246187,0.00111193404982635,0.00135453784251573,3.25942142348242,4.10267004817362,0.843248624691193,0.0341280897634962,0.036294952605623,"enriched_Tumor","enriched_Tumor",TRUE,TRUE,TRUE
"Moryella",27.9750609682724,-0.219221544277522,0.00249860825225759,0.00298940630180819,1.15341083689553,1.33976851302665,0.186357676131118,0.0351628734312015,0.0368111331232891,"depleted_Tumor","enriched_Tumor",TRUE,TRUE,FALSE
"Alloiococcus",0.928725173941019,-2.34321386257151,1.11192826104481e-18,1.73253938348843e-18,-2.44746644365471,-3.84547762010825,-1.39801117645354,0.0903439853128251,0.0931238002455274,"depleted_Tumor","depleted_Tumor",TRUE,FALSE,FALSE
"Streptobacillus",21.8668726119614,0.119954502572541,0.0164294373799689,0.0193117948150512,0.971483490039833,1.2554714654216,0.283987975381768,0.418268471599134,0.42460587268397,"enriched_Tumor","enriched_Tumor",TRUE,FALSE,FALSE
"1-68",0.635339499748156,-1.86012069009663,1.01714714029397e-12,1.48149692173252e-12,-2.61656202070862,-3.87226741080324,-1.25570539009462,0.460378747010464,0.460378747010464,"depleted_Tumor","depleted_Tumor",TRUE,FALSE,FALSE
