"cohort","n","events","HR","HR_low","HR_high","logHR","se","p","I2","tau2","Q_p"
"GSE84437",431,207,1.10870451388077,0.843963259999121,1.45649195570537,0.103192229115355,0.139205897357234,0.458516363155792,NA,NA,NA
"ACRG/GSE62254",300,152,1.89646631756297,1.37037013857705,2.62453507443285,0.639992321674294,0.165774191129915,0.000113096429029931,NA,NA,NA
"GSE15459",191,95,1.67570661382668,1.10667996676799,2.53731226727009,0.516234935320542,0.211672472678616,0.0147345594389442,NA,NA,NA
"POOLED (DL random-effects)",922,454,1.49918562085546,1.05128368023019,2.13791726062715,0.404922041244349,0.181079894315976,0.025341861972607,70.5847149302933,0.0689025365138981,0.0333868524857881
