"gene","HR","HR_low","HR_high","p"
"SERPINE1",1.39887049412213,1.2018520239939,1.62818601646372,1.46493116189796e-05
"CDH11",1.28796078708077,1.09452416792695,1.51558370081456,0.00230577701234441
"LUM",1.27707608492116,1.08795420060554,1.49907351409629,0.00278209077444542
"POSTN",1.27367985410967,1.08049915756296,1.50139901489956,0.0039452375242769
"BGN",1.2662499162181,1.07704071619016,1.48869845514666,0.00425303376903026
"DCN",1.24413112584526,1.06513145240433,1.45321242256343,0.00584961126107248
"FAP",1.24035580775375,1.05407444284636,1.45955775730035,0.0094802493836746
"COL1A2",1.23082606007771,1.05113689423838,1.44123262961299,0.00989851858736383
"COL1A1",1.20685302002234,1.03241161410026,1.41076891430204,0.0182545234344596
