"metric","value"
"coef_SERPINE1","0.30709"
"coef_POSTN","0.16938"
"coef_COL1A1","-0.02073"
"coef_COL1A2","-0.18574"
"coef_DCN","0.1435"
"panel_genes","SERPINE1;POSTN;COL1A1;COL1A2;DCN"
"panel_n_genes","5"
"TCGA_apparent_Cindex","0.6175"
"TCGA_optimism","0.02"
"TCGA_optimism_corrected_Cindex","0.5975"
"TCGA_25gene_Cindex","0.7189"
"ACRG_panel_Cindex","0.5452"
"ACRG_panel_N","300"
"ACRG_panel_events","152"
"ACRG_25gene_Cindex","0.6079"
"ACRG_25gene_Cindex_summary_ref","0.6079"
