"gene","HR","lo","hi","p"
"NTN5",0.904787346373892,0.750968326055154,1.0901127434477,0.29260532292021
"SIGLEC5",1.23918267141661,0.468238442846785,3.27946950233999,0.665828759510516
"MPV17L",1.03048641198403,0.948638890782145,1.11939564738716,0.476944888965407
"MPLKIP",0.993187842229467,0.743113514778832,1.32741777714271,0.963161866874278
"SPAG16",1.15229452461579,1.0214763101645,1.29986633879518,0.0211349126520653
