"category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Excretory system","hsa04962","Vasopressin-regulated water reabsorption","23/2089","41/6339",0.00184836817823002,0.0152686558040244,0.0124651406534051,"2778/8766/1783/396/5878/8655/5868/1780/140735/10488/115/554/64764/5567/360/5566/398/1639/9230/10540/6844/5869/361",23
"Metabolism","Amino acid metabolism","hsa00380","Tryptophan metabolism","19/2089","32/6339",0.00186520511242343,0.0152686558040244,0.0124651406534051,"1892/501/1545/23498/11185/7166/316/1543/2639/1743/223/847/217/4129/224/4128/38/3030/3033",19
"Metabolism","Carbohydrate metabolism","hsa00640","Propanoate metabolism","18/2089","30/6339",0.00207948349123702,0.0166358679298962,0.0135813156245863,"1892/8803/55902/26275/594/51/18/35/1629/5095/8802/84693/8801/23417/3030/32/8310/4329",18
"Organismal Systems","Digestive system","hsa04972","Pancreatic secretion","39/2089","80/6339",0.00230159518810103,0.0172916854689735,0.0141167169049933,"2778/1811/8766/683/9635/50487/6548/219931/22802/6343/1131/760/2776/9545/7220/5319/115/493/81579/387/885/5322/6262/108/5579/1179/1359/1357/3778/6344/491/111/1358/3708/886/482/1360/477/5906",39
"Metabolism","Amino acid metabolism","hsa00350","Tyrosine metabolism","17/2089","28/6339",0.00230883300295953,0.0172916854689735,0.0141167169049933,"2184/81889/3242/124/127/126/2805/128/2954/316/7173/8639/218/4129/4128/125/131",17
"Metabolism","Metabolism of other amino acids","hsa00410","beta-Alanine metabolism","17/2089","28/6339",0.00230883300295953,0.0172916854689735,0.0141167169049933,"1892/501/26275/1806/57571/51/18/35/223/217/8639/218/23417/224/3030/8310/4329",17
"Organismal Systems","Nervous system","hsa04725","Cholinergic synapse","46/2089","100/6339",0.00422072397783889,0.0309519758374852,0.0252688080252196,"89832/775/2782/10000/814/1137/2787/1143/207/3768/1141/815/9132/208/2786/1131/2776/54331/10488/115/817/64764/1128/5567/2791/108/5579/1129/818/1132/5566/2353/55970/111/2767/596/2775/2770/3708/56479/816/6572/468/5595/60482/2788",46
"Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation","68/2089","158/6339",0.00466229844706443,0.0334924296605445,0.0273428029226335,"5970/89832/775/2778/896/2252/10000/2944/604/1137/9049/1143/6777/5465/1545/207/9970/1141/7367/85315/208/2948/28514/6199/6257/10488/115/4258/64764/2099/2947/6655/5567/2255/6196/2938/1543/108/5579/1576/5566/2247/4259/2053/2353/5605/111/596/408/367/2770/5241/5894/2941/155/164091/3725/468/6256/572/27330/5595/2052/2946/9314/2949/6258/154",68
"Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","43/2089","93/6339",0.00496069909865212,0.034923321654511,0.0285109653459375,"775/2782/2778/5337/8605/6506/2900/2787/246213/6512/5533/2786/2897/2776/54331/7220/115/1742/2890/2898/5567/2791/5532/108/5579/10991/2901/5566/2891/2903/55970/111/2775/2770/3708/2892/9455/57030/2893/2899/2752/5595/2788",43
"Organismal Systems","Endocrine system","hsa04912","GnRH signaling pathway","36/2089","76/6339",0.00603751321680446,0.0416706794571602,0.0340194243175979,"5580/775/2778/5337/8605/1432/2185/815/1839/2776/115/998/817/6416/5609/51806/6655/5567/4215/108/5579/818/1958/5566/5605/111/2767/5598/3708/816/5894/5602/3725/468/5595/801",36
"Organismal Systems","Digestive system","hsa04970","Salivary secretion","31/2089","64/6339",0.00700521196609749,0.0474198963858907,0.0387130134968545,"2778/5593/683/147/146/6548/5592/55503/1131/2776/115/493/51806/5567/108/5579/1471/3778/5566/491/6263/111/3708/155/482/148/4842/477/6844/801/154",31
"Organismal Systems","Digestive system","hsa04978","Mineral absorption","24/2089","47/6339",0.00750637754056288,0.0498536772505308,0.040699921918047,"1811/115019/7018/4496/3162/475/538/6546/6550/55503/493/3163/4495/113235/6547/795/491/4493/2495/482/79901/477/4499/4501",24
