"model","interval","HR","CI_low","CI_high","p"
"survSplit step (age-adj, Stage-stratified)","[0,12)m",1.98584798302962,1.45006589886304,2.71959516791264,1.89962212233532e-05
"survSplit step (age-adj, Stage-stratified)","[12,36)m",1.09925215120546,0.862357589483884,1.40122300385043,0.444767943334474
"survSplit step (age-adj, Stage-stratified)","[36,60)m",1.06446163970418,0.707202401626049,1.60219843682156,0.764611254951793
"survSplit step (age-adj, Stage-stratified)","[60+)m",0.943645968571567,0.434518619866786,2.049320036675,0.883449620209146
