"model","term","chisq","df","p"
"signature","risk",9.77803744099326,1,0.00176608721658021
"signature","GLOBAL",9.77803744099326,1,0.00176608721658021
"signature+Stage+Age","risk",8.76119461731865,1,0.00307707429625576
"signature+Stage+Age","Stage",2.98238817998992,3,0.394348550764324
"signature+Stage+Age","Age",1.84339222842002,1,0.174553877232423
"signature+Stage+Age","GLOBAL",13.9303224949012,5,0.0160581273574546
