"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"ethanol 702 human GSE44456 sample 3038","11/300",1.6910041945873e-05,0.000588933654305498,0,0,5.3563764905031,58.85373793832,"ATP4A;LGI4;TSC22D3;MT1M;EPHX1;FAM107A;ID4;HBB;MT1X;PLCD1;GSTM5"
"dexamethasone DB01234 mouse GSE484 sample 2711","12/358",1.69810489618217e-05,0.000588933654305498,0,0,4.90173410404624,53.8377681333412,"RNF11;INPP5A;UBL3;GSN;HPGD;TEF;GPX3;DPT;ADRB2;IGFBP6;KLF4;LYVE1"
"imatinib DB00619 human GSE1922 sample 2517","10/247",1.77430764912433e-05,0.000588933654305498,0,0,5.91109101868596,64.6644698995212,"ALAD;CYB5R1;KAT2B;GSTM2;BTG2;SLC7A8;CITED2;NCOA4;HBB;YPEL5"
"formaldehyde 712 rat GSE7002 sample 3548","10/247",1.77430764912433e-05,0.000588933654305498,0,0,5.91109101868596,64.6644698995212,"TEF;MPZ;ADHFE1;TSC22D3;CRY2;PLP1;MAL;ADH7;S100B;LYVE1"
"troglitazone DB00197 rat GSE21329 sample 2834","9/198",1.89946988643333e-05,0.000606245184564175,0,0,6.63998649105032,72.1856212885944,"CFD;CKMT2;MYL6;PPP1R3C;MPZ;FHL1;MKNK2;CIDEA;S100B"
"ethanol 702 rat GSE55243 sample 3107","11/306",2.03101028324896e-05,0.000606245184564175,0,0,5.24582368003902,56.6779360275313,"BTG2;BTD;CITED2;SCNN1B;CIRBP;ETFDH;HBB;PYGM;ADRB2;KLF4;GSTM5"
"ubiquinol 9962735 mouse GSE15129 sample 3461","10/251",2.03720861556907e-05,0.000606245184564175,0,0,5.8117960877297,62.7752141472755,"CFD;ALAD;PINK1;GSN;GPX3;ADHFE1;CIDEA;SRSF5;HADH;SLC25A4"
"dexamethasone DB01234 rat GSE15563 sample 2713","11/309",2.22218120698529e-05,0.000639247460542768,0,0,5.1922166964415,55.6316746644495,"MYL6;GSTM2;TSC22D3;FHL1;MAMDC2;DPT;HBB;SRSF5;PTGR1;SLC25A4;GPM6B"
"Perfluorooctanoic Acid 9554 mouse GSE13044 sample 3521","10/265",3.23809791330395e-05,0.000901444677155261,0,0,5.48879551820728,56.7428352889672,"SCNN1G;CBR1;HSPB8;P2RY14;EPHX1;CIRBP;ETFDH;ABHD6;ASPA;SLC25A4"
"dexamethasone DB01234 mouse GSE11056 sample 3358","10/272",4.03763381136636e-05,0.00108889936850287,0,0,5.340239912759,54.0286310913791,"CFD;ALDH6A1;HPGD;FAM107A;CIDEA;ID4;IGFBP6;ADH7;NDRG2;PTGS1"
"methylprednisolone 6741 rat GSE490 sample 3665","10/274",4.29493056951529e-05,0.00112318941863385,0,0,5.29924242424242,53.2864796024445,"PPP1CB;CKMT2;TOM1L2;ALDH6A1;BTG2;GPX3;PYGM;SRSF5;IGFBP6;LYVE1"
"CONCANAVALIN A 596316 mouse GSE17184 sample 3365","11/334",4.51938260284443e-05,0.00112839529299149,0,0,4.78421720827672,47.863940619101,"CSRNP1;GSTM2;ALDH6A1;BTG2;PPP1R3C;HSPB8;TSC22D3;NDRG2;ELL2;JDP2;LHPP"
"formaldehyde 712 rat GSE7002 sample 3544","10/277",4.70709508084514e-05,0.00112839529299149,0,0,5.23889780631354,52.1996154975292,"RDH12;TEF;MPZ;HSPB8;TSC22D3;MAL;SOSTDC1;ADRB2;ADH7;S100B"
"rituximab DB00073 human GSE24742 sample 2514","10/277",4.70709508084514e-05,0.00112839529299149,0,0,5.23889780631354,52.1996154975292,"PPP1CB;CFD;MYL6;SCARA5;AKR1C1;MAMDC2;NCOA4;C4ORF3;HBB;CALM1"
"methylprednisolone 6741 rat GSE490 sample 3660","10/278",4.85178033783205e-05,0.00113164498149975,0,0,5.21908315565032,51.8441787350315,"PPP1CB;CKMT2;TEF;PYGM;ADRB2;IGFBP6;SLC25A4;RXRG;LYVE1;VAMP2"
"formaldehyde 712 rat GSE7002 sample 3539","9/224",4.99792902904579e-05,0.00113505598738592,0,0,5.82929242949035,57.7327399747774,"RDH12;PMM1;TEF;MPZ;TSC22D3;PLP1;MAL;CWH43;S100B"
