"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"sangivamycin (NSC 65346) 14978 human GSE13477 sample 2504","8/330",0.00350684533691863,0.0197475634955992,0,0,3.41667395678418,19.3145891123045,"GINS1;TPX2;BRIP1;RCC2;UBE2T;ATAD2;HMMR;PUS7"
"etanercept DB00005 human GSE11903 sample 2608","7/264",0.00383251491614921,0.0212685556110612,0,0,3.73189845174281,20.7651564557744,"CENPE;ZWILCH;TROAP;OSBPL3;KIF4A;KIF20A;DLGAP5"
"etanercept DB00005 human GSE41663 sample 2603","8/335",0.00383886593270974,0.0212685556110612,0,0,3.36356979799285,18.7101203218429,"TOP2A;GINS1;ANLN;KIF4A;KIF11;CENPA;CEP55;EZH2"
"Cobalt dichloride hexahydrate 24643 rat GSE51207 sample 3117","8/338",0.00404945114322651,0.0222557834831729,0,0,3.33247972684592,18.35921042419,"TOP2A;CENPE;CENPI;HJURP;TRIP13;GTSE1;IQGAP3;NDC80"
"MK-886 CID 3651377 human GSE3202 sample 3192","9/418",0.00435663768856434,0.0237540483495532,0,0,3.03402174478489,16.4931081397756,"RAD51AP1;ZWILCH;UBE2C;UBE2T;CDK1;HMMR;TRIP13;CENPA;MEST"
"SODIUM BUTYRATE 5222465 mouse GSE4410 sample 3584","8/343",0.00442014901979783,0.0238423598896565,0,0,3.28190035736809,17.7930914719749,"TOP2A;ANLN;DBF4;UBE2C;GDF15;CDK1;MKI67;CENPA"
"Retinoic acid 444795 human GSE54464 sample 3140","6/204",0.00444224463737413,0.0238423598896565,0,0,4.13552188552189,22.4004491580455,"ASPM;CENPE;CENPF;HMMR;HOXA13;E2F7"
"carboplatin DB00958 human GSE7035 sample 3060","9/422",0.00463279736978188,0.0246723394809314,0,0,3.00401834011643,16.1453801776999,"TPX2;ASPM;DKC1;HJURP;MYBL2;TRIP13;PUS7;FOXM1;PRR11"
"doxorubicin DB00997 human GSE58074 sample 3180","7/274",0.00468876229616982,0.0247783053651436,0,0,3.59029360152956,19.2532604800142,"ANLN;CENPE;CENPF;DKC1;KIF11;TRIP13;PUS7"
"Bisphenol A 6623 human GSE17624 sample 2663","7/277",0.00497180342958312,0.0260735034818596,0,0,3.54985754985755,18.8283473260121,"ANLN;UBE2C;UHRF1;CDK1;BUB1B;MEST;SOX4"
"EPZ004777 56962336 human GSE29828 sample 2649","8/352",0.00515274161944554,0.0268176779739324,0,0,3.19456272518834,16.8296795340812,"GINS1;UBE2C;UHRF1;UBE2T;BUB1B;NCAPG;HMMR;SHCBP1"
"4-Hydroxynonenal 5283344 human GSE2397 sample 3080","8/354",0.00532748164254829,0.0275186457776743,0,0,3.1757713913539,16.6247714699071,"TPX2;DKC1;UBE2C;UHRF1;UBE2T;ENC1;PUS7;PKMYT1"
"lung cancer DB00928 human GSE29077 sample 2535","8/355",0.00541653515899952,0.0277698481659155,0,0,3.1664569549864,16.5235189638696,"TOP2A;GINS1;ASPM;ORC6;CDK1;KIF11;SHCBP1;DLGAP5"
"Streptozotocin effect on pancreas of offspring of protein-restricted dams 29327 mouse GSE38215 sample 3248","8/356",0.0055067233345906,0.0278170509622334,0,0,3.15719604986239,16.4230566606942,"ESM1;UBE2C;CDK1;MKI67;ECT2;BRCA2;SHCBP1;EZH2"
"imatinib DB00619 human GSE24493 sample 2764","8/356",0.0055067233345906,0.0278170509622334,0,0,3.15719604986239,16.4230566606942,"GINS1;DKC1;UHRF1;UBE2T;ATAD2;PUS7;DTL;MEST"
"decitabine DB01262 human GSE29077 sample 2546","8/357",0.00559805543089836,0.0280720005914392,0,0,3.14798821582792,16.3233765791208,"RAD51AP1;GINS1;TPX2;MELK;DBF4;TTK;DTL;SHCBP1"
"cetuximab DB00002 human GSE61495 sample 3136","10/518",0.00577664175025175,0.028757629582775,0,0,2.71962879640045,14.0167839956341,"FANCI;TOP2A;CENPF;NCAPG;KNTC1;KIF11;ECT2;CLDN1;BUB1;CEP55"
"SODIUM BUTYRATE 5222465 mouse GSE4410 sample 3582","7/289",0.00623437510040206,0.0308130625465915,0,0,3.39671675841889,17.2474303197511,"ANLN;DBF4;UBE2C;GDF15;CDK1;MKI67;CENPA"
"TRICHLOROETHYLENE 6575 mouse GSE24278 sample 3323","7/293",0.00670422639196391,0.0328985966519943,0,0,3.34852560027385,16.759428045495,"RAD51AP1;COL1A1;CENPE;ESM1;UBE2T;HTRA4;SHCBP1"
"Colorectal Adenocarcinoma DB00482 human GSE11237 sample 2458","7/299",0.00745779901558525,0.0363369356291281,0,0,3.27871443624868,16.0607660967318,"SDS;GDF15;ENC1;NFE2L3;BUB1B;KIF2C;SOX9"
"Heregulin 56310950 human GSE22288 sample 3215","7/300",0.0075892545930364,0.0367170275029296,0,0,3.26735721616268,15.9480421320603,"GDF15;ENC1;LIF;SOX9;INHBA;SOX4;PGM2L1"
"VX 39793 human GSE33606 sample 3345","8/380",0.00803592595000906,0.0386061617318617,0,0,2.94987127063456,14.2296865192529,"FAP;CKAP2L;DEPDC1;KIF11;PLA2G7;CEP55;KIF15;CTHRC1"
"doxycycline DB00254 human GSE41035 sample 3041","7/308",0.00870351933082379,0.0415230401408052,0,0,3.1792161327045,15.0822897613287,"FANCI;TPX2;DEPDC1B;C5ORF34;UBE2C;CDCA5;CTHRC1"
"HYPOCHLOROUS ACID 24341 mouse GSE15457 sample 3383","7/309",0.0088508249004362,0.0419345979765495,0,0,3.16852683740101,14.978401430275,"UBE2C;UBE2T;NUF2;BUB1B;MYBL2;MKI67;FOXM1"
"estradiol 5757 mouse GSE2195 sample 3625","6/237",0.00903879468889886,0.0425318626799556,0,0,3.53878066378066,16.6543137569506,"COL1A1;TOP2A;ANLN;CDK1;KIF20A;ECT2"
"etanercept DB00005 human GSE47751 sample 2593","6/238",0.00921674280825651,0.0430741653691988,0,0,3.52334770114943,16.5129919794343,"ATAD5;UHRF1;PUS7;FOXM1;LRP8;KIF15"
"chlorambucil DB00291 human GSE8832 sample 2691","6/239",0.00939718508722809,0.0436207172630115,0,0,3.50804721030043,16.3732669342655,"SPAG5;CENPK;KIF20A;PRR11;CENPA;NDC80"
"PLX4032 DB05238 human GSE24862 sample 2570","8/393",0.00972701926672317,0.044848739840529,0,0,2.84836290470093,13.1960317435851,"ESM1;GDF15;LIF;SOX9;INHBA;CLDN1;PLA2G7;E2F7"
"NICKEL 935 human GSE6281 sample 3479","7/318",0.010260294151908,0.0469921472157386,0,0,3.07541654486992,14.083789398668,"GINS1;TPX2;MELK;UHRF1;NFE2L3;SNX10;MYBL2"
"IFN-alphacon1 DB05258 human GSE5542 sample 2473","6/244",0.0103374530112836,0.0470319882036544,0,0,3.43347338935574,15.6977777236741,"TPX2;UBE2C;HJURP;BUB1B;MYBL2;CEP55"
"alfacalcidol 5282181 human GSE15947 sample 3364","7/324",0.0112867416241129,0.0509314773960164,0,0,3.01628024971874,13.5253823491862,"ASPM;CKAP2L;TTK;KIF11;CLDN1;MEST;NDC80"
"etanercept DB00005 human GSE47751 sample 2592","6/249",0.0113428181100299,0.0509314773960164,0,0,3.36196844993141,15.0588299061298,"GEN1;FAP;C1QTNF6;CDC7;PUS7;LRP8"
"MEK inhibitor (MEKi -AZD6244) 10127622 human GSE55624 sample 3250","7/325",0.0114648054370797,0.0511449437355439,0,0,3.00664115758455,13.4350958345049,"DEPDC1B;DBF4;OSBPL3;NFE2L3;TTK;SOX9;NDC80"
"PBDE 85 177368 human GSE8588 sample 3051","6/250",0.0115519009097804,0.0512010059678652,0,0,3.34801912568306,14.935196177298,"BUB1B;KIF20A;KIF11;CLDN1;MEST;DLGAP5"
"doxycycline DB00254 human GSE2624 sample 3076","7/328",0.0120112310278062,0.0528956135647618,0,0,2.97808422107488,13.1688297727525,"COL1A1;TPX2;UBE2C;GDF15;COL11A1;TRIP13;SOX4"
"doxorubicin, 2xEC50, 5 d 31703 human GSE6930 sample 3265","9/493",0.0121944304019614,0.0533603419499841,0,0,2.55398276771584,11.254829852582,"GINS1;TPX2;ASPM;MELK;CDK1;BUB1B;MEST;CEP55;DLGAP5"
"doxycycline DB00254 mouse GSE29848 sample 3209","7/333",0.0129634719789399,0.0563664889210869,0,0,2.93165729975546,12.739867786785,"HELLS;DBF4;UBE2C;CDCA5;UBE2T;MKI67;ECT2"
"apratoxin A 6326668 human GSE2742 sample 3069","8/417",0.0135274678644064,0.0584488705839448,0,0,2.67791590619512,11.5231605263622,"GINS1;UBE2C;ENC1;ATAD2;NFE2L3;TRIP13;PKMYT1;LRP8"
"MLN4924 73014187 human GSE30531 sample 2646","7/343",0.015029256976039,0.0645318721408673,0,0,2.84294871794872,11.9340064954667,"ANLN;NUF2;ENC1;NEK2;SNX10;HMMR;INHBA"
"SODIUM BUTYRATE 5222465 mouse GSE4410 sample 3583","7/345",0.0154690495166375,0.06600768334118,0,0,2.82583688500848,11.7806711118784,"ANLN;DBF4;UBE2C;GDF15;CDK1;MKI67;CENPA"
"estradiol 5757 mouse GSE2889 sample 3608","8/431",0.0161932512599003,0.0686713803429106,0,0,2.58742050411214,10.6683505691068,"TOP2A;ANLN;UBE2C;CDK1;BUB1B;MKI67;NCAPH;EZH2"
"imatinib DB00619 human GSE1922 sample 2517","7/353",0.017320175818797,0.0729997594325984,0,0,2.75936779983023,11.191673570105,"ZWILCH;KIF14;DEPDC1;KIF11;PUS7;LRP8;CEP55"
"2,2',4,4',5,5'-Hexachlorobiphenyl   (PCB-153) 37034 human GSE6878 sample 3350","8/442",0.0185403490250427,0.077250973018765,0,0,2.52041279937691,10.0509170154255,"TOP2A;TPX2;DEPDC1B;DKC1;UBE2C;ENC1;BUB1B;CLDN1"
"doxycycline DB00254 human GSE2624 sample 3075","7/358",0.0185537271442449,0.077250973018765,0,0,2.7193632578248,10.8423313287176,"FANCI;COL1A1;TPX2;GDF15;COL11A1;TRIP13;SOX4"
"cycloheximide 6197 human GSE8597 sample 3059","6/280",0.0191617234520655,0.0793018313949941,0,0,2.97688564476886,11.7731080902927,"FANCI;BLM;SALL4;CENPK;TRIP13;LRP8"
"Hydrogen Peroxide 784 mouse GSE3078 sample 3598","7/365",0.0203828480036052,0.0838503986735136,0,0,2.66523420713365,10.3759207227221,"COL1A1;ANLN;UBE2C;MKI67;ECT2;CENPA;MEST"
