"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"LUCANTHONE CTD 00006227","60/213",1.09361910126677e-80,1.91602066541938e-77,0,0,85.8257080610022,15801.9989233194,"ARHGAP11A;TOP2A;HJURP;KIF14;BUB1B;MCM10;KIF11;MKI67;BRCA2;FOXM1;CLDN1;KIF15;EXO1;NUF2;NEK2;MYBL2;CEP55;DLGAP5;CKAP2L;KIF23;ASPM;DEPDC1B;MELK;DEPDC1;KIF2C;KIF20A;PRR11;DTL;BLM;CDCA2;NCAPG;TTK;HMMR;IQGAP3;CENPA;NCAPH;RAD51AP1;CST1;ORC6;ECT2;BUB1;FANCI;C5ORF34;SPAG5;GDF15;XRCC2;ATAD2;SHCBP1;NDC80;TPX2;ANLN;CENPE;CENPF;CENPI;KIF4A;UBE2T;CENPK;CDK1;CENPL;EZH2"
"Dasatinib CTD 00004330","71/502",2.00218002579171e-73,1.75390970259354e-70,0,0,40.4930834973127,6778.31846080658,"ARHGAP11A;TOP2A;ZWILCH;HJURP;BUB1B;MCM10;MKI67;BRCA2;FOXM1;MTBP;EXO1;KNTC1;MYBL2;SOX4;DLGAP5;GEN1;HELLS;RFC3;CKAP2L;BGN;KIF23;ASPM;DEPDC1B;MELK;FANCD2;TIMELESS;DEPDC1;KIF2C;PRR11;DTL;PRIM2;CDCA2;UHRF1;CDCA5;COL11A1;NCAPG;TTK;HMMR;SKA3;IQGAP3;CENPA;NCAPH;ACAN;ORC6;CLSPN;ECT2;BUB1;E2F7;FANCI;GINS1;POLQ;STIL;ATAD5;XRCC2;ATAD2;CDC7;SHCBP1;NDC80;TPX2;ANLN;CENPE;CENPF;CENPI;KIF4A;UBE2T;CENPK;CDK1;CENPL;TRIP13;CENPO;EZH2"
"testosterone CTD 00006844","88/1247",1.12490041606511e-66,6.56941842982022e-64,0,0,22.8896991288374,3475.86768782939,"ARHGAP11A;TOP2A;ZWILCH;DSCC1;HJURP;KIF14;BUB1B;MCM10;KIF11;MKI67;BRCA2;FOXM1;KIF15;MTBP;EME1;EXO1;NUF2;NEK2;KNTC1;MYBL2;SOX9;GTSE1;CEP55;DLGAP5;GEN1;TEAD4;HELLS;RFC3;CKAP2L;KIF23;ASPM;DEPDC1B;MELK;DBF4;FANCD2;DEPDC1;KIF2C;KIF20A;PRR11;DTL;BLM;CDCA2;UHRF1;TROAP;CDCA5;NCAPG;TTK;HMMR;WDR62;SKA3;PKMYT1;IQGAP3;CENPA;NCAPH;RAD51AP1;BRIP1;ORC6;CLSPN;ECT2;BUB1;E2F7;FANCI;GINS1;POLQ;STIL;C5ORF34;ATAD5;SPAG5;UBE2C;XRCC2;INHBA;FANCB;SHCBP1;NDC80;TPX2;ANLN;CENPE;KIF18A;CENPF;CENPI;KIF4A;UBE2T;CENPK;CDK1;CENPL;TRIP13;CENPO;EZH2"
"Enterolactone CTD 00001393","74/971",1.131109884853e-56,4.95426129565613e-54,0,0,20.5732852197383,2650.28281684992,"TOP2A;ZWILCH;DSCC1;HJURP;KIF14;BUB1B;MCM10;SNX10;KIF11;MKI67;BRCA2;FOXM1;CLDN1;EME1;EXO1;SALL4;CHEK1;ENC1;MYBL2;SOX9;GTSE1;SOX4;CEP55;DLGAP5;HELLS;RFC3;PGM2L1;ASPM;MELK;DBF4;FANCD2;DKC1;TIMELESS;DEPDC1;KIF2C;KIF20A;PRIM2;BLM;CDCA2;UHRF1;CDCA5;NCAPG;TTK;HMMR;SKA3;PKMYT1;IQGAP3;CENPA;RAD54B;RAD51AP1;ORC6;ECT2;E2F7;FANCI;GINS1;STIL;C5ORF34;SPAG5;GDF15;ATAD2;CDC7;SHCBP1;NDC80;TPX2;ANLN;KIF18A;CENPF;CENPI;UBE2T;CDK1;CENPL;TRIP13;CENPO;EZH2"
"calcitriol CTD 00005558","92/1958",1.36044299763069e-54,4.76699226369794e-52,0,0,15.287430239864,1896.12725523151,"ARHGAP11A;TOP2A;ZWILCH;DSCC1;HJURP;KIF14;BUB1B;MCM10;KIF11;MKI67;BRCA2;FOXM1;CLDN1;KIF15;MTBP;EME1;EXO1;NUF2;NEK2;KNTC1;MYBL2;SOX9;GTSE1;SOX4;CEP55;DLGAP5;GEN1;TEAD4;HELLS;RFC3;CKAP2L;KIF23;ASPM;DEPDC1B;MELK;DBF4;FANCD2;DEPDC1;KIF2C;KIF20A;PRR11;DTL;BLM;CDCA2;UHRF1;TROAP;CDCA5;NCAPG;TTK;HMMR;WDR62;SKA3;PKMYT1;IQGAP3;CENPA;NCAPH;RAD51AP1;BRIP1;ORC6;CLSPN;ECT2;BUB1;E2F7;FANCI;GINS1;POLQ;STIL;C5ORF34;ATAD5;SPAG5;UBE2C;GDF15;XRCC2;INHBA;FANCB;SHCBP1;NDC80;COL1A1;TPX2;ANLN;CENPE;KIF18A;CENPF;CENPI;KIF4A;UBE2T;CENPK;CDK1;CENPL;TRIP13;CENPO;EZH2"
"resveratrol CTD 00002483","84/1601",1.76735381019633e-52,5.16067312577329e-50,0,0,15.3809552346138,1832.87062967411,"TOP2A;ZWILCH;DSCC1;HJURP;KIF14;BUB1B;MCM10;SNX10;KIF11;MKI67;BRCA2;FOXM1;CLDN1;EXO1;SALL4;CHEK1;ENC1;NEK2;KNTC1;MYBL2;SOX9;GTSE1;SOX4;CEP55;DLGAP5;HELLS;RFC3;CKAP2L;KIF23;PGM2L1;ASPM;MELK;DBF4;FANCD2;DKC1;TIMELESS;DEPDC1;KIF2C;KIF20A;RNFT2;PRIM2;BLM;CDCA2;UHRF1;TROAP;CDCA5;NCAPG;TTK;HMMR;SKA3;CENPA;LRP8;NCAPH;RAD54B;RAD51AP1;ORC6;E2F3;ECT2;BUB1;E2F7;FANCI;GINS1;STIL;ATAD5;SPAG5;GDF15;XRCC2;ATAD2;LIF;CDC7;SHCBP1;NDC80;COL1A1;TPX2;ANLN;CENPE;KIF18A;CENPF;UBE2T;CDK1;CENPL;TRIP13;CENPO;EZH2"
"COUMESTROL CTD 00005717","85/1812",2.62901262968541e-49,6.58004303886976e-47,0,0,13.7228185826912,1535.03532659217,"TOP2A;ZWILCH;DSCC1;HJURP;KIF14;BUB1B;MCM10;SNX10;KIF11;MKI67;BRCA2;FOXM1;CLDN1;KIF15;EME1;EXO1;SALL4;CHEK1;ENC1;NEK2;KNTC1;MYBL2;SOX9;GTSE1;SOX4;CEP55;DLGAP5;HELLS;RFC3;CKAP2L;PGM2L1;ASPM;DEPDC1B;MELK;DBF4;FANCD2;DKC1;TIMELESS;DEPDC1;KIF2C;KIF20A;PRIM2;BLM;CDCA2;UHRF1;TROAP;CDCA5;NCAPG;TTK;HMMR;SKA3;PKMYT1;IQGAP3;CENPA;LRP8;NCAPH;RAD54B;RAD51AP1;ORC6;ECT2;BUB1;E2F7;FANCI;GINS1;POLQ;STIL;C5ORF34;SPAG5;GDF15;ATAD2;CDC7;SHCBP1;NDC80;TPX2;ANLN;CENPE;KIF18A;CENPF;CENPI;UBE2T;CDK1;CENPL;TRIP13;CENPO;EZH2"
"troglitazone CTD 00002415","56/651",2.12957147505342e-44,4.66376153036698e-42,0,0,19.279098873592,1938.66421825471,"TOP2A;KIF14;BUB1B;KIF11;MKI67;FOXM1;CLDN1;KIF15;EME1;EXO1;CHEK1;NUF2;NEK2;KNTC1;MYBL2;SOX9;GTSE1;DLGAP5;RFC3;KIF23;ASPM;MELK;FANCD2;TIMELESS;KIF2C;KIF20A;BLM;UHRF1;CDCA5;NCAPG;TTK;PKMYT1;IQGAP3;CENPA;RAD51AP1;ORC6;BUB1;POLQ;STIL;SPAG5;UBE2C;GDF15;XRCC2;LIF;CDC7;FANCB;NDC80;COL1A1;TPX2;ANLN;CENPE;CENPF;KIF4A;CDK1;TRIP13;EZH2"
"etoposide MCF7 DOWN","26/48",1.37245816684295e-43,2.67171856478761e-41,0,0,188.976539589443,18650.9555906462,"ARHGAP11A;TROAP;KIF14;BUB1B;NCAPG;KIF11;HMMR;MKI67;CENPA;KIF15;BUB1;GTSE1;CEP55;DLGAP5;UBE2C;KIF23;NDC80;ASPM;CENPE;TPX2;CENPF;KIF18A;KIF4A;DEPDC1;KIF2C;KIF20A"
"ciclopirox MCF7 DOWN","25/67",1.18827167583293e-36,2.0818519760593e-34,0,0,94.3238095238095,7802.51867241141,"TOP2A;ARHGAP11A;TROAP;KIF14;HJURP;BUB1B;NCAPG;TTK;HMMR;MKI67;CENPA;GTSE1;BUB1;DLGAP5;UBE2C;KIF23;NDC80;ASPM;CENPE;TPX2;CENPF;KIF18A;DEPDC1;KIF2C;KIF20A"
"AFLATOXIN B1 CTD 00007128","86/3081",3.0833766882206e-32,4.91097814342044e-30,0,0,7.56223914858097,548.691099475764,"TOP2A;ZWILCH;DSCC1;HJURP;KIF14;BUB1B;MCM10;TREM2;KIF11;MKI67;BRCA2;FOXM1;EXO1;CHEK1;NUF2;ENC1;NEK2;MYBL2;SOX9;SOX4;CEP55;DLGAP5;HELLS;SDS;CKAP2L;KIF23;ASPM;DEPDC1B;MELK;DBF4;DKC1;DEPDC1;KIF2C;KIF20A;DTL;PRIM2;BLM;CDCA2;UHRF1;CDCA5;NCAPG;TTK;HMMR;WDR62;SKA3;PKMYT1;CENPA;LRP8;NCAPH;RAD54B;RAD51AP1;ORC6;ECT2;BUB1;E2F7;CTHRC1;FANCI;GINS1;STIL;C5ORF34;ATAD5;SPAG5;GDF15;XRCC2;OSBPL3;RCC2;LIF;CDC7;INHBA;SHCBP1;NDC80;TPX2;ANLN;CENPE;KIF18A;CENPF;CENPI;KIF4A;UBE2T;CENPK;NFE2L3;CDK1;CENPL;TRIP13;CENPO;EZH2"
"methotrexate MCF7 DOWN","21/52",8.75023409318982e-32,1.27753417760571e-29,0,0,104.075768942236,7442.83733536753,"TOP2A;UBE2C;TROAP;KIF14;KIF23;KIF11;HMMR;MKI67;CENPA;NDC80;ASPM;CENPE;TPX2;CENPF;KIF18A;DEPDC1;KIF2C;KIF20A;GTSE1;BUB1;DLGAP5"
"resveratrol MCF7 DOWN","25/104",4.21693260994107e-31,5.68312764047443e-29,0,0,50.053164556962,3500.76987830488,"TOP2A;ARHGAP11A;TROAP;HJURP;KIF14;BUB1B;TTK;HMMR;KIF11;MKI67;CENPA;KIF15;GTSE1;BUB1;DLGAP5;GINS1;UBE2C;KIF23;NDC80;TPX2;ASPM;CENPE;CENPF;DEPDC1;KIF20A"
"trifluridine MCF7 DOWN","18/33",1.84972102915223e-30,2.31479374505336e-28,0,0,180.318181818182,12345.0367607288,"TOP2A;UBE2C;TROAP;KIF14;BUB1B;KIF23;HMMR;CENPA;NDC80;ASPM;CENPE;TPX2;CENPF;DEPDC1;KIF20A;BUB1;GTSE1;DLGAP5"
"5109870 MCF7 DOWN","21/68",7.75098756880577e-29,9.05315348036514e-27,0,0,68.5903018307768,4439.65457909849,"TOP2A;UBE2C;TROAP;KIF14;BUB1B;KIF23;TTK;HMMR;MKI67;CENPA;NDC80;ASPM;CENPE;TPX2;CENPF;KIF18A;KIF2C;KIF20A;GTSE1;BUB1;DLGAP5"
"Phytoestrogens CTD 00007437","19/48",1.24671670365172e-28,1.36515479049864e-26,0,0,99.1310871281916,6369.35763838807,"TOP2A;UHRF1;ATAD2;MCM10;TTK;MKI67;FOXM1;SHCBP1;NCAPH;NDC80;KIF15;ANLN;ASPM;NUF2;CENPK;CDK1;MYBL2;KIF2C;DLGAP5"
"piroxicam CTD 00006571","38/549",4.1888710472836e-26,4.31700122049462e-24,0,0,12.8404039698071,750.326195981746,"ZWILCH;KIF14;BUB1B;NCAPG;TTK;HMMR;KIF11;MKI67;FOXM1;CENPA;NCAPH;RAD51AP1;ESM1;ORC6;ECT2;BUB1;MEST;CEP55;DLGAP5;FANCI;GINS1;RFC3;SPAG5;GDF15;ATAD2;KIF23;SHCBP1;NDC80;ASPM;CENPE;KIF18A;DBF4;KIF4A;CDK1;KIF2C;KIF20A;DTL;EZH2"
"acetaminophen CTD 00005295","90/4135",7.40626253766879e-26,7.20876220333095e-24,0,0,5.86093943139679,339.142594902973,"ARHGAP11A;TOP2A;DSCC1;HJURP;KIF14;BUB1B;MCM10;SNX10;KIF11;MKI67;BRCA2;FOXM1;CLDN1;KIF15;MTBP;EME1;EXO1;NUF2;ENC1;NEK2;KNTC1;GTSE1;CEP55;GEN1;HELLS;RFC3;CKAP2L;BGN;KIF23;PGM2L1;ASPM;MELK;FANCD2;TIMELESS;KIF2C;KIF20A;PRR11;DTL;CCDC150;RNFT2;BLM;CDCA2;TROAP;CDCA5;NCAPG;TTK;HMMR;WDR62;ADAMTS12;SKA3;PKMYT1;IQGAP3;CENPA;NCAPH;RAD54B;RAD51AP1;BRIP1;ORC6;MTHFD1L;CLSPN;ECT2;BUB1;E2F7;FANCI;GINS1;POLQ;STIL;C5ORF34;ATAD5;SPAG5;UBE2C;XRCC2;OSBPL3;ATAD2;INHBA;FANCB;SHCBP1;COL1A1;ANLN;CENPE;KIF18A;CENPF;CENPI;KIF4A;UBE2T;CENPK;CDK1;TRIP13;CENPO;EZH2"
"irinotecan MCF7 DOWN","51/1272",3.11620244186228e-24,2.87346667270669e-22,0,0,7.85975231429777,425.412451205957,"ARHGAP11A;TOP2A;DSCC1;HJURP;KIF14;BUB1B;MCM10;KIF11;MKI67;BRCA2;KIF15;CHEK1;NEK2;KNTC1;GTSE1;DLGAP5;RFC3;KIF23;ASPM;MELK;DEPDC1;KIF2C;KIF20A;DTL;BLM;TROAP;NCAPG;TTK;HMMR;CENPA;LRP8;NCAPH;RAD54B;RAD51AP1;BRIP1;ECT2;BUB1;POLQ;STIL;SPAG5;ATAD2;CDC7;NDC80;TPX2;CENPE;KIF18A;CENPF;CENPI;KIF4A;CDK1;EZH2"
"0173570-0000 PC3 DOWN","16/43",9.82259844497904e-24,8.60459623780164e-22,0,0,87.6639027086788,4644.20182922794,"KIF23;KIF11;HMMR;MKI67;CENPA;NDC80;ASPM;CENPE;TPX2;CENPF;DEPDC1;NEK2;KIF2C;KIF20A;BUB1;DLGAP5"
"Tetradioxin CTD 00006848","82/3768",9.17564156255668e-23,7.65510667504729e-21,0,0,5.2880852829466,268.332808204727,"ARHGAP11A;TOP2A;ZWILCH;DSCC1;HJURP;KIF14;PKD2L1;MCM10;KIF11;BRCA2;CLDN1;KIF15;MTBP;EME1;EXO1;CHEK1;NUF2;ENC1;NEK2;MYBL2;SOX9;SOX4;CEP55;DLGAP5;HELLS;RFC3;SDS;CKAP2L;BGN;KIF23;ASPM;DEPDC1B;MELK;DBF4;DKC1;DEPDC1;KIF20A;DTL;TTYH3;UHRF1;CDCA5;NCAPG;TTK;HMMR;SKA3;PLA2G7;CENPA;LRP8;NCAPH;RAD51AP1;ADAMTS14;BRIP1;ORC6;MTHFD1L;ECT2;GABRD;BUB1;MEST;E2F7;CTHRC1;FANCI;STIL;ATAD5;UBE2C;GDF15;ATAD2;LIF;BMP8A;CDC7;FANCB;SHCBP1;NDC80;COL1A1;CENPE;CENPI;UBE2T;CENPK;NFE2L3;CDK1;TRIP13;CENPO;EZH2"
"quercetin CTD 00006679","75/3158",1.32254029895969e-22,1.05322300171699e-20,0,0,5.43853389555628,273.978749823074,"ARHGAP11A;TOP2A;ZWILCH;DSCC1;KIF14;BUB1B;MCM10;TREM2;KIF11;MKI67;BRCA2;FOXM1;CLDN1;KIF15;ESM1;NUF2;NEK2;MYBL2;SOX4;CEP55;DLGAP5;HELLS;RFC3;KIF23;PGM2L1;ASPM;MMP11;DEPDC1B;DBF4;ADAM12;TIMELESS;DEPDC1;KIF20A;DTL;BLM;TTYH3;CDCA5;NCAPG;TTK;HMMR;PKMYT1;CENPA;RAD54B;RAD51AP1;ORC6;E2F3;ECT2;BUB1;E2F7;CTHRC1;FANCI;POLQ;STIL;C5ORF34;ATAD5;SPAG5;GDF15;OSBPL3;LIF;BMP8A;CDC7;FANCB;NDC80;COL1A1;ANLN;CENPE;KIF18A;CENPF;CENPI;KIF4A;CENPK;NFE2L3;CDK1;TRIP13;EZH2"
"thioguanosine MCF7 DOWN","22/150",2.13808397121682e-22,1.62866222503124e-20,0,0,26.482177734375,1321.38021498889,"TOP2A;BLM;ATAD2;KIF14;BUB1B;CDC7;TTK;HMMR;KIF11;MKI67;BRCA2;NCAPH;NDC80;KIF15;RAD54B;ASPM;CENPE;BRIP1;CENPI;KIF2C;BUB1;DLGAP5"
