"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Pizotifen Down","14/248",5.64749745468046e-09,2.51269851871746e-06,0,0,8.62946204122675,163.891203195094,"CFD;GSN;P2RY14;FAM107A;CIRBP;HBB;KLF4;S100B;ALDH6A1;ID4;PLP1;SOSTDC1;ASPA;GPM6B"
"Fluocinolone-Acetonide Up","14/249",5.94580813705031e-09,2.51269851871746e-06,0,0,8.59230287859825,162.743194733024,"CFD;HPGD;GPX3;TSC22D3;MT1M;FHL1;HBB;AKR1C2;MT1X;LYVE1;TMEM100;CLEC3B;PPP1R3C;IGFBP6"
"PF-04136309 Down","14/249",5.94580813705031e-09,2.51269851871746e-06,0,0,8.59230287859825,162.743194733024,"HPGD;HSPB8;AKR1C1;MT1M;HBB;AKR1C2;PTN;NDRG2;KLF4;CLEC3B;PPP1R3C;MICALL1;NCAM1;DNASE1L3"
"Ro-4987655 Up","13/243",3.8295371068374e-08,8.69231953111394e-06,0,0,8.09457315138051,138.23860876618,"BTG2;GSN;HSPB8;TSC22D3;ROGDI;EPHX1;FHL1;AKR1C2;MYL6;DHRS7;MAF;IGFBP6;YPEL5"
"Hyoscyamine Down","13/243",3.8295371068374e-08,8.69231953111394e-06,0,0,8.09457315138051,138.23860876618,"BTG2;CITED2;GPX3;TSC22D3;AKR1C1;FHL1;HBB;AKR1C2;ELL2;ID4;YPEL5;DNASE1L3;NFE2L2"
"PSB-36 Up","13/244",4.01924867495927e-08,8.69231953111394e-06,0,0,8.05912092773407,137.243490953317,"CFD;CA11;CITED2;GPX3;AKR1C1;EPHX1;AKR1C2;CLEC3B;INPP5A;PPP1R3C;SRSF5;IGFBP6;YPEL5"
"Birinapant Down","13/244",4.01924867495927e-08,8.69231953111394e-06,0,0,8.05912092773407,137.243490953317,"CFD;CITED2;GPX3;TSC22D3;AKR1C1;FHL1;AKR1C2;KLF4;LYVE1;ALDH6A1;CLEC3B;PPP1R3C;SOSTDC1"
"Valaciclovir Down","13/244",4.01924867495927e-08,8.69231953111394e-06,0,0,8.05912092773407,137.243490953317,"CFD;RNF11;HPGD;CITED2;P2RY14;HBB;MT1X;TMEM100;SLC7A8;MKNK2;PLP1;SOSTDC1;GPM6B"
"CFM-2 Down","13/244",4.01924867495927e-08,8.69231953111394e-06,0,0,8.05912092773407,137.243490953317,"CFD;BTG2;HSPB8;MT1M;FHL1;FAM107A;HBB;PTN;NDRG2;LYVE1;PLP1;MAL;YPEL5"
"Iq Up","13/245",4.21738943420085e-08,8.69231953111394e-06,0,0,8.02397432670526,136.258834574575,"CFD;STX12;FAM107A;HBB;MT1X;CWH43;KLF4;TMEM100;DHRS7;ID4;PLP1;MAL;GPM6B"
