"variable","label","n","threshold","pos_rate","tp_rate","fp_rate","harm","net_benefit"
"all","Treat All",301,0,0.467116290322694,0.467116290322694,0.532883709677306,0,0.467116290322694
"all","Treat All",301,0.01,0.467116290322694,0.467116290322694,0.532883709677306,0,0.46173362658858
"all","Treat All",301,0.02,0.467116290322694,0.467116290322694,0.532883709677306,0,0.456241112574178
"all","Treat All",301,0.03,0.467116290322694,0.467116290322694,0.532883709677306,0,0.450635350848138
"all","Treat All",301,0.04,0.467116290322694,0.467116290322694,0.532883709677306,0,0.444912802419473
"all","Treat All",301,0.05,0.467116290322694,0.467116290322694,0.532883709677306,0,0.439069779287046
"all","Treat All",301,0.06,0.467116290322694,0.467116290322694,0.532883709677306,0,0.433102436513504
"all","Treat All",301,0.07,0.467116290322694,0.467116290322694,0.532883709677306,0,0.427006763787843
"all","Treat All",301,0.08,0.467116290322694,0.467116290322694,0.532883709677306,0,0.420778576437711
"all","Treat All",301,0.09,0.467116290322694,0.467116290322694,0.532883709677306,0,0.414413505849114
"all","Treat All",301,0.1,0.467116290322694,0.467116290322694,0.532883709677306,0,0.407906989247438
"all","Treat All",301,0.11,0.467116290322694,0.467116290322694,0.532883709677306,0,0.401254258789544
"all","Treat All",301,0.12,0.467116290322694,0.467116290322694,0.532883709677306,0,0.394450329912152
"all","Treat All",301,0.13,0.467116290322694,0.467116290322694,0.532883709677306,0,0.38748998887666
"all","Treat All",301,0.14,0.467116290322694,0.467116290322694,0.532883709677306,0,0.380367779444993
"all","Treat All",301,0.15,0.467116290322694,0.467116290322694,0.532883709677306,0,0.373077988614934
"all","Treat All",301,0.16,0.467116290322694,0.467116290322694,0.532883709677306,0,0.365614631336541
"all","Treat All",301,0.17,0.467116290322694,0.467116290322694,0.532883709677306,0,0.357971434123728
"all","Treat All",301,0.18,0.467116290322694,0.467116290322694,0.532883709677306,0,0.3501418174667
"all","Treat All",301,0.19,0.467116290322694,0.467116290322694,0.532883709677306,0,0.342118876941598
"all","Treat All",301,0.2,0.467116290322694,0.467116290322694,0.532883709677306,0,0.333895362903368
"all","Treat All",301,0.21,0.467116290322694,0.467116290322694,0.532883709677306,0,0.325463658636322
"all","Treat All",301,0.22,0.467116290322694,0.467116290322694,0.532883709677306,0,0.316815756823967
"all","Treat All",301,0.23,0.467116290322694,0.467116290322694,0.532883709677306,0,0.307943234185317
"all","Treat All",301,0.24,0.467116290322694,0.467116290322694,0.532883709677306,0,0.298837224108808
"all","Treat All",301,0.25,0.467116290322694,0.467116290322694,0.532883709677306,0,0.289488387096925
"all","Treat All",301,0.26,0.467116290322694,0.467116290322694,0.532883709677306,0,0.279886878814451
"all","Treat All",301,0.27,0.467116290322694,0.467116290322694,0.532883709677306,0,0.27002231551054
"all","Treat All",301,0.28,0.467116290322694,0.467116290322694,0.532883709677306,0,0.259883736559297
"all","Treat All",301,0.29,0.467116290322694,0.467116290322694,0.532883709677306,0,0.24945956383478
"all","Treat All",301,0.3,0.467116290322694,0.467116290322694,0.532883709677306,0,0.238737557603849
"all","Treat All",301,0.31,0.467116290322694,0.467116290322694,0.532883709677306,0,0.227704768583615
"all","Treat All",301,0.32,0.467116290322694,0.467116290322694,0.532883709677306,0,0.216347485768668
"all","Treat All",301,0.33,0.467116290322694,0.467116290322694,0.532883709677306,0,0.204651179586111
"all","Treat All",301,0.34,0.467116290322694,0.467116290322694,0.532883709677306,0,0.19260043988287
"all","Treat All",301,0.35,0.467116290322694,0.467116290322694,0.532883709677306,0,0.18017890818876
"all","Treat All",301,0.36,0.467116290322694,0.467116290322694,0.532883709677306,0,0.167369203629209
"all","Treat All",301,0.37,0.467116290322694,0.467116290322694,0.532883709677306,0,0.154152841782054
"all","Treat All",301,0.38,0.467116290322694,0.467116290322694,0.532883709677306,0,0.140510145681765
"all","Treat All",301,0.39,0.467116290322694,0.467116290322694,0.532883709677306,0,0.12642014806999
"all","Treat All",301,0.4,0.467116290322694,0.467116290322694,0.532883709677306,0,0.111860483871157
"all","Treat All",301,0.41,0.467116290322694,0.467116290322694,0.532883709677306,0,0.0968072717333798
"all","Treat All",301,0.42,0.467116290322694,0.467116290322694,0.532883709677306,0,0.0812349833149899
"all","Treat All",301,0.43,0.467116290322694,0.467116290322694,0.532883709677306,0,0.0651162988117441
"all","Treat All",301,0.44,0.467116290322694,0.467116290322694,0.532883709677306,0,0.0484219470048109
"all","Treat All",301,0.45,0.467116290322694,0.467116290322694,0.532883709677306,0,0.0311205278594438
"all","Treat All",301,0.46,0.467116290322694,0.467116290322694,0.532883709677306,0,0.0131783154123964
"all","Treat All",301,0.47,0.467116290322694,0.467116290322694,0.532883709677306,0,-0.00544096165529417
"all","Treat All",301,0.48,0.467116290322694,0.467116290322694,0.532883709677306,0,-0.0247763647640498
"all","Treat All",301,0.49,0.467116290322694,0.467116290322694,0.532883709677306,0,-0.0448700189751096
"all","Treat All",301,0.5,0.467116290322694,0.467116290322694,0.532883709677306,0,-0.0657674193546118
"none","Treat None",301,0,0.467116290322694,0,0,0,0
"none","Treat None",301,0.01,0.467116290322694,0,0,0,0
"none","Treat None",301,0.02,0.467116290322694,0,0,0,0
"none","Treat None",301,0.03,0.467116290322694,0,0,0,0
"none","Treat None",301,0.04,0.467116290322694,0,0,0,0
"none","Treat None",301,0.05,0.467116290322694,0,0,0,0
"none","Treat None",301,0.06,0.467116290322694,0,0,0,0
"none","Treat None",301,0.07,0.467116290322694,0,0,0,0
"none","Treat None",301,0.08,0.467116290322694,0,0,0,0
"none","Treat None",301,0.09,0.467116290322694,0,0,0,0
"none","Treat None",301,0.1,0.467116290322694,0,0,0,0
"none","Treat None",301,0.11,0.467116290322694,0,0,0,0
"none","Treat None",301,0.12,0.467116290322694,0,0,0,0
"none","Treat None",301,0.13,0.467116290322694,0,0,0,0
"none","Treat None",301,0.14,0.467116290322694,0,0,0,0
"none","Treat None",301,0.15,0.467116290322694,0,0,0,0
"none","Treat None",301,0.16,0.467116290322694,0,0,0,0
"none","Treat None",301,0.17,0.467116290322694,0,0,0,0
"none","Treat None",301,0.18,0.467116290322694,0,0,0,0
"none","Treat None",301,0.19,0.467116290322694,0,0,0,0
"none","Treat None",301,0.2,0.467116290322694,0,0,0,0
"none","Treat None",301,0.21,0.467116290322694,0,0,0,0
"none","Treat None",301,0.22,0.467116290322694,0,0,0,0
"none","Treat None",301,0.23,0.467116290322694,0,0,0,0
"none","Treat None",301,0.24,0.467116290322694,0,0,0,0
"none","Treat None",301,0.25,0.467116290322694,0,0,0,0
"none","Treat None",301,0.26,0.467116290322694,0,0,0,0
"none","Treat None",301,0.27,0.467116290322694,0,0,0,0
"none","Treat None",301,0.28,0.467116290322694,0,0,0,0
"none","Treat None",301,0.29,0.467116290322694,0,0,0,0
"none","Treat None",301,0.3,0.467116290322694,0,0,0,0
"none","Treat None",301,0.31,0.467116290322694,0,0,0,0
"none","Treat None",301,0.32,0.467116290322694,0,0,0,0
"none","Treat None",301,0.33,0.467116290322694,0,0,0,0
"none","Treat None",301,0.34,0.467116290322694,0,0,0,0
"none","Treat None",301,0.35,0.467116290322694,0,0,0,0
"none","Treat None",301,0.36,0.467116290322694,0,0,0,0
"none","Treat None",301,0.37,0.467116290322694,0,0,0,0
"none","Treat None",301,0.38,0.467116290322694,0,0,0,0
"none","Treat None",301,0.39,0.467116290322694,0,0,0,0
"none","Treat None",301,0.4,0.467116290322694,0,0,0,0
"none","Treat None",301,0.41,0.467116290322694,0,0,0,0
"none","Treat None",301,0.42,0.467116290322694,0,0,0,0
"none","Treat None",301,0.43,0.467116290322694,0,0,0,0
"none","Treat None",301,0.44,0.467116290322694,0,0,0,0
"none","Treat None",301,0.45,0.467116290322694,0,0,0,0
"none","Treat None",301,0.46,0.467116290322694,0,0,0,0
"none","Treat None",301,0.47,0.467116290322694,0,0,0,0
"none","Treat None",301,0.48,0.467116290322694,0,0,0,0
