"model","t_years","AUC"
"Clinical",1,0.689537778134775
"Clinical",3,0.699774519687273
"Clinical",5,0.634265104542771
"Signature",1,0.750841046469394
"Signature",3,0.779507640001979
"Signature",5,0.775810290901383
"Combined",1,0.792387362745238
"Combined",3,0.834034388477195
"Combined",5,0.807813726632547
