"model","t_years","AUC"
"Clinical",1,0.79852843915344
"Clinical",3,0.764421296296299
"Clinical",5,0.755499256778175
"Signature",1,0.717261904761906
"Signature",3,0.620462962962965
"Signature",5,0.612998751858667
"Combined",1,0.826636904761906
"Combined",3,0.768981481481484
"Combined",5,0.760366318614994
