"variable","label","n","threshold","pos_rate","tp_rate","fp_rate","harm","net_benefit"
"all","Treat All",300,0,0.399999999999999,0.399999999999999,0.600000000000001,0,0.399999999999999
"all","Treat All",300,0.01,0.399999999999999,0.399999999999999,0.600000000000001,0,0.393939393939393
"all","Treat All",300,0.02,0.399999999999999,0.399999999999999,0.600000000000001,0,0.387755102040815
"all","Treat All",300,0.03,0.399999999999999,0.399999999999999,0.600000000000001,0,0.381443298969071
"all","Treat All",300,0.04,0.399999999999999,0.399999999999999,0.600000000000001,0,0.374999999999999
"all","Treat All",300,0.05,0.399999999999999,0.399999999999999,0.600000000000001,0,0.368421052631578
"all","Treat All",300,0.06,0.399999999999999,0.399999999999999,0.600000000000001,0,0.361702127659573
"all","Treat All",300,0.07,0.399999999999999,0.399999999999999,0.600000000000001,0,0.354838709677418
"all","Treat All",300,0.08,0.399999999999999,0.399999999999999,0.600000000000001,0,0.34782608695652
"all","Treat All",300,0.09,0.399999999999999,0.399999999999999,0.600000000000001,0,0.340659340659339
"all","Treat All",300,0.1,0.399999999999999,0.399999999999999,0.600000000000001,0,0.333333333333332
"all","Treat All",300,0.11,0.399999999999999,0.399999999999999,0.600000000000001,0,0.325842696629212
"all","Treat All",300,0.12,0.399999999999999,0.399999999999999,0.600000000000001,0,0.318181818181817
"all","Treat All",300,0.13,0.399999999999999,0.399999999999999,0.600000000000001,0,0.310344827586206
"all","Treat All",300,0.14,0.399999999999999,0.399999999999999,0.600000000000001,0,0.302325581395347
"all","Treat All",300,0.15,0.399999999999999,0.399999999999999,0.600000000000001,0,0.294117647058822
"all","Treat All",300,0.16,0.399999999999999,0.399999999999999,0.600000000000001,0,0.285714285714284
"all","Treat All",300,0.17,0.399999999999999,0.399999999999999,0.600000000000001,0,0.277108433734938
"all","Treat All",300,0.18,0.399999999999999,0.399999999999999,0.600000000000001,0,0.268292682926828
"all","Treat All",300,0.19,0.399999999999999,0.399999999999999,0.600000000000001,0,0.259259259259258
"all","Treat All",300,0.2,0.399999999999999,0.399999999999999,0.600000000000001,0,0.249999999999999
"all","Treat All",300,0.21,0.399999999999999,0.399999999999999,0.600000000000001,0,0.240506329113923
