feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
MTFR1L	status	Tumor	-1.76833805241495	0.113520702810738	855	415	2.61235033569902e-48	1.05336707084638e-46
POLQ	status	Tumor	1.75771740109731	0.112853924600526	855	426	2.67910195774441e-48	1.07164078309777e-46
SH3GL2	status	Tumor	-1.74957879926597	0.112378322734538	855	396	2.89966596748018e-48	1.15066109820642e-46
DDIAS	status	Tumor	1.75213010699022	0.112642905915658	855	416	3.43431663452882e-48	1.35209316320032e-46
RNF11	status	Tumor	-1.76531344897018	0.113521222010412	855	397	3.61488534746097e-48	1.41206458885194e-46
CADM3	status	Tumor	-1.76549064123681	0.113637891764519	855	406	4.30634439866982e-48	1.66912573591854e-46
OSBPL3	status	Tumor	1.76318224539715	0.113543652385129	855	462	4.71333725815244e-48	1.81282202236632e-46
FAM180B	status	Tumor	-1.75484577913537	0.113488301542647	855	418	1.0480336594303e-47	4.000128471108e-46
C1QL1	status	Tumor	-1.75350532084458	0.113414877056729	855	404	1.07124858565732e-47	4.05775979415653e-46
MTFR2	status	Tumor	1.74944652796722	0.113185071272922	855	428	1.13083117243802e-47	4.25124500916549e-46
TTK	status	Tumor	1.74718688932409	0.113443953112194	855	439	2.20510218624977e-47	8.22799323227526e-46
FOXM1	status	Tumor	1.7436017289972	0.113224932140639	855	449	2.25556680636787e-47	8.35395113469582e-46
EPIST	status	Tumor	-1.73880497420591	0.112918164965374	855	399	2.27319061044517e-47	8.35731842075429e-46
UBE2C	status	Tumor	1.74509947362084	0.11346653584103	855	463	2.85796995562152e-47	1.04305472832902e-45
NT5C1A	status	Tumor	-1.74501844180273	0.113483542066297	855	423	2.96410000438579e-47	1.07394927695137e-45
DSCC1	status	Tumor	1.73369266127464	0.112771407046733	855	414	3.08568853518129e-47	1.10995990474147e-45
KIF15	status	Tumor	1.73857267080506	0.113136550832313	855	432	3.33696749328609e-47	1.19177410474503e-45
DNA2	status	Tumor	1.73574059438451	0.113040197658429	855	437	3.85499352883768e-47	1.36701898185733e-45
TRIM59	status	Tumor	1.7298258951187	0.112757700135122	855	434	4.56354425305216e-47	1.60688177924372e-45
QTRT2	status	Tumor	1.74306375568254	0.113653537340916	855	426	4.81491157806184e-47	1.68353551680484e-45
UHRF1	status	Tumor	1.73586770210282	0.113240333827379	855	443	5.2760456169539e-47	1.83196028366455e-45
EMILIN3	status	Tumor	-1.73307592856756	0.113223088179965	855	409	6.90469139593337e-47	2.38092806756323e-45
HOTAIR	status	Tumor	1.74152872797968	0.113890744565814	855	410	8.32311338944112e-47	2.85038129775381e-45
GINS1	status	Tumor	1.73038430222457	0.11319223978947	855	428	8.74364465390041e-47	2.97402879384368e-45
DBF4	status	Tumor	1.72800431730419	0.113431235616884	855	431	1.65772074373033e-46	5.60040791800787e-45
WDR62	status	Tumor	1.72056007369855	0.113091992952473	855	425	2.11103307767406e-46	7.08400361635589e-45
CRADD	status	Tumor	-1.71870078020369	0.113105330248477	855	420	2.62741257599612e-46	8.75804191998708e-45
CENPA	status	Tumor	1.72559119675945	0.113614585881095	855	452	2.87351851583072e-46	9.51496197294941e-45
PKMYT1	status	Tumor	1.72404776597115	0.113526851078159	855	441	2.9382639831444e-46	9.66534204981712e-45
CENPI	status	Tumor	1.71341121623905	0.112920875062341	855	425	3.42155357474105e-46	1.11815476298727e-44
ZER1	status	Tumor	-1.72572139379081	0.113738572794645	855	425	3.45678765721236e-46	1.12233365493908e-44
HPSE2	status	Tumor	-1.72468437134855	0.113768085132632	855	371	4.0420483698476e-46	1.30388657091858e-44
NFE2L2	status	Tumor	-1.72216542030346	0.113632722876713	855	408	4.24600768012874e-46	1.36089989747716e-44
NDRG2	status	Tumor	-1.72829905956269	0.114284104702923	855	430	6.28154601348238e-46	2.00049236098165e-44
MMS22L	status	Tumor	1.71961616891766	0.113800550066556	855	426	7.25467103548247e-46	2.29578197325395e-44
SALL4	status	Tumor	1.71970069681908	0.113972084423091	855	407	9.43722209374387e-46	2.96767990369304e-44
NCAPH	status	Tumor	1.71288729384571	0.11353432157366	855	440	9.6461917147575e-46	3.01443491086172e-44
TIMELESS	status	Tumor	1.71518158921395	0.113814133480358	855	436	1.18086343230164e-45	3.66727774006719e-44
KIF2C	status	Tumor	1.70951272906031	0.113630277880351	855	442	1.60105831325266e-45	4.94153800386622e-44
KNTC1	status	Tumor	1.69828050106457	0.112993811834133	855	423	1.90703839624994e-45	5.84981103144153e-44
CENPL	status	Tumor	1.70268313039867	0.113305619369152	855	423	1.96484558844135e-45	5.99038289158947e-44
RDH12	status	Tumor	-1.69122354598494	0.112595367083999	855	373	2.13542851835309e-45	6.47099551016088e-44
CDCA5	status	Tumor	1.70053375389923	0.113292851771161	855	442	2.41413181770494e-45	7.27148137862933e-44
DEPDC1B	status	Tumor	1.70193810036911	0.113482011149812	855	432	2.80654930290437e-45	8.40284222426457e-44
CENPO	status	Tumor	1.70151944618032	0.113492405421675	855	434	2.98092960784323e-45	8.87181430905723e-44
FIRRM	status	Tumor	1.69889139485198	0.11339795271638	855	432	3.38536249874002e-45	1.00158653808876e-43
ADAMTS14	status	Tumor	1.7045176803326	0.113838442486248	855	432	3.7477899154719e-45	1.10229115160938e-43
NCAPG	status	Tumor	1.70056084551915	0.113604446355326	855	444	3.92993488904199e-45	1.14910376872573e-43
