,Streptococcus,Helicobacter,Prevotella,Lactobacillus,Anaerosinus,Neisseria,Rothia,Methylobacterium,Bacillus,[Prevotella],Sphingomonas,Peptostreptococcus,Leptotrichia,Actinobacillus,Selenomonas,Actinomyces,Bacteroides,Campylobacter,Lachnoanaerobaculum,Atopobium,Roseburia,Faecalibacterium,Ornithinimicrobium,Ruminococcus,Oribacterium,Bulleidia,Moryella,Helcobacillus,Brevundimonas,Micrococcus
Non-ul,0.2706470998240001,5.9087100940179286e-06,0.14846738683110378,0.00730678600623787,0.06593507832222842,0.06475726681136751,0.06896837570233905,0.10437290466232073,0.04699699346467203,0.04023720729378671,3.086901574132459e-06,0.016983062996168075,0.017177798703108822,0.019531527444422374,0.008746424056036773,0.016415070815035366,0.010296667270720707,0.007674959623938926,0.004006899449924865,0.006167025187864523,0.005420066594363452,0.006870521162448108,0.007444444132200627,0.0030359188336173634,0.0061430305603352164,0.0038630863811959875,0.005328027779092325,0.005910196896439862,0.0011359526529923722,0.003948457297259747
Ul,3.3100750552593718e-06,0.9202565812206267,1.640756027635989e-06,0.039745310058510126,4.3156157046298215e-06,0.025096748126329074,4.116837494838515e-07,5.479680434818927e-06,2.710998233090747e-06,4.394442440033077e-06,3.0292629689927775e-06,3.124793863520741e-06,3.683720027150693e-06,0.0023098785981862553,2.200059206036575e-06,1.8755336618595124e-06,1.595986178834288e-06,0.0024906652311373874,0.0011528630189556724,1.6486815342144255e-06,1.6057613820881946e-06,3.38549225243728e-06,2.6379542474261263e-06,1.380756746567431e-06,0.001236793889077117,4.6699075825289415e-07,8.99373586297144e-07,4.052555936764143e-06,1.6722086399337964e-06,2.734572279152467e-06
GCN,0.2811224349037251,4.192154373111412e-06,0.1747346622251026,0.11550187088257366,0.05326884423278219,0.036081602939741615,0.05353806211676625,0.0013550199031024835,0.036708971460931224,0.043576373088321,4.7132735751403735e-06,0.01671127890860519,0.010995542018326847,0.01730769315214975,0.016839707050189074,0.013085646578842322,0.022628157888927254,0.0072579787173522765,0.006222111926480892,0.006917712537097799,0.012628267340708968,0.008085916828527563,0.0061947828984237965,0.010068464078821233,0.00241617726408032,0.0038097610818524775,0.00196249613986459,0.003428439518832684,0.009711995810951828,0.005028487014299512
GCT,0.2147130293859273,0.2030080255578382,0.12618557744157596,0.0963320160646053,0.040956442428494146,0.03007463406175263,0.02232324731579809,1.9704828258161106e-06,0.028564577978519887,0.024076204271447434,0.07670975098947336,0.015734016130248503,0.019398041064578247,0.010329962749614393,0.018736039011557876,0.007714761745439459,0.004205610683331254,0.00805461208492686,0.010383639259962604,0.005571922331476117,0.0008514897166293171,0.002342286136133743,0.0005442115840391418,0.0011219051144903795,0.002466803050497478,0.0023020683334686407,0.0018567028116757082,1.4066442389282481e-06,2.477376194401285e-05,1.7219059191307653e-06
