"Taxon","log2FC","p_value","GCT_mean","GCN_mean"
"Treponema",10.2691194065036,3.7514595357513e-92,0.00811716821490047,6.57786534340533e-06
"Selenomonas",0.185419830620052,0.00249324343775552,0.0214254196788859,0.0188413668909966
"Sphingomonas",13.9208755649591,3.70763924447549e-92,0.0891725173793959,5.74939786006487e-06
"Parvimonas",8.43311899038813,1.03543162798183e-91,0.00406750946520075,1.17680124542965e-05
"Clostridium",8.01367092040121,8.58285152538434e-92,0.00163098601766867,6.31085294552026e-06
"Slackia",6.46532039140671,2.2642314781623e-81,0.000432917090878376,4.89937405630595e-06
