"gene","module_membership","gene_significance","hub_score"
"CHCHD4",0.551096878685353,NA,NA
"MRPL22",0.551018350705182,NA,NA
"SNRNP40",0.550478978415934,NA,NA
"TMEM126B",0.550176884305225,NA,NA
"ZNF277",0.549645192109382,NA,NA
"UBE3C",0.549406690580626,NA,NA
"EIF3I",0.548851612380707,NA,NA
"ZCCHC4",0.548839669677324,NA,NA
"RBM22",0.548816787518008,NA,NA
"MRPS28",0.548720967276047,NA,NA
"THAP1",0.54826707411975,NA,NA
"MKRN2",0.547673531823778,NA,NA
"RBBP4",0.547471852179805,NA,NA
"EIF2S3",0.546922874368434,NA,NA
"PCGF5",0.546596823397223,NA,NA
"BRAP",0.546596497224795,NA,NA
"YARS2",0.546243058630176,NA,NA
"STOML2",0.545970210983637,NA,NA
"ZNF330",0.545810749621221,NA,NA
"PSMB1",0.545628685831892,NA,NA
"CNOT7",0.545466887668262,NA,NA
"GABPA",0.545307736559776,NA,NA
"FPGT",0.544541537967251,NA,NA
"ASF1A",0.544303212141725,NA,NA
"RAB28",0.544155464481041,NA,NA
"RBM45",0.543771083217879,NA,NA
"RNF138",0.543409520106584,NA,NA
"CEP57",0.543285781319148,NA,NA
"SCFD1",0.54313293993453,NA,NA
"CBLL1",0.542506551259429,NA,NA
"RBM7",0.54151243412532,NA,NA
"MRPL1",0.540857301703026,NA,NA
"SUCLA2",0.540351137514742,NA,NA
"LRRC42",0.54026433414585,NA,NA
"MTHFD2L",0.539301280292113,NA,NA
"DYNC1LI1",0.539177163127165,NA,NA
"ARF4",0.539047920212739,NA,NA
"PA2G4",0.538820013325463,NA,NA
"RCHY1",0.538503620425141,NA,NA
"UBE2K",0.538367675416195,NA,NA
"MAPK8",0.538284617587052,NA,NA
"ZFP91",0.538258787062426,NA,NA
"POLR2D",0.537742398224489,NA,NA
"RSRC2",0.537678153737722,NA,NA
"CSNK1G3",0.536931236405392,NA,NA
"ZC3H14",0.536010576727742,NA,NA
"RCOR1",0.535588060048176,NA,NA
"EXOC2",0.535555944233303,NA,NA
"UBR7",0.535513495742307,NA,NA
"DNTTIP2",0.535409547096918,NA,NA
"TMEM167A",0.534817337702755,NA,NA
"STAG2",0.534663594796777,NA,NA
"CCDC51",0.534141825960624,NA,NA
"HCCS",0.533801037714322,NA,NA
"ISOC1",0.533008348025944,NA,NA
"RIOK2",0.532958661207365,NA,NA
"MAP3K7",0.532378855629088,NA,NA
"PRMT5",0.532348268088707,NA,NA
"SCO1",0.532320328692568,NA,NA
"MNAT1",0.532123440843723,NA,NA
"PDCD2",0.53165369848141,NA,NA
"ZC3H15",0.531048809783399,NA,NA
"GLRX2",0.530884623749603,NA,NA
"VPS29",0.530477954878325,NA,NA
"USP38",0.529301696955938,NA,NA
"AGPAT5",0.529180211287172,NA,NA
"YAF2",0.528823098337791,NA,NA
"SYPL1",0.528055706803064,NA,NA
"HERC4",0.527933871658388,NA,NA
"CYB5R4",0.527790083021415,NA,NA
"DUT",0.526766875438472,NA,NA
"TXNL4B",0.526648204912853,NA,NA
"GTF2F2",0.526190997506232,NA,NA
"MFAP1",0.52570822193277,NA,NA
"RTN4IP1",0.525703835175449,NA,NA
"COQ2",0.525630785696545,NA,NA
"TRMT11",0.525255613976938,NA,NA
"RSPRY1",0.525219198256261,NA,NA
"NAF1",0.52509154629557,NA,NA
"MRPL32",0.524980324816527,NA,NA
"EIF2S1",0.524477870439201,NA,NA
"PSMD7",0.524290241935249,NA,NA
"PSMD13",0.523470297969612,NA,NA
"SEPSECS",0.523398198234374,NA,NA
"NIPA2",0.521305990098898,NA,NA
"IER3IP1",0.520833072442375,NA,NA
"DPY30",0.520715432807626,NA,NA
"MTAP",0.520572140337374,NA,NA
"TANK",0.5204588448805,NA,NA
"CRK",0.518837221031687,NA,NA
"GTF2E2",0.51879060226338,NA,NA
"PRPSAP2",0.518732028217589,NA,NA
"HDAC2",0.518629756487971,NA,NA
"MTFMT",0.518281255541356,NA,NA
"DCTN4",0.517810271746999,NA,NA
"PHF5A",0.517220029274832,NA,NA
"RC3H2",0.517126472691775,NA,NA
"DDX20",0.517009670949031,NA,NA
"PGGT1B",0.516752887747843,NA,NA
"NAB1",0.516711901630986,NA,NA
"LIAS",0.516514633112416,NA,NA
"LARS2",0.516488167683112,NA,NA
"UBE3A",0.516305982359945,NA,NA
"IREB2",0.515812000437471,NA,NA
"TAF5L",0.515437540648139,NA,NA
"MRPL16",0.515281810800202,NA,NA
"NDUFB6",0.515139510267125,NA,NA
"FKBP4",0.51489359729348,NA,NA
"ABCB7",0.514649450509559,NA,NA
"FAM98B",0.514079668548564,NA,NA
"CCDC126",0.513173035667177,NA,NA
"PDCL",0.513085846332371,NA,NA
"EIF2B2",0.51299823831824,NA,NA
"ARFGEF1",0.512704326750588,NA,NA
"RPA2",0.51220659804397,NA,NA
"PPP6C",0.512048847898777,NA,NA
"WDR76",0.511936359916464,NA,NA
"MRPS5",0.51153454384076,NA,NA
"LIN7C",0.511497413656377,NA,NA
"VAMP3",0.511284330266857,NA,NA
"MED4",0.510324242257442,NA,NA
"POT1",0.510047381054641,NA,NA
"LARP1B",0.509657082905003,NA,NA
"ERI2",0.508831450292794,NA,NA
"CCNB1IP1",0.50839291788307,NA,NA
"SRBD1",0.508238155376716,NA,NA
"IQCB1",0.508029447409902,NA,NA
"DPH5",0.507373836696206,NA,NA
"CRNKL1",0.506371374162558,NA,NA
"POLR3C",0.506195306580508,NA,NA
"HNRNPAB",0.506146111138812,NA,NA
"ADO",0.506039131177759,NA,NA
"APPL1",0.505679794263499,NA,NA
"CCDC47",0.505171505744406,NA,NA
"RPRD1A",0.504862789859261,NA,NA
