"gene_id","log2FoldChange","AveExpr","t","pvalue","padj","B","gene_id_clean","sig","hgnc_symbol","gene_biotype"
"ENSG00000100065.15",0.73804825461364,5.4877439967906,4.40147017517858,0.0000134430771564501,0.0000542223495763078,2.05592590305186,"ENSG00000100065","NS","CARD10","caspase recruitment domain family member 10"
"ENSG00000188060.7",0.912977313048576,1.41865431247369,4.40140699283709,0.000013446830755462,0.000054227290782557,2.51295690109165,"ENSG00000188060","NS","RAB42","RAB42, member RAS oncogene family"
"ENSG00000092621.13",-1.19279610021058,4.43509568006103,-4.40079146167361,0.0000134834513673279,0.0000543647486414201,2.00546876787999,"ENSG00000092621","Down","PHGDH","phosphoglycerate dehydrogenase"
"ENSG00000174165.8",0.430496423729553,4.62055797749779,4.40015354666659,0.0000135215044046187,0.0000545075804210603,2.12442161736137,"ENSG00000174165","NS","ZDHHC24","zinc finger DHHC-type containing 24"
"ENSG00000257335.8",-1.5305804436526,1.44652142510426,-4.40011244888075,0.0000135239594992289,0.0000545075804210603,2.30781760155789,"ENSG00000257335","Down","MGAM","maltase-glucoamylase"
"ENSG00000089022.14",0.345432470521805,5.10237945549307,4.39990811670054,0.0000135361722056198,0.0000545465518830744,2.06059519772334,"ENSG00000089022","NS","MAPKAPK5","MAPK activated protein kinase 5"
"ENSG00000213619.11",-0.426751067859193,5.73782262057625,-4.39978130124119,0.0000135437571317033,0.0000545668636946289,1.95635803282493,"ENSG00000213619","NS","NDUFS3","NADH:ubiquinone oxidoreductase core subunit S3"
"ENSG00000155530.3",1.27257823171579,-0.753839395002918,4.39946822806405,0.0000135624996899279,0.0000546321127629967,2.77021029087524,"ENSG00000155530","Up","LRGUK","leucine rich repeats and guanylate kinase domain containing"
"ENSG00000005102.14",-1.14025607005555,1.21623759994229,-4.3992103808282,0.0000135779547098974,0.0000546840970344524,2.38081686676454,"ENSG00000005102","Down","MEOX1","mesenchyme homeobox 1"
"ENSG00000147003.7",-0.956700683060814,-1.20501391535122,-4.39847859600257,0.000013621908772289,0.000054850817786427,2.59760703891793,"ENSG00000147003","NS","CLTRN","collectrin, amino acid transport regulator"
"ENSG00000257894.2",1.55638842142454,-2.20820929726592,4.39764612266897,0.0000136720761782736,0.0000550424902795673,2.87835465085489,"ENSG00000257894","Up",NA,NA
"ENSG00000197808.12",-0.746000016653453,1.4832844960203,-4.39647507030361,0.0000137429468082622,0.000055317424408782,2.37409771766292,"ENSG00000197808","NS","ZNF461","zinc finger protein 461"
