"gene","logFC","AveExpr","t","P.Value","adj.P.Val","sig"
"MFAP2",1.07420714159018,0.0645397342801495,6.90065318245288,5.17789688467291e-12,2.50314048525417e-08,"Up"
"LIPG",1.06564135578229,0.0646116695284712,6.84562700099603,7.61630163260428e-12,2.50314048525417e-08,"Up"
"LOXL2",1.06128952567334,0.0646896261714167,6.81767106109564,9.25537691762024e-12,2.50314048525417e-08,"Up"
"FBP2",-1.05937201965857,0.0386362625355595,-6.80535309794787,1.00829351683966e-11,2.50314048525417e-08,"Down"
"ENC1",1.05649810874583,0.066653140999282,6.78689123736415,1.14606622183292e-11,2.50314048525417e-08,"Up"
"SLC25A4",-1.05464703095475,0.0344962311410855,-6.77500000581721,1.24439798756367e-11,2.50314048525417e-08,"Down"
"LMNB2",1.05267247527543,0.0636983368944272,6.76231555846544,1.35839858878822e-11,2.50314048525417e-08,"Up"
"VSIG2",-1.04606620933403,0.0399096772317973,-6.71987723504751,1.81925226132442e-11,2.93331686485297e-08,"Down"
"MMP14",1.04228994132262,0.0628532422549858,6.695618677399,2.14816364991818e-11,3.07879588003274e-08,"Up"
"THY1",1.03654219931418,0.0654981445784418,6.6586954689722,2.76338294228884e-11,3.56448765725838e-08,"Up"
"CAD",1.02289146886373,0.0656157830146587,6.57100385635987,4.99891199867963e-11,5.37693192943832e-08,"Up"
"LIPF",-1.02287629969548,0.0378716566682138,-6.57090641037847,5.00218490993564e-11,5.37693192943832e-08,"Down"
"PRR5L",1.01625167718508,0.0623246191725614,6.52835016527542,6.65135948475444e-11,6.52805554324382e-08,"Up"
"CD276",1.01477685744674,0.0646901068948794,6.51887599672183,7.08526068729463e-11,6.52805554324382e-08,"Up"
"BMP1",1.00992911808435,0.0649908046460998,6.48773436047346,8.71565642356939e-11,7.4948834805081e-08,"Up"
"TNFRSF10B",1.00590371198534,0.0653724263886661,6.46187535215717,1.03436437619381e-10,8.19230079053821e-08,"Up"
"FUT9",-1.00489322056205,0.0427166342460555,-6.45538400557608,1.07968922737537e-10,8.19230079053821e-08,"Down"
"GLUL",-1.00123169965881,0.0374902923286045,-6.43186257763605,1.26077410494788e-10,8.36306704952403e-08,"Down"
"TEAD4",1.00116117146275,0.0659311761676159,6.43140950801685,1.26453846914319e-10,8.36306704952403e-08,"Up"
"NR3C2",-1.00056683239937,0.0397086475587535,-6.42759150347154,1.29670006194651e-10,8.36306704952403e-08,"Down"
"PLA2G7",0.994795963088773,0.0672158373331598,6.39051972640748,1.65358339762599e-10,1.01029485764813e-07,"Up"
"GCNT4",-0.993815077537828,0.0333272429655549,-6.38421856647595,1.72311705312495e-10,1.01029485764813e-07,"Down"
"ADHFE1",-0.986932372917568,0.0331317810841834,-6.34000441475157,2.29806361317233e-10,1.2888140237526e-07,"Down"
"DHX34",0.984427733643237,0.0621041931639351,6.32391473678338,2.55070987739536e-10,1.32124374254662e-07,"Up"
"CPEB3",-0.983772365335272,0.0395515009512865,-6.31970468341012,2.62117449240398e-10,1.32124374254662e-07,"Down"
"ATP4A",-0.983389838915376,0.0325142957903415,-6.31724735273838,2.66317833213521e-10,1.32124374254662e-07,"Down"
"RCC2",0.982455938521389,0.0662924125076734,6.31124802311531,2.76850732858024e-10,1.32262874190209e-07,"Up"
"TTYH3",0.980809749897071,0.065756833322294,6.30067298937228,2.96416200397636e-10,1.33868764302439e-07,"Up"
"CA2",-0.980441960452926,0.0408406814700958,-6.29831032829887,3.0096861499114e-10,1.33868764302439e-07,"Down"
"GKN1",-0.976337900950208,0.0354131796532929,-6.27194605443407,3.56634222402735e-10,1.51598796752064e-07,"Down"
"CKMT2",-0.975159451209381,0.0290079970817931,-6.26437575198537,3.74396162522876e-10,1.51598796752064e-07,"Down"
"DCBLD1",0.974597425791036,0.0652327249175603,6.26076532868658,3.8316850889871e-10,1.51598796752064e-07,"Up"
"PGF",0.974303179398617,0.0626066047329696,6.25887510451504,3.87840940601452e-10,1.51598796752064e-07,"Up"
"CPA2",-0.973249790878096,0.0355705807259709,-6.25210818911758,4.05028448323968e-10,1.53660645733261e-07,"Down"
