"Variable","coef","HR","HR_95_lo","HR_95_hi","se_coef","z","p_value"
"Age",0.0306,1.0311,1.0029,1.06,0.0141,2.164,0.03046
"StageII",-0.173,0.8412,0.332,2.1314,0.4744,-0.365,0.71538
"StageIII",0.5795,1.7852,0.7363,4.3284,0.4519,1.282,0.1997
"StageIV",1.2428,3.4653,1.2401,9.6835,0.5243,2.37,0.01777
"GradeG2",-1.8505,0.1572,0.0187,1.3195,1.0856,-1.705,0.08827
"GradeG3",-1.2125,0.2974,0.0391,2.2655,1.0359,-1.171,0.24179
"TMB",-0.0123,0.9878,0.974,1.0018,0.0072,-1.709,0.08746
