"metric","value"
"analytic_N",199
"events",64
"total_model_df",8
"EPV",8
"c_apparent",0.6798
"c_corrected_selection_inclusive",0.6361
"c_ci_lo",0.5631
"c_ci_hi",0.7039
"optimism_selection_inclusive",0.0437
"old_fixed_selection_corrected",0.647
"delta_new_minus_old",-0.0109
"usable_replicates",455
"B",500
"sel_freq_Age",0.7604
"sel_freq_Stage",0.9275
"sel_freq_Grade",0.5868
"sel_freq_TMB",0.5275
"sel_freq_HAT1_expr",0.3187
