"cohort","n","events","genes_mapped","adjustment","logHR","SE","HR","HR_low","HR_high","p"
"ACRG/GSE62254",300,152,25,"age + TNM stage",0.263256458850433,0.0855233888227152,1.30116037025877,1.10035253712889,1.53861444582975,0.00208268470925167
"GSE15459",191,95,25,"age + TNM stage",0.182011010987367,0.106521730304704,1.19962740288932,0.973583601694934,1.47815339459047,0.0875111788435545
"GSE84437",431,207,25,"age + T-stage (no TNM stage in GEO; T-stage proxy)",0.103972382670831,0.06720241268315,1.10956981113772,0.972636993373636,1.26578073235516,0.121826470054981
