"score","kruskal_chisq","kruskal_p","mean_EBV","mean_MSI","mean_GS","mean_CIN","top"
"sig_score",34.166608238927,1.82705310493197e-07,-0.773433677996473,-0.441415637844278,0.355991846075335,0.20150084944546,"GS"
"caf_score",22.0103082489757,6.49097566394552e-05,-0.303133702238524,0.134435472614007,0.668357490470805,0.0743305071953854,"GS"
"xCell.Stroma",66.8617452872377,2.00466125055314e-14,0.065945944029294,0.0361677242522482,0.203446373890318,0.0619917054912769,"GS"
