"score","kruskal_p","mean_Intestinal","mean_Mixed","mean_Diffuse"
"sig_score",1.47123663011867e-05,-0.181462954459765,0.364420581795861,0.433997815190317
"caf_score",1.85107026785708e-08,-0.0448630803806753,0.398917948384242,0.721004545751258
"xCell.Stroma",7.64771946201382e-16,0.0477335645901423,0.0745334077019245,0.19673315409183
