"drug","n_arms","both_arms","n_signatures","min_adj_p","arms","libraries","max_combined","rank"
"resveratrol",2,TRUE,5,3.11682289712529e-99,"DOWN+UP","Drug_Perturbations_from_GEO_down; Drug_Perturbations_from_GEO_up; LINCS_L1000_Chem_Pert_down",19339.7726126698,1
"pd173074",2,TRUE,2,3.80970174449035e-98,"DOWN+UP","Drug_Perturbations_from_GEO_down; Drug_Perturbations_from_GEO_up",16086.0940882048,2
"calcitriol",2,TRUE,3,8.45810490486493e-85,"DOWN+UP","Drug_Perturbations_from_GEO_down; LINCS_L1000_Chem_Pert_Consensus_Sigs",12403.77654763,3
"palbociclib",2,TRUE,79,1.98269468047178e-72,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs; LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",18443.9874224928,4
"dovitinib",2,TRUE,31,2.34623108241516e-72,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",13811.522710714,5
"nvp-bez235",2,TRUE,80,1.16700545762856e-68,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",14346.0035522628,6
"vemurafenib",2,TRUE,31,1.46085468193297e-68,"DOWN+UP","Drug_Perturbations_from_GEO_down; Drug_Perturbations_from_GEO_up; LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",7734.02623080399,7
"mitoxantrone",2,TRUE,177,1.89800489524981e-66,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs; LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",13402.3835963136,8
"nvp-tae684",2,TRUE,64,9.36155048110606e-66,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs; LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",15310.2703132826,9
"pi-103",2,TRUE,63,1.19657483708923e-65,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",13677.0915924489,10
"gdc-0941",2,TRUE,63,1.65892495526361e-64,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs; LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",11641.4666725206,11
"torin-2",2,TRUE,78,1.40321466865064e-63,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs; LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",10701.1943480231,12
"jw-7-24-1",2,TRUE,41,1.4923542862542e-63,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",11555.0222543999,13
"foretinib",2,TRUE,27,2.03075744769828e-62,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",11364.391089457,14
"pd-173074",2,TRUE,10,1.51071949811432e-60,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",11253.1903623881,15
"gdc-0980",2,TRUE,64,1.94782556245394e-59,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",9622.38416518688,16
"torin-1",2,TRUE,68,2.48293599645868e-59,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",10218.9733864749,17
"zstk-474",2,TRUE,49,2.48293599645868e-59,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs; LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",10218.9733864749,18
"trametinib",2,TRUE,81,9.35497137312819e-59,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs; LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",9489.87583128244,19
"wye-125132",2,TRUE,83,2.27929252465839e-58,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",10149.2319069218,20
"gsk-2126458",2,TRUE,127,3.29208935011932e-58,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs; LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",8187.85109920055,21
"sorafenib",2,TRUE,12,1.55761888175523e-57,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",10206.9556298624,22
"pha-793887",2,TRUE,70,1.65363862434886e-57,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs; LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",10527.7150382187,23
"azd-8330",2,TRUE,76,2.09314644937582e-57,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs; LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",8186.20126240843,24
"hg-6-64-01",2,TRUE,48,2.85459817346903e-57,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",11708.3010124355,25
"sar405838",2,TRUE,2,1.16315820581034e-56,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs",7033.44830524166,26
"radicicol",2,TRUE,118,1.35609776886191e-56,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs; LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",10169.2296066154,27
"selumetinib",2,TRUE,69,7.45489126548223e-56,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs; LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",8874.37953684708,28
"tg-101348",2,TRUE,35,2.31159965527612e-55,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs; LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",8522.83549324007,29
"dasatinib",2,TRUE,177,3.21564796209426e-55,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs; LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",7859.52101618864,30
"gefitinib",2,TRUE,32,1.18377777475282e-54,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs; LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",9330.88884264667,31
"wz-4-145",2,TRUE,54,1.95691846164316e-54,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs; LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",11875.0756071946,32
"pd-184352",2,TRUE,61,2.29031706883859e-54,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs; LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",7325.64656836862,33
"azd-7762",2,TRUE,56,4.06204894948886e-54,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs; LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",9641.71224416723,34
"canertinib",2,TRUE,53,4.17874565396791e-54,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs; LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",8081.13884034192,35
"pyrvinium",2,TRUE,2,1.12478784602489e-53,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs",6266.38325382453,36
"nu-7441",2,TRUE,26,9.4089113838546e-53,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",8553.87222410262,37
"mk-1775",2,TRUE,15,2.24053168103284e-52,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs; LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",10760.919403184,38
"pf-477736",2,TRUE,33,2.63524670016018e-52,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",8924.44539659046,39
"mk-2206",2,TRUE,29,6.79362622924879e-52,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",8602.37949057259,40
"geldanamycin",2,TRUE,122,1.69768260833003e-51,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs; LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",8299.66321540439,41
"pd-0325901",2,TRUE,281,1.17054335471079e-50,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs; LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",8420.34693334503,42
"afatinib",2,TRUE,58,2.61328166010132e-50,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs; LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",6913.54601692719,43
"wh-4-025",2,TRUE,37,5.52554690126287e-50,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",7859.54654263033,44
"saracatinib",2,TRUE,33,6.00615297496815e-50,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs; LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",6234.98192602286,45
"dabrafenib",2,TRUE,19,8.79256705242283e-50,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs; LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",10165.3902316576,46
"erlotinib",2,TRUE,21,3.24613994400807e-49,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs; LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",6406.79924836904,47
"osi-027",2,TRUE,48,5.52456036542881e-49,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",9372.76500184351,48
"mek-162",2,TRUE,2,1.25282491601034e-48,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs",5024.90241891944,49
"plx4032",2,TRUE,8,3.53719946655981e-48,"DOWN+UP","Drug_Perturbations_from_GEO_down; Drug_Perturbations_from_GEO_up",3647.77541348541,50
"alvocidib",2,TRUE,61,2.07758307847304e-47,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",4713.01089899035,51
"plx-4720",2,TRUE,15,3.75703516029308e-47,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",5619.03307264963,52
"xmd-1150",2,TRUE,35,4.71858467637109e-47,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs; LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",5568.80693210938,53
"sb590885",2,TRUE,29,4.84260483552663e-47,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",6477.04269149544,54
"lapatinib",2,TRUE,32,1.62200672400935e-46,"DOWN+UP","Drug_Perturbations_from_GEO_down; Drug_Perturbations_from_GEO_up; LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",6692.85845030896,55
"pha-848125",2,TRUE,2,1.08359686410784e-45,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs",4461.52964214176,56
"hg-14-8-02",2,TRUE,16,2.25705518608622e-44,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",5040.42785371504,57
"kin001-127",2,TRUE,10,2.4870469788845e-44,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",6120.59392288897,58
"tak-733",2,TRUE,2,5.63307757709054e-44,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs",4099.3099440197,59
"nvp-aew541",2,TRUE,20,1.18600232056691e-43,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",5505.75983502217,60
"pelitinib",2,TRUE,40,5.28369490688239e-43,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",5166.33917282563,61
"celastrol",2,TRUE,33,7.47472520751185e-43,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs; LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",5535.04328821917,62
"bi-2536",2,TRUE,70,8.83217823019463e-43,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",5089.65372540961,63
"as-605240",2,TRUE,50,2.87078011374497e-42,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",4449.60211286524,64
"neratinib",2,TRUE,53,5.45965029765595e-42,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs; LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",4673.34211392251,65
"ym-201636",2,TRUE,17,1.29325563137147e-41,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",5320.80354907986,66
"crizotinib",2,TRUE,28,1.1924049657408e-40,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",10311.5129719908,67
"azd-8055",2,TRUE,47,2.06648360447901e-40,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",5586.87896541084,68
"azd-5438",2,TRUE,57,8.43395913685165e-40,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs; LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",4871.48564110666,69
"bosutinib",2,TRUE,8,1.3906025307567e-39,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs; LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",5696.15014867585,70
"ro-4987655",2,TRUE,2,2.33972197376215e-39,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs",3262.67417673757,71
"pf-562271",2,TRUE,23,2.80131806656069e-39,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs; LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",4549.48934924215,72
"ql-xi-92",2,TRUE,8,4.4230821721344e-39,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",6716.56829894798,73
"su-11274",2,TRUE,9,7.88048173117986e-39,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",5230.32619345624,74
"y15",2,TRUE,4,2.56674759859978e-38,"DOWN+UP","Drug_Perturbations_from_GEO_down; Drug_Perturbations_from_GEO_up",3072.86825905217,75
"pyrvinium-pamoate",2,TRUE,2,2.70996389952151e-38,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs",3145.32016333275,76
"cgm-097",2,TRUE,2,4.6733828606423e-38,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs",3061.97150362733,77
"kin001-265",2,TRUE,7,7.64916376948711e-38,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",3599.40356598931,78
"dcc-2036",2,TRUE,13,7.84411252228377e-37,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",5732.79029574138,79
"ql-x-138",2,TRUE,27,2.78627456620106e-36,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",5349.40898445177,80
"nvp-tae226",2,TRUE,23,4.2510399714653e-36,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",3515.59277144451,81
"tws-119",2,TRUE,12,4.2510399714653e-36,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",3515.59277144451,82
"phorbol",2,TRUE,3,9.98137947061106e-36,"DOWN+UP","Drug_Perturbations_from_GEO_down; Drug_Perturbations_from_GEO_up",2545.55941192675,83
"etoposide",2,TRUE,2,2.43562825031348e-35,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs",2666.51278407855,84
"amsacrine",2,TRUE,2,3.04901490521656e-35,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs",2631.01615409991,85
"sutent",2,TRUE,15,2.19052125288532e-34,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",3454.68313157441,86
"kin001-043",2,TRUE,23,3.04178708586222e-34,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs; LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",2865.68240213227,87
"cd-437",2,TRUE,2,6.28098849105636e-34,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs",2457.07803510376,88
"teniposide",2,TRUE,3,8.20079422727552e-34,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs; LINCS_L1000_Chem_Pert_up",2424.39436939483,89
"pracinostat",2,TRUE,39,9.08056286332228e-34,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",5618.66806844913,90
"ponatinib",2,TRUE,11,1.78320415477254e-33,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",3105.64181800548,91
"nickel",2,TRUE,3,4.76266428191727e-32,"DOWN+UP","Drug_Perturbations_from_GEO_down; Drug_Perturbations_from_GEO_up",1659.86771318037,92
"gsk-1070916",2,TRUE,16,4.33977200630763e-31,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs; LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",3863.01956162462,93
"nvp-bgj398",2,TRUE,3,5.42738983140261e-31,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs; LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",4333.82179392956,94
"xmd11-85h",2,TRUE,5,7.38000433622968e-31,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",3739.22199084718,95
"withaferin-a",2,TRUE,98,1.2522973834184e-30,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs; LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",3621.98909189119,96
"at-7519",2,TRUE,36,2.8201129677948e-30,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",3077.21092299924,97
"pik-93",2,TRUE,18,5.3795510433186e-30,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs; LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",3745.93380894287,98
"cx-5461",2,TRUE,9,6.84971431073743e-30,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs; LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",2922.09184814338,99
"pha-665752",2,TRUE,16,1.61029884895508e-29,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",2293.2005776556,100
"pf-03814735",2,TRUE,2,2.05193815580499e-29,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs",1849.9270950831,101
"methylstat",2,TRUE,9,2.407143801639e-29,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",2457.87018448926,102
"pf-3758309",2,TRUE,33,4.19906151924684e-29,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",2381.61582869529,103
"tgx-221",2,TRUE,7,1.0369651448065e-28,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",2262.89458658481,104
"byl719",2,TRUE,14,1.50435996683088e-28,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",3442.59582156439,105
"cyt387",2,TRUE,16,1.85307702331886e-28,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",5435.48399283236,106
"vorinostat",2,TRUE,78,7.78989195313965e-28,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs; LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",2213.30021302457,107
"hg-5-113-01",2,TRUE,21,3.07439326180386e-27,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",3721.7328487491,108
"idarubicin",2,TRUE,2,9.61268049948291e-27,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs",1551.34098725761,109
"etanercept",2,TRUE,15,1.03491468459958e-26,"DOWN+UP","Drug_Perturbations_from_GEO_down; Drug_Perturbations_from_GEO_up",1408.40318441081,110
"nvp-bgt226",2,TRUE,32,1.1643042738877e-26,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",3913.6204237866,111
"at7867",2,TRUE,9,1.67552487788508e-26,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",2029.14671443675,112
"cp466722",2,TRUE,5,6.11247841646604e-26,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",2074.10424640855,113
"kw-2449",2,TRUE,8,6.34765201477087e-26,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",2311.64609426562,114
"bs-181",2,TRUE,6,6.51810534093895e-26,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",3471.79081555255,115
"hypochlorous",2,TRUE,5,1.30379740152132e-25,"DOWN+UP","Drug_Perturbations_from_GEO_down; Drug_Perturbations_from_GEO_up",1153.13624960384,116
"aminopurvalanol-a",2,TRUE,2,2.07273869820549e-25,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs",1401.20474045963,117
"mln-8054",2,TRUE,7,2.99286899310841e-25,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",3646.85989498692,118
"tunicamycin",2,TRUE,2,2.95630431627782e-24,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs",1296.04372051274,119
"nsc-95397",2,TRUE,2,3.26219429915723e-24,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs",1287.41393048692,120
"hg-14-10-04",2,TRUE,15,3.69758032043861e-24,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",2562.13711488886,121
"ldn-193189",2,TRUE,19,5.32849360539172e-24,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",1557.92393650967,122
"sirolimus",2,TRUE,26,9.51671306694331e-24,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs; LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",2385.76517294772,123
"az20",2,TRUE,10,1.19389765811931e-23,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",2344.83933995444,124
"tozasertib",2,TRUE,14,2.64429225928277e-23,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",3642.08985970396,125
"cobimetinib",2,TRUE,2,6.84951341817148e-23,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs",1156.01632641688,126
"vandetanib",2,TRUE,8,6.85126549265031e-23,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs; LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",2055.69250330008,127
"pralatrexate",2,TRUE,2,8.29476569432723e-23,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs",1140.8072405385,128
"cadmium",2,TRUE,4,1.40829060554825e-22,"DOWN+UP","Drug_Perturbations_from_GEO_down; LINCS_L1000_Chem_Pert_Consensus_Sigs",1010.81710041347,129
"cgp-60474",2,TRUE,219,1.40577023871307e-21,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",1083.43096511611,130
"jwe-035",2,TRUE,13,1.96309731950908e-21,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",1820.63292117049,131
"cisplatin",2,TRUE,13,3.70504213096821e-21,"DOWN+UP","Drug_Perturbations_from_GEO_down; Drug_Perturbations_from_GEO_up",885.594953728349,132
"bx-795",2,TRUE,10,1.2882549030016e-20,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs; LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",1630.6422575031,133
"ly2603618",2,TRUE,13,2.92421806004078e-20,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",1967.9944227296,134
"gsk-1059615",2,TRUE,93,5.75639899211928e-20,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",1859.68296874503,135
"nintedanib",2,TRUE,23,3.05482538234524e-19,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs; LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",1602.24761557203,136
"valrubicin",2,TRUE,2,3.35362462460528e-19,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs",841.97136865302,137
"sn-38",2,TRUE,2,3.99153223447506e-19,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs",830.800386898486,138
"raf 265",2,TRUE,10,1.99923043819109e-18,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",2981.91771716891,139
"pf-431396",2,TRUE,28,2.2904717858317e-18,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",1036.03994637246,140
"hg-5-88-01",2,TRUE,18,3.7806309547351e-18,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",1495.83427277005,141
"st-4062971",2,TRUE,2,5.01968643669096e-18,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs",754.993010665912,142
"ink-128",2,TRUE,27,1.70326167000444e-17,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",1919.71266019968,143
"triciribine",2,TRUE,2,8.87596451842896e-17,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs",660.466833786716,144
"azacitidine",2,TRUE,13,1.07760956865863e-16,"DOWN+UP","Drug_Perturbations_from_GEO_down; LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",842.729634790839,145
"pfi-1",2,TRUE,7,1.07760956865863e-16,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",842.729634790839,146
"bix-02189",2,TRUE,2,2.03814534038317e-16,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs; LINCS_L1000_Chem_Pert_down",1434.05844051374,147
"ql-xii-47",2,TRUE,49,2.76270259742234e-16,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",1000.03297465349,148
"rocilinostat",2,TRUE,8,2.95781063086104e-16,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",868.678358573142,149
"vs-4718",2,TRUE,2,7.96495482036522e-16,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs",606.977468058819,150
"i-bet151",2,TRUE,20,1.48127513106896e-15,"DOWN+UP","LINCS_L1000_Chem_Pert_down; LINCS_L1000_Chem_Pert_up",750.047995754583,151
"gemcitabine",2,TRUE,2,9.54501104290763e-15,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs",540.089683171327,152
"jnj-7706621",2,TRUE,2,1.52250717987843e-14,"DOWN+UP","LINCS_L1000_Chem_Pert_Consensus_Sigs",518.243156207655,153
