"Package","Version"
"leidenbase","0.1.32"
"lifecycle","1.0.5"
"limma","3.58.1"
"limSolve","2.0.1"
"listenv","0.10.1"
"litedown","0.9"
"lme4","1.1-37"
"lmerTest","3.1-3"
"lmtest","0.9-40"
"locfit","1.5-9.12"
"logging","0.10-108"
"lpSolve","5.6.23"
"lubridate","1.9.4"
"Maaslin2","1.18.0"
"magrittr","2.0.5"
"markdown","2.0"
"MASS","7.3-60.0.1"
"mathjaxr","2.0-0"
"Matrix","1.6-5"
"MatrixGenerics","1.14.0"
"MatrixModels","0.5-4"
"matrixStats","1.5.0"
"maxstat","0.7-26"
"mclust","6.1.1"
"MCPcounter","1.2.0"
"memoise","2.0.1"
"MendelianRandomization","0.10.0"
"meta","8.3-0"
"metabook","0.2-0"
"metadat","1.6-0"
"metafor","5.0-1"
"metagenomeSeq","1.43.0"
"methods","4.3.3"
"mets","1.3.11"
"mgcv","1.9-3"
"microbenchmark","1.5.0"
"microbiome","1.24.0"
"mime","0.13"
"miniUI","0.1.2"
"minqa","1.2.8"
"mixOmics","6.26.0"
"mixsqp","0.3-54"
"mMCPcounter","1.1.0"
"mnormt","2.1.2"
"ModelMetrics","1.2.2.2"
"modelr","0.1.11"
"mr.raps","0.4.3"
"MRInstruments","0.3.2"
"MRMix","0.1.0"
"MRPRESSO","1.0"
"msigdbr","26.1.0"
"multcomp","1.4-28"
"multtest","2.58.0"
"munsell","0.5.1"
"mvtnorm","1.3-3"
"nlme","3.1-168"
"nloptr","2.2.1"
"nnet","7.3-20"
"nor1mix","1.3-3"
"nortest","1.0-4"
"numDeriv","2016.8-1.1"
"openssl","2.4.1"
"optparse","1.7.5"
"org.Hs.eg.db","3.18.0"
"otel","0.2.0"
"pak","0.9.5"
"parallel","4.3.3"
"parallelly","1.47.0"
"patchwork","1.3.2"
"pbapply","1.7-4"
"pbkrtest","0.5.5"
"pcaPP","2.0-5"
"pec","2025.06.24"
"permute","0.9-8"
"pheatmap","1.0.13"
"phyloseq","1.46.0"
"pillar","1.11.1"
"pixmap","0.4-14"
"pkgbuild","1.4.8"
"pkgconfig","2.0.3"
"pkgdown","2.1.3"
"pkgload","1.4.0"
"plogr","0.2.0"
"plotly","4.12.0"
"plotrix","3.8-14"
"pls","2.8-5"
"plyr","1.8.9"
"png","0.1-8"
"polspline","1.1.25"
"polyclip","1.10-7"
"polynom","1.4-1"
"pracma","2.4.6"
"praise","1.0.0"
"preprocessCore","1.64.0"
"prettyunits","1.2.0"
"pROC","1.19.0.1"
"processx","3.8.6"
"prodlim","2026.03.11"
"profvis","0.4.0"
"progress","1.2.3"
"progressr","0.19.0"
"promises","1.5.0"
"proxy","0.4-29"
"ps","1.9.1"
"pscl","1.5.9"
"psych","2.6.5"
"Publish","2025.07.24"
"purrr","1.2.2"
"quadprog","1.5-8"
"quantiseqr","1.8.0"
"quantreg","6.1"
"QUIC","1.1.1"
"qvalue","2.34.0"
"R.methodsS3","1.8.2"
"R.oo","1.27.1"
"R.utils","2.13.0"
"R6","2.6.1"
"RadialMR","1.2.3"
"ragg","1.5.0"
"randomForest","4.7-1.2"
"ranger","0.18.0"
"RANN","2.6.2"
"rappdirs","0.3.4"
"rARPACK","0.11-0"
"rbibutils","2.3"
"rcmdcheck","1.4.0"
"RColorBrewer","1.1-3"
"Rcpp","1.1.1-1.1"
"RcppAnnoy","0.0.23"
"RcppArmadillo","15.2.6-1"
"RcppEigen","0.3.4.0.2"
"RcppHNSW","0.6.0"
"RcppParallel","5.1.11-2"
"RcppProgress","0.4.2"
"RcppTOML","0.2.3"
"RCurl","1.98-1.17"
"Rdpack","2.6.4"
"readr","2.2.0"
"readxl","1.5.0"
"recipes","1.3.1"
"reformulas","0.4.1"
"rematch","2.0.0"
"rematch2","2.1.2"
"remotes","2.5.0"
"reprex","2.1.1"
"reshape","0.8.10"
"reshape2","1.4.5"
"restfulr","0.0.16"
"reticulate","1.46.0"
"rhdf5","2.46.1"
"rhdf5filters","1.14.1"
"Rhdf5lib","1.24.0"
"RhpcBLASctl","0.23-42"
"Rhtslib","2.4.1"
"riskRegression","2026.03.11"
"rjson","0.2.23"
"rlang","1.2.0"
"rmarkdown","2.31"
"rms","6.8-1"
"rngtools","1.5.2"
"robust","0.7-5"
"robustbase","0.99-6"
"ROCR","1.0-12"
"rootSolve","1.8.2.4"
"roxygen2","7.3.3"
"rpart","4.1.24"
"rprojroot","2.1.1"
"rrcov","1.7-7"
"Rsamtools","2.18.0"
"rsnps","0.6.1"
"RSpectra","0.16-2"
"RSQLite","3.52.0"
"rstatix","0.7.2"
"rstudioapi","0.18.0"
"rsvd","1.0.5"
"Rtsne","0.17"
"rversions","2.1.2"
"rvest","1.0.5"
"S4Arrays","1.2.0"
"S4Vectors","0.40.2"
"S7","0.2.2"
"sandwich","3.1-1"
"sass","0.4.10"
"ScaledMatrix","1.10.0"
"scales","1.4.0"
"scattermore","1.2"
"scatterpie","0.2.6"
"scLink","1.0.0"
"scrime","1.3.7"
"sctransform","0.4.3"
"selectr","0.5-1"
"sessioninfo","1.2.3"
"Seurat","5.5.0"
"SeuratObject","5.4.0"
