"module","moduleSize","Zsummary.pres","Zdensity.pres","Zconnectivity.pres","medianRank.pres"
"turquoise",1000,32.226,33.201,31.252,6
"gold",1000,25.502,7.984,43.02,9
"yellow",391,21.613,23.099,20.127,2
"green",340,17.346,16.586,18.107,3
"red",233,16.797,16.573,17.022,3
"brown",389,14.664,10.423,18.904,9
"black",73,9.998,9.538,10.458,5
"pink",68,8.246,7.061,9.431,4
"magenta",53,4.837,4.529,5.145,8
"blue",355,3.651,2.341,4.961,10
"grey",608,1.464,-3.262,6.191,11
"purple",8,1.212,2.891,-0.467,7
