"module","moduleSize","Zsummary.pres","Zdensity.pres","Zconnectivity.pres","medianRank.pres"
"yellow",383,29.326,40.467,18.186,2
"turquoise",1000,27.582,24.308,30.857,7
"red",233,17.083,16.266,17.899,5
"gold",1000,15.611,4.343,26.88,11
"brown",384,15.038,8.774,21.302,9
"green",339,14.81,7.61,22.01,8
"blue",333,9.914,12.924,6.903,10
"pink",64,9.431,11.339,7.523,3
"black",63,7.758,7.413,8.103,6
"magenta",56,7.746,10.165,5.328,4
"purple",6,2.317,4.296,0.337,4
"grey",598,0.285,-0.855,1.425,12
