"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009925","basal plasma membrane","56/2353","281/18305",0.000505682037736614,0.00523810261730945,0.00444919846509076,"S100G/AQP10/SLC51A/ACE/SLC46A1/SLC23A1/ANXA1/MTTP/SLC51B/HPGD/NDRG4/SLC7A8/AQP4/P2RY1/CA11/AQP3/DLG2/AQP7/PTH1R/DSP/MYO1A/KCNJ16/SLC16A7/CA14/ATP2B4/SLC9A4/ATP12A/ANK2/RHCG/SLC16A6/LRRK2/SLC26A7/ATP2B2/PIANP/TRPC4/CLCA2/ABCA8/NOD2/GPIHBP1/KCNQ4/SLC16A12/CD300LG/ITGA9/TACSTD2/SLC8A2/PALM/SLC26A10P/CALHM1/SLC6A13/VSIG1/CLDN8/SLC39A5/ATP6V0A4/CASR/CA9/RHBG",56
"GO:0099571","postsynaptic cytoskeleton","6/2353","10/18305",0.000592418190392201,0.00602291826898738,0.00511581400280205,"NEFM/NEFL/INA/ACTN2/CTTNBP2/ITPKA",6
"GO:0016323","basolateral plasma membrane","50/2353","248/18305",0.000748508157757625,0.00747147233834429,0.00634620313658618,"S100G/AQP10/SLC51A/SLC46A1/ANXA1/MTTP/SLC51B/HPGD/NDRG4/SLC7A8/AQP4/P2RY1/CA11/AQP3/DLG2/AQP7/PTH1R/DSP/MYO1A/KCNJ16/SLC16A7/CA14/ATP2B4/SLC9A4/ATP12A/ANK2/RHCG/SLC16A6/LRRK2/SLC26A7/ATP2B2/PIANP/TRPC4/ABCA8/NOD2/GPIHBP1/SLC16A12/CD300LG/SLC8A2/PALM/SLC26A10P/CALHM1/SLC6A13/VSIG1/CLDN8/SLC39A5/ATP6V0A4/CASR/CA9/RHBG",50
"GO:0008076","voltage-gated potassium channel complex","21/2353","79/18305",0.000774745048911609,0.00759526842593702,0.00645135444864366,"KCNA5/KCNE2/DPP6/KCNIP4/KCNB1/KCNJ16/KCNMB1/KCNA3/KCNIP2/KCNA2/KCNMA1/KCNA1/KCNMB2/KCNQ5/KCNH2/KCNQ4/KCNIP3/LRRC52/KCNB2/KCNA6/DPP10",21
"GO:0045178","basal part of cell","58/2353","300/18305",0.000887362828457881,0.00854670513725223,0.00725949645441997,"S100G/AQP10/SLC51A/ACE/SLC46A1/SLC23A1/ANXA1/MTTP/SLC51B/HPGD/NDRG4/SLC7A8/AQP4/P2RY1/CA11/AQP3/DLG2/AQP7/PTH1R/DSP/GKN2/MYO1A/KCNJ16/SLC16A7/CA14/ATP2B4/SLC9A4/ATP12A/ANK2/RHCG/SLC16A6/LRRK2/SLC26A7/ATP2B2/PIANP/TRPC4/CLCA2/ABCA8/NOD2/GPIHBP1/KCNQ4/SLC16A12/CD300LG/ITGA9/TACSTD2/SLC8A2/PALM/SLC26A10P/CALHM1/SLC6A13/VSIG1/CLDN8/SLC39A5/ATP6V0A4/CASR/CA9/KRT14/RHBG",58
"GO:0032281","AMPA glutamate receptor complex","10/2353","26/18305",0.000904242601553863,0.00855912393539777,0.00727004487274703,"ABHD6/GRIA4/VWC2/GRIA2/OLFM3/SHISA9/GRIA3/GRIA1/SHISA6/CACNG7",10
"GO:0016529","sarcoplasmic reticulum","20/2353","75/18305",0.000979819460821451,0.00911730311849113,0.00774415737990906,"GSTM2/KLHL41/DMPK/SLC2A4/NOS1/PLN/XDH/RYR3/CASQ2/AKAP6/ITPR1/JPH2/P3H2/RYR2/JPH4/IRAG1/TMEM38A/JSRP1/CASQ1/CAMK2B",20
"GO:0044304","main axon","18/2353","66/18305",0.0013016316950341,0.0118130025327289,0.0100338608417197,"LGI3/MYOC/TIAM1/EPB41L3/DLG2/CRHBP/CLDN5/LGI1/MAPT/MAP1B/KCNA2/KCNA1/CNTN2/NFASC/CNGA3/UCN3/TUBB4A/HAPLN2",18
"GO:0016528","sarcoplasm","23/2353","93/18305",0.00131255583696987,0.0118130025327289,0.0100338608417197,"GSN/SERTAD1/GSTM2/KLHL41/DMPK/SLC2A4/NOS1/PLN/XDH/RYR3/CASQ2/AKAP6/ITPR1/BAALC/JPH2/P3H2/RYR2/JPH4/IRAG1/TMEM38A/JSRP1/CASQ1/CAMK2B",23
"GO:0045111","intermediate filament cytoskeleton","40/2353","193/18305",0.00140402580065137,0.0124324220089936,0.010559990317293,"KRT1/PPL/KRT15/KRT3/NEFM/GPER1/EVPL/KRT78/S100A8/DSP/NEFL/PKP1/KRT2/INA/BFSP2/KRT4/PRPH/SYNM/KRT13/KRT32/KRT5/KRT6A/KRT20/KRTAP3-2/SYNC/KRT6B/KRT73/KRT33A/DES/DTNA/KRT16/KRT6C/KRT24/KRT222/KRT79/KRT77/KRT27/KRT72/KRT14/KRT31",40
"GO:0031045","dense core granule","12/2353","37/18305",0.00164388056735878,0.0143252449441265,0.0121677375328311,"ADRB2/SPX/CRHBP/SST/P2RX2/MYRIP/PENK/NPY/GRP/SYT4/CHGA/SCG2",12
"GO:0098978","glutamatergic synapse","73/2353","407/18305",0.00186457623894454,0.0159945680496961,0.0135856459515202,"ABHD6/LRRC4/RAP1A/FXYD6/MAPK3/ARC/TIAM1/P2RY1/GHRL/C1QL1/GPM6A/ITGA8/PRKAR2B/EPHA7/SLC16A7/GSG1L/ATP2B4/ACTN2/FLNA/GRIK2/SH3GL2/NRP2/LPAR1/BAIAP2/CTTNBP2/KCNA3/NPTX1/RGS9/NSG1/GRIK3/LRRK2/SORCS3/CALY/LGI1/ATP2B2/ADGRB3/FILIP1/ACTC1/ROR2/CHRM2/SPARCL1/KCNA2/ADGRL3/ABLIM3/SH3GL3/CNKSR2/GRID2/LRFN5/PTPRS/KCNA1/SYT10/NLGN1/SHISA9/ATP2B3/GRIN2A/HOMER2/CDH8/ELAVL4/ITPKA/GRIA1/IL1RAPL1/LRRTM3/SLITRK4/NRG3/CHRM1/CNR1/SYT4/WNT3A/SHISA6/NTNG1/CACNG7/CDH10/GHSR",73
"GO:0031528","microvillus membrane","11/2353","33/18305",0.00198659890506664,0.0166831168460907,0.0141704932658771,"MTTP/CEACAM20/SLC7A8/CDHR5/NHERF1/CDHR2/SYTL1/PDZK1/S100P/CA9/DPEP1",11
"GO:0034706","sodium channel complex","9/2353","24/18305",0.00200562060444807,0.0166831168460907,0.0141704932658771,"SCNN1B/SCN7A/GRIK2/GRIK5/GRIK3/GRIK1/SCNN1G/SCN2B/SCN4B",9
"GO:0044224","juxtaparanode region of axon","6/2353","12/18305",0.00207106197215878,0.0169703436226144,0.0144144611730768,"LGI3/EPB41L3/DLG2/KCNA2/KCNA1/CNTN2",6
"GO:0005901","caveola","20/2353","81/18305",0.00268348679207408,0.0216652095418922,0.0184022391468857,"ASAH2/KCNA5/MAPK3/CD36/ADCYAP1R1/FXYD1/ADRA1A/ATP1A2/AKAP6/ATP2B4/SORBS1/BVES/LRRK2/TRPC4/CAVIN2/ADTRP/CAVIN1/KCNMA1/CAV1/PTGIS",20
"GO:0033017","sarcoplasmic reticulum membrane","13/2353","44/18305",0.00274544112819655,0.0218060554586268,0.0185218724344198,"KLHL41/DMPK/PLN/RYR3/CASQ2/AKAP6/JPH2/RYR2/JPH4/TMEM38A/JSRP1/CASQ1/CAMK2B",13
"GO:0098992","neuronal dense core vesicle","9/2353","25/18305",0.00278037136995241,0.0218060554586268,0.0185218724344198,"ADRB2/SST/P2RX2/PENK/NPY/GRP/SYT4/CHGA/SCG2",9
"GO:0043209","myelin sheath","13/2353","45/18305",0.0034140849930012,0.0263990515656008,0.0224231230822762,"GPM6B/MPZ/MAL/PLP1/PMP2/PMP22/CLDN5/TSPAN2/JAM3/CA2/PLLP/CNTN2/TUBB4A",13
"GO:0031430","M band","8/2353","22/18305",0.00442552432937924,0.0332823679017699,0.0282697516642394,"CRYAB/MYOM2/KLHL41/LMOD3/MYOM1/ANK2/ALDOA/SMPX",8
"GO:0090665","glycoprotein complex","8/2353","22/18305",0.00442552432937924,0.0332823679017699,0.0282697516642394,"SGCA/SGCG/PGM5/DMD/FLNA/SNTA1/SGCE/SNTG2",8
"GO:0098982","GABA-ergic synapse","19/2353","79/18305",0.00462003423268292,0.0342756593749044,0.0291134447379593,"ABHD6/SLC6A1/SST/LPAR1/SLITRK3/GABRA5/ATP2B2/SLC6A11/LRFN5/LRRTM1/NLGN1/ATP2B3/NPY/GLRB/GAP43/CNR1/GABRA1/NPY5R/CDH10",19
"GO:0016010","dystrophin-associated glycoprotein complex","7/2353","18/18305",0.0050187943396267,0.0365733689870474,0.0310650991491937,"SGCA/SGCG/PGM5/DMD/SNTA1/SGCE/SNTG2",7
"GO:0045095","keratin filament","18/2353","74/18305",0.00506298004192277,0.0365733689870474,0.0310650991491937,"KRT1/KRT3/GPER1/KRT78/KRT2/KRT4/KRT13/KRT5/KRT6A/KRTAP3-2/KRT6B/KRT73/KRT16/KRT6C/KRT79/KRT77/KRT72/KRT14",18
"GO:0005902","microvillus","22/2353","97/18305",0.00517976408233996,0.0369310452104499,0.0313689061992701,"ENPP7/MTTP/CEACAM20/SLC7A8/FABP2/CDHR5/CBLIF/MYO1A/ANGPT1/NHERF1/CDHR2/SYTL1/AOC3/LRRK2/JAM3/CLCA1/PDZK1/FMN2/S100P/MYO7B/CA9/DPEP1",22
"GO:0044298","cell body membrane","10/2353","32/18305",0.005321898420219,0.0374579773423107,0.0318164777349125,"FLRT1/ATP1B2/KCNB1/CADM2/GABRA5/ATP2B2/KCNA2/GRIA1/P2RY12/KCNB2",10
"GO:0097386","glial cell projection","11/2353","37/18305",0.00539973842257322,0.0375247644809202,0.0318732061452357,"PINK1/GLUL/GJB2/AQP4/ATP1B2/SLC17A8/SCN7A/MAPT/CNGA3/SYT4/MT3",11
"GO:0045121","membrane raft","52/2353","286/18305",0.00589806578790275,0.0404754764694826,0.03437951505317,"ASAH2/SLC6A4/GPM6B/ABCG2/MALL/KCNA5/MAL/MAPK3/AHNAK/ACE2/ARC/CD36/ADCYAP1R1/HK1/RGMB/FXYD1/SGCA/SLC2A4/NOS1/MME/CD79A/CLIP3/MYO1A/ANGPT1/ADRA1A/PRNP/ATP1A2/DMD/AKAP6/ATP2B4/SORBS1/KCNA3/BVES/LRRK2/TRPC4/BAALC/MAPT/CAVIN2/ADTRP/CAVIN1/KCNMA1/CAV1/CD48/CD1A/FAIM2/DPP4/ADCY2/CNR1/CD19/PTGIS/CHRNA3/GHSR",52
"GO:0098857","membrane microdomain","52/2353","287/18305",0.00632574949506611,0.0428745243554481,0.0364172453062285,"ASAH2/SLC6A4/GPM6B/ABCG2/MALL/KCNA5/MAL/MAPK3/AHNAK/ACE2/ARC/CD36/ADCYAP1R1/HK1/RGMB/FXYD1/SGCA/SLC2A4/NOS1/MME/CD79A/CLIP3/MYO1A/ANGPT1/ADRA1A/PRNP/ATP1A2/DMD/AKAP6/ATP2B4/SORBS1/KCNA3/BVES/LRRK2/TRPC4/BAALC/MAPT/CAVIN2/ADTRP/CAVIN1/KCNMA1/CAV1/CD48/CD1A/FAIM2/DPP4/ADCY2/CNR1/CD19/PTGIS/CHRNA3/GHSR",52
"GO:0044305","calyx of Held","7/2353","19/18305",0.00707640588649769,0.0462493670438956,0.0392838071142666,"KCNA3/KCNA2/KCNA1/KCNQ5/PRKCB/HTR1B/UNC13C",7
"GO:0097449","astrocyte projection","7/2353","19/18305",0.00707640588649769,0.0462493670438956,0.0392838071142666,"PINK1/GJB2/AQP4/ATP1B2/SLC17A8/SYT4/MT3",7
"GO:0098688","parallel fiber to Purkinje cell synapse","7/2353","19/18305",0.00707640588649769,0.0462493670438956,0.0392838071142666,"GPM6A/SLC16A7/ATP2B2/GRID2/GRIA3/ATP2B3/UNC13C",7
