"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0060993","kidney morphogenesis","21/1922","98/17353",0.00215947824492423,0.0437590976224207,0.0402503097588731,"HOXA11/KIF26B/LIF/SOX4/SOX9/LHX1/WT1/SIX1/STAT1/FOXJ1/CALB1/SIX4/PAX2/AGT/PAX8/WNT11/HNF1B/HOXD11/FOXD1/FGF8/FRAS1",21
"GO:0048844","artery morphogenesis","17/1922","73/17353",0.00218746152517622,0.0441643691871345,0.0406230849508331,"STRA6/SOX4/COMP/COL3A1/HOXA13/FOXH1/CHD7/SIX1/PDGFRB/FKBP10/APOE/PROX1/LRP2/WNT11/PRRX1/FOXC1/FGF8",17
"GO:0034368","protein-lipid complex remodeling","10/1922","33/17353",0.00228199516813087,0.0457391205438405,0.0420715661431908,"APOA2/PLA2G7/APOC1/LIPG/APOE/AGT/LIPC/CETP/PLA2G2E/PLA2G2A",10
"GO:0034369","plasma lipoprotein particle remodeling","10/1922","33/17353",0.00228199516813087,0.0457391205438405,0.0420715661431908,"APOA2/PLA2G7/APOC1/LIPG/APOE/AGT/LIPC/CETP/PLA2G2E/PLA2G2A",10
"GO:0032964","collagen biosynthetic process","12/1922","44/17353",0.00234966094181947,0.0469253585925824,0.0431626866530698,"INHBA/COL1A1/SERPINH1/RUNX1/F2R/MYB/P3H4/COL5A1/F2/UCN/RCN3/AMELX",12
"GO:0007130","synaptonemal complex assembly","8/1922","23/17353",0.00236783629132065,0.0469493561418848,0.0431847599782835,"TRIP13/P3H4/HORMAD1/SYCE3/MEIOC/SYCP2/TERB2/SYCP1",8
"GO:0060065","uterus development","8/1922","23/17353",0.00236783629132065,0.0469493561418848,0.0431847599782835,"HOXA11/STRA6/HOXA10/HOXA9/CYP19A1/LHX1/FOXL2/RBP4",8
"GO:0003156","regulation of animal organ formation","9/1922","28/17353",0.00238977084015853,0.0471063743556244,0.0433291878135039,"WNT2/HOXC11/HOXA11/SULF1/WT1/SIX1/DKK1/WNT11/FGF8",9
"GO:0001704","formation of primary germ layer","25/1922","125/17353",0.00239278582681317,0.0471063743556244,0.0433291878135039,"COL11A1/INHBA/HOXA11/HMGA2/COL5A2/MMP8/APELA/LHX1/COL12A1/COL5A1/COL8A1/PAX2/MESP2/DKK1/LEF1/WNT11/HNF1B/MMP9/POU5F1/FOXC1/COL7A1/HAND1/TBX20/VTN/TBXT",25
"GO:0035195","miRNA-mediated post-transcriptional gene silencing","32/1922","173/17353",0.00247041941474671,0.048341733610519,0.0444654907853348,"XPO5/HOXA10-AS/TRIM71/MIR17HG/LIN28B/MIR196A1/MIR25/MIR34AHG/MIR135B/MIR554/MIR320C1/MIR16-1/MIR608/MIR616/MIR589/MIR661/MIR657/LIN28A/MIR644A/MIR643/MIR181A2/MIR613/MIR98/MIR1249/MIR302A/MIR567/MIR181B2/MIR581/MIR454/MIR302D/MIR942/MIR595",32
"GO:0001833","inner cell mass cell proliferation","6/1922","14/17353",0.00250075242588282,0.048341733610519,0.0444654907853348,"SALL4/CHEK1/GINS1/BRCA2/NCAPG2/GINS4",6
"GO:0030049","muscle filament sliding","6/1922","14/17353",0.00250075242588282,0.048341733610519,0.0444654907853348,"TNNC1/MYLK2/MYH4/MYH6/TNNT2/MYH8",6
"GO:0072160","nephron tubule epithelial cell differentiation","6/1922","14/17353",0.00250075242588282,0.048341733610519,0.0444654907853348,"LIF/LHX1/STAT1/PAX2/PAX8/PROM1",6
"GO:0072283","metanephric renal vesicle morphogenesis","6/1922","14/17353",0.00250075242588282,0.048341733610519,0.0444654907853348,"KIF26B/LIF/LHX1/STAT1/PAX2/PAX8",6
"GO:0021515","cell differentiation in spinal cord","13/1922","50/17353",0.00250796774154355,0.048341733610519,0.0444654907853348,"HOXC10/LHX1/LHX4/DRAXIN/HOXD10/MNX1/LBX1/LHX3/TBX20/GBX1/GSX1/OLIG3/FOXN4",13
"GO:0010496","intercellular transport","5/1922","10/17353",0.00258695255017309,0.0493383002765013,0.0453821485589312,"EPHB2/CLDN16/GJB4/GJA3/GJA8",5
"GO:0021520","spinal cord motor neuron cell fate specification","5/1922","10/17353",0.00258695255017309,0.0493383002765013,0.0453821485589312,"HOXC10/HOXD10/MNX1/LHX3/OLIG3",5
"GO:0032276","regulation of gonadotropin secretion","5/1922","10/17353",0.00258695255017309,0.0493383002765013,0.0453821485589312,"INHBA/FOXL2/INHA/INHBB/OPRK1",5
"GO:0035107","appendage morphogenesis","28/1922","146/17353",0.00260426313823904,0.0493383002765013,0.0453821485589312,"HOXC10/SALL4/HOXC11/HOXA11/HOXA10/HOXA9/SP8/COL3A1/SOX9/HOXA13/CHD7/TBX4/DLX6/SHOX2/HOXD12/MSX2/HOXD10/DKK1/LEF1/PKDCC/HOXD13/SP9/MSX1/PRRX1/EN1/FGF8/FRAS1/ALX3",28
"GO:0035108","limb morphogenesis","28/1922","146/17353",0.00260426313823904,0.0493383002765013,0.0453821485589312,"HOXC10/SALL4/HOXC11/HOXA11/HOXA10/HOXA9/SP8/COL3A1/SOX9/HOXA13/CHD7/TBX4/DLX6/SHOX2/HOXD12/MSX2/HOXD10/DKK1/LEF1/PKDCC/HOXD13/SP9/MSX1/PRRX1/EN1/FGF8/FRAS1/ALX3",28
