"category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Lipid metabolism","hsa00140","Steroid hormone biosynthesis","22/1125","61/8346",6.82896407756367e-06,0.00012595644854173,0.000104630911597759,"CYP3A4/DHRS11/UGT1A7/UGT1A4/UGT1A1/AKR1C1/CYP11A1/RDH5/AKR1C3/HSD17B2/AKR1C2/SULT2B1/UGT2B7/CYP1A1/UGT2B17/HSD17B6/UGT2B11/UGT1A10/UGT2B15/CYP7A1/UGT2A3/UGT1A8",22
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","59/1125","253/8346",1.12744745974171e-05,0.000197006608754867,0.000163651653436193,"C4orf3/SLC25A4/PLCD1/GNA11/ADRB2/HRH2/PLCD4/VEGFD/CAMK2A/BDKRB1/HTR7/NOS1/PLN/GNA15/ADRA1A/P2RX2/RYR3/ITPKB/SMIM6/CASQ2/ATP2B4/CYSLTR1/PDGFD/FGF2/MST1/PDE1B/ITPR1/CACNA1H/GRPR/ATP2B2/PDE1C/CCKBR/RYR2/MYLK/CHRM2/ADRA1D/ADRB3/PTGER3/PRKCB/TACR2/HTR4/ATP2B3/CCKAR/AGTR1/AVPR1A/NTRK3/GRIN2A/PTGFR/SLC8A2/ITPKA/CASQ1/CAMK2B/FGF10/ADCY2/CHRM1/CALML3/TACR1/AVPR1B/LHCGR",59
"Metabolism","Carbohydrate metabolism","hsa00040","Pentose and glucuronate interconversions","15/1125","34/8346",1.2098837670762e-05,0.000200840705334649,0.000166836603670507,"DHDH/UGT1A7/CRYL1/UGT1A4/AKR1B15/UGT1A1/AKR1B10/UGT2B7/UGT2B17/UGT2B11/KL/UGT1A10/UGT2B15/UGT2A3/UGT1A8",15
"Metabolism","Carbohydrate metabolism","hsa00053","Ascorbate and aldarate metabolism","13/1125","28/8346",2.37405343628342e-05,0.000375326543260045,0.000311780451281331,"UGT1A7/ALDH3A2/UGT1A4/UGT1A1/UGT2B7/UGT2B17/UGT2B11/KL/UGT1A10/UGT2B15/UGT2A3/RGN/UGT1A8",13
NA,NA,"hsa04820","Cytoskeleton in muscle cells","54/1125","233/8346",3.17453182024987e-05,0.000479065711055889,0.000397955663591132,"CKM/AMPD1/PDLIM2/TPM1/COL4A6/MYOM2/ATP1B2/FHL1/LMOD3/MYL9/MYL4/CSRP1/SGCA/DSP/TMOD1/DSC2/COL4A5/DAAM2/ITGA8/SGCG/TPM2/MYOZ1/MYOM1/ATP1A2/DMD/PDLIM3/PDLIM4/ACTN2/LMOD1/SNTA1/DCN/LDB3/ANK2/MYOZ2/ACTC1/MYH11/ITGB7/CSRP2/ITGA7/PDLIM7/MYH7/TNNT3/SGCE/FBLN1/ACTG2/TRIM55/ITGA9/FLNC/SYNPO2/DES/COL6A5/DTNA/FMN2/MYPN",54
"Organismal Systems","Circulatory system","hsa04270","Vascular smooth muscle contraction","35/1125","134/8346",6.29721662150499e-05,0.000908989529712894,0.000755089590313184,"MYL6/GNA11/MAPK3/PLA2G2C/PPP1R12C/NPR1/MYL9/NPPC/ADRA1A/PPP1R14A/KCNMB1/EDN3/PLA2G4D/EDN2/ITPR1/ACTA2/ADCY5/MYH11/CALD1/MYLK/ADRA1D/KCNMA1/IRAG1/KCNMB2/PPP1R12B/PLA2G5/PRKCB/PLA2G12B/AGTR1/AVPR1A/ACTG2/PLA2G10/ADCY2/CALML3/AVPR1B",35
"Organismal Systems","Digestive system","hsa04971","Gastric acid secretion","23/1125","76/8346",0.000105497722292207,0.00145938515837553,0.00121229838774378,"KCNE2/HRH2/ATP1B2/CAMK2A/ATP4B/GAST/SST/KCNJ15/KCNJ16/ATP4A/ATP1A2/SLC9A4/ITPR1/ADCY5/SLC26A7/GNAI1/CCKBR/CA2/MYLK/PRKCB/CAMK2B/ADCY2/CALML3",23
"Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation","45/1125","197/8346",0.000202485951482856,0.00268901343569232,0.00223373975951613,"GSTM5/KLF4/CYP3A4/UGT1A7/RXRG/MAPK3/JUN/ADRB2/CREB3L3/EPHX1/UGT1A4/GSTM2/MGST3/PAQR7/UGT1A1/GSTA1/NR1I3/GSTA3/EPHX2/GSTA2/PGR/FOS/FGF2/AR/ADCY5/GNAI1/GSTA4/UGT2B7/CYP1A1/UGT2B17/ADRB3/UGT2B11/PRKCB/CHRNB4/EPHX3/RPS6KA6/UGT1A10/UGT2B15/FGF10/ADCY2/UGT2A3/GSTM1/CHRNA3/GSTA5/UGT1A8",45
"Organismal Systems","Endocrine system","hsa04911","Insulin secretion","24/1125","85/8346",0.000247413912646443,0.00315928534610074,0.00262439049041976,"GIP/GNA11/CREB3L3/ADCYAP1R1/ATP1B2/CAMK2A/SLC2A2/ATP1A2/KCNMB1/KCNN3/KCNN2/GCG/ADCY5/RYR2/KCNMA1/KCNMB2/PRKCB/CCKAR/FFAR1/GPR119/CAMK2B/ADCY2/CCK/ABCC8",24
"Organismal Systems","Nervous system","hsa04726","Serotonergic synapse","29/1125","112/8346",0.000306584417480098,0.00376985283716268,0.00313158352357839,"ALOX12/SLC6A4/CYP2D6/GNG7/PTGS1/MAPK3/DUSP1/ALOX15B/HTR7/CYP2C18/MAOA/CYP2J2/PLA2G4D/GNG8/KCNN2/CYP2C9/GNAO1/MAOB/ITPR1/ADCY5/GNAI1/TRPC1/CYP2C19/HTR3B/HTR1E/PRKCB/HTR4/HTR1B/TPH1",29
"Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment","26/1125","97/8346",0.000345008034138941,0.00409080954764744,0.00339819943400009,"GNG7/PER1/MAPK3/GRIA4/ADCYAP1R1/CAMK2A/PER3/NOS1/RYR3/FOS/GRIA2/GNG8/GNAO1/ITPR1/CACNA1H/ADCY5/GNAI1/RYR2/PRKCB/GRIA3/PRKG2/GRIN2A/GRIA1/CAMK2B/ADCY2/CALML3",26
"Organismal Systems","Circulatory system","hsa04261","Adrenergic signaling in cardiomyocytes","36/1125","154/8346",0.000537110404698343,0.00606450804199222,0.00503773337667078,"PPP1R1A/MAPK3/ADRB2/CREB3L3/TPM1/ATP1B2/CAMK2A/MYL4/CACNB2/CACNA2D3/PLN/SCN7A/TPM2/ADRA1A/ATP1A2/PPP2R3A/ATP2B4/ADCY5/BVES/ATP2B2/ACTC1/GNAI1/RYR2/PPP2R2B/POPDC2/ADRA1D/MYH7/ATP2B3/AGTR1/SCN4B/PPP2R2C/SLC8A2/CAMK2B/ADCY2/CALML3/CACNG7",36
"Organismal Systems","Endocrine system","hsa04924","Renin secretion","20/1125","69/8346",0.000547997714637851,0.00606450804199222,0.00503773337667078,"ACE/ADRB2/ADCYAP1R1/NPR1/EDN3/CLCA4/EDN2/PDE1B/ITPR1/ADCY5/GNAI1/PDE1C/CLCA2/ADRB3/KCNMA1/CLCA1/AGTR1/PDE3A/PRKG2/CALML3",20
"Metabolism","Carbohydrate metabolism","hsa00010","Glycolysis / Gluconeogenesis","19/1125","66/8346",0.000820239837835949,0.00878450406972693,0.00729721010230963,"PCK2/G6PC1/ALDOB/FBP2/ALDH3A2/ALDH3A1/ALDOC/FBP1/HK1/PCK1/ADH7/ADH1B/ALDOA/ALDH3B2/ADH4/ADH1C/PKLR/G6PC2/ADH6",19
"Metabolism","Lipid metabolism","hsa00071","Fatty acid degradation","14/1125","43/8346",0.00104940660370571,0.0108875935134467,0.00904422796614788,"ACAA1/ACOX3/HADH/ACADM/ALDH3A2/ACADS/ACADSB/ADH7/ADH1B/ACADL/ACSL5/ADH4/ADH1C/ADH6",14
"Environmental Information Processing","Signal transduction","hsa04022","cGMP-PKG signaling pathway","36/1125","164/8346",0.0017990304111568,0.0176726048665492,0.0146804770926946,"SLC25A4/GNA11/MAPK3/ADRB2/CREB3L3/RGS2/ATP1B2/NPR1/PDE2A/MYL9/PLN/NPPC/ADRA1A/ATP1A2/KCNMB1/PDE5A/ATP2B4/ITPR1/ADCY5/ATP2B2/GNAI1/MYLK/CNGA1/ADRA1D/ADRB3/KCNMA1/IRAG1/KCNMB2/MYH7/ATP2B3/AGTR1/PDE3A/PRKG2/SLC8A2/ADCY2/CALML3",36
"Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","22/1125","86/8346",0.00185981469012268,0.0176726048665492,0.0146804770926946,"SGCA/NOS1/DSP/CACNB2/DSC2/CACNA2D3/ITGA8/SGCG/CTNNA3/DMD/ACTN2/SNTA1/TCF7L1/ITGB7/RYR2/ITGA7/SGCE/ITGA9/SLC8A2/DES/DTNA/CACNG7",22
"Metabolism","Amino acid metabolism","hsa00350","Tyrosine metabolism","12/1125","36/8346",0.00188120792442831,0.0176726048665492,0.0146804770926946,"ALDH3A1/MAOA/ADH7/AOC3/ADH1B/MAOB/ALDH3B2/ADH4/DCT/ADH1C/TPO/ADH6",12
NA,NA,"hsa04517","IgSF CAM signaling","58/1125","297/8346",0.00193016092027465,0.0176726048665492,0.0146804770926946,"MPZ/RAP1A/MYL6/MAPK3/NCAM1/PARD6G/CADM3/EPB41L3/JAM2/MYL9/PMP2/TUBB6/NTN1/TUBAL3/CADM2/ICAM3/TUBB2A/PMP22/MAPK10/UNC5D/SORBS1/MAGI2/NRP2/BAIAP2/SLITRK3/ANK2/MYH11/JAM3/SLAMF7/MYLK/LY9/KCNA2/KIRREL3/LRFN5/PTPRS/KCNA1/CNTN2/NFASC/TUBA1A/CLMP/PRKCB/CNTN1/CD48/NLGN1/MPDZ/DCC/TUBB4A/NTRK3/SLIT2/NECTIN4/IL1RAPL1/PTPRZ1/SLITRK5/RIMS1/SLITRK4/KCNA6/PAK5/FGA",58
"Organismal Systems","Endocrine system","hsa04614","Renin-angiotensin system","9/1125","23/8346",0.00196953728934434,0.0176726048665492,0.0146804770926946,"ACE/ACE2/MME/ANPEP/ENPEP/CMA1/AGTR1/CPA3/CTSG",9
"Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","24/1125","99/8346",0.00258809612958933,0.0223274868327179,0.0185472465129108,"ACE/TPM1/SGCA/NOS1/CACNB2/CACNA2D3/ITGA8/SGCG/TPM2/DMD/SNTA1/ACTC1/ITGB7/RYR2/ITGA7/PRKAA2/MYH7/SGCE/ITGA9/SLC8A2/DES/DTNA/IL6/CACNG7",24
"Metabolism","Metabolism of cofactors and vitamins","hsa00860","Porphyrin metabolism","13/1125","42/8346",0.00262280718818071,0.0223274868327179,0.0185472465129108,"UGT1A7/UGT1A4/UGT1A1/BLVRB/FTH1/UGT2B7/UGT2B17/UGT2B11/UGT1A10/UGT2B15/UGT2A3/ALAS2/UGT1A8",13
"Organismal Systems","Endocrine system","hsa04923","Regulation of lipolysis in adipocytes","16/1125","57/8346",0.00274680180882769,0.0227984550132698,0.0189384756292856,"CIDEC/PTGS1/ADRB2/NPR1/AQP7/PLAAT2/ADCY5/GNAI1/ADRB3/PTGER3/FABP4/PLIN1/PRKG2/NPY/ADCY2/TSHB",16
"Metabolism","Carbohydrate metabolism","hsa00620","Pyruvate metabolism","14/1125","49/8346",0.00415153308631267,0.0336172923086782,0.0279255884111404,"PCK2/ALDH3A2/ACACB/LDHD/ME1/FAHD2B/PCK1/ADH7/ADH1B/ADH4/ADH1C/ACOT12/PKLR/ADH6",14
"Metabolism","Lipid metabolism","hsa00591","Linoleic acid metabolism","10/1125","30/8346",0.00443534769133755,0.0350603674648587,0.0291243382238205,"CYP3A4/PLA2G2C/PLAAT2/CYP2J2/PLA2G4D/CYP2C9/CYP2C19/PLA2G5/PLA2G12B/PLA2G10",10
"Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","24/1125","104/8346",0.00509504796740208,0.0381504578638719,0.031691249081593,"TPM1/SGCA/NOS1/CACNB2/CACNA2D3/PLN/ITGA8/SGCG/TPM2/DMD/SNTA1/ADCY5/ACTC1/ITGB7/RYR2/ITGA7/MYH7/SGCE/ITGA9/SLC8A2/DES/DTNA/ADCY2/CACNG7",24
"Organismal Systems","Digestive system","hsa04973","Carbohydrate digestion and absorption","13/1125","45/8346",0.00509906097410665,0.0381504578638719,0.031691249081593,"SLC2A5/MGAM/LCT/G6PC1/SLC5A1/HK1/ATP1B2/SI/SLC2A2/ATP1A2/PRKCB/TAS1R3/G6PC2",13
"Organismal Systems","Digestive system","hsa04977","Vitamin digestion and absorption","9/1125","26/8346",0.00517099579480192,0.0381504578638719,0.031691249081593,"RBP2/SLC46A1/SLC23A1/BTD/APOA4/APOB/CBLIF/APOA1/LRAT",9
"Metabolism","Carbohydrate metabolism","hsa00051","Fructose and mannose metabolism","11/1125","36/8346",0.0061136486561292,0.0441245946485847,0.0366539118513925,"KHK/PMM1/TKFC/ALDOB/FBP2/ALDOC/FBP1/AKR1B15/HK1/AKR1B10/ALDOA",11
