"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_FATTY_ACID_METABOLISM",0.0267589170603625,0.0352091013952139,0.352487857583619,-0.279280390348159,-1.3236726064077,158,"3417;39;3157;23173;3422;1718;51478;2820;1371;2194;3320;2271;3015;670;5160;3420;5092;50814;131076;4191;6584;8802;51109;1892;728294;1738;328;6296;4953;8803"
"HALLMARK_BILE_ACID_METABOLISM",0.0476190476190476,0.0610500610500611,0.252961123069611,0.334545856592331,1.3641671158443,112,"10351;23460;367;9420;9023;10350;6258;225;19;654;6310;8630;1734;64137;10858;21;8412;51302;3991;3932;54677;9962;83752;4306;2030;23417;4734;6256;5947;5213"
"HALLMARK_PEROXISOME",0.0531438252370617,0.0664297815463272,0.321775918075361,-0.298631475504114,-1.32105288498589,103,"7153;3417;3422;1718;4436;5194;10478;5825;60386;2224;2071;11001;5052;3291;1503;54982;26986;51109;8799"
"HALLMARK_XENOBIOTIC_METABOLISM",0.0576601213575237,0.0703172211677118,0.321775918075361,-0.249531336150603,-1.23389442717695,200,"27346;3417;52;9054;2937;3172;191;5831;2571;3728;6510;10237;64087;51181;839;1573;3251;211;670;435;4522;10728;10857;2618;10653;116842;5226;2203;6472;55502"
"HALLMARK_PANCREAS_BETA_CELLS",0.0799289520426288,0.0941696691778579,0.211400189384923,0.408697622118115,1.3649037464845,40,"1641;10000;4005;9935;5063;3670;5122;5126;2308;6727;2645;6750;2641;50674;10590;1113;5078;4821"
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.0809859154929577,0.0941696691778579,0.208955027549354,0.398102270384001,1.34232215750443,42,"8321;23493;4855;894;8325;2770;5727;51176;7475;23462;7471;28514;10014;9612"
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.0954356846473029,0.108449641644662,0.16823816568964,0.283153833708147,1.24594869394238,200,"3487;27295;3572;493;596;5241;26353;1363;857;6387;10439;5577;57419;11098;64377;8839;5733;2852;2289;11031;7177;1960;4886;6196;7074;7980;960;4137;57758;5979"
"HALLMARK_ANDROGEN_RESPONSE",0.130434782608696,0.144927536231884,0.148261500475107,0.30779826049671,1.23979945191508,100,"9510;2982;8611;9590;25816;79689;220;87;4094;2289;6722;11099;57178;22936;3977;84159;6414;10611;3685;658;60481;8554;2005;8821;54407;2185;8848;10645;56172;567"
"HALLMARK_NOTCH_SIGNALING",0.17595818815331,0.191258900166641,0.136490437780413,0.382836309421946,1.23807820218822,32,"1840;26508;4853;8321;8324;4854;84441;28514;6500;408;10402;23291;4851"
"HALLMARK_P53_PATHWAY",0.232365145228216,0.24719696300874,0.101713902282311,0.254781919112422,1.12110507281866,200,"7704;2040;3275;23479;7040;10628;23612;6236;5784;677;7832;64061;26999;1606;10608;4033;2258;975;2149;26207;894;8722;355;6948;694;4013;7508;2760;64393;26471"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.276785714285714,0.288318452380952,0.0956031492204301,0.270683778753642,1.09275775183318,105,"5602;4803;5579;10392;814;9630;7074;108;7852;6503;81617;1845;5728;8503;79109;3932;5300;5563;4690;7249;3561;7132;27071;3709;1956;2872;23236;6773"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.672945205479452,0.686678781101482,0.0567672387487446,0.251484080663914,0.881330723766661,48,"5621;2878;4046;26034;2242;3726;2745;4353;3087;9124;4155;4482;4363;1032"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.763197586726998,0.763197586726998,0.0451344222209097,0.211635921829821,0.845946376456174,97,"716;6402;10628;10581;3566;1435;2634;55281;3431;3600;3433;10161;7318;972;81894;567;55603;6773;85363;684;10410;219285;10964"
