"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007611","learning or memory","59/2227","272/17353",3.00243950215202e-05,0.00127186046279131,0.00109998357383947,"BTG2/TTC36/SLC6A4/KAT2B/GIP/S100B/PTN/NDRG4/ARC/PRKN/NPAS4/C1QL1/SLC6A1/SGK1/SLC2A4/PTCHD1/MME/NRXN1/CRHBP/ITGA8/PRKAR2B/PRNP/ATP1A2/CLDN5/FOS/KIT/PRRT1/GABRA5/PDE1B/B3GAT1/VIP/SORCS3/GRPR/ADGRB3/VLDLR/MAPT/PDE8B/JPH4/BCHE/LRRC66/CNTN2/NRXN3/TUBA1A/TACR2/GRIN2A/ELAVL4/RELN/SLC8A2/GRIA1/CCL11/PTPRZ1/CNR1/SYT4/TACR1/LMX1A/ABCC8/PAK5/KLK8/GHSR",59
"GO:0006638","neutral lipid metabolic process","34/2227","130/17353",3.06212005311995e-05,0.00127792476883539,0.00110522836069335,"PCK2/ABHD6/G6PC1/CIDEC/GPAT3/MTTP/APOA4/APOB/APOC3/DGAT1/APOBEC1/MOGAT2/DGKB/DGKG/PLIN5/PCK1/TNXB/DGKA/NKX2-3/AADAC/GPLD1/MFSD2A/ANG/LIPF/CAV1/GPIHBP1/SNCA/AGMO/DGKK/SIK1/PNLIPRP2/PNPLA1/RGN/THRSP",34
"GO:0019730","antimicrobial humoral response","34/2227","130/17353",3.06212005311995e-05,0.00127792476883539,0.00110522836069335,"JCHAIN/LEAP2/SPINK5/IGHM/IGHA1/TSLP/IGHA2/RNASE7/EVPL/S100A9/WFDC12/DEFA5/PGLYRP3/LTF/ELANE/DEFA6/IGKV3-20/ANG/PGC/NOD2/CXCL14/IGHG3/S100A12/KRT6A/IL36RN/IGHG2/SPRR2A/SLPI/CTSG/PGLYRP4/WFDC5/REG3A/DEFB1/FGA",34
"GO:0043266","regulation of potassium ion transport","27/2227","94/17353",3.34743601754435e-05,0.00137913825759878,0.00119276404432202,"KCNA5/KCNE2/ATP1B2/DPP6/FHL1/KCNIP4/NOS1/PRNP/KCNMB1/EDN3/CASQ2/AKAP6/ACTN2/FLNA/KCNN2/KCNIP2/VIP/ANK2/CAV1/KCNH2/GRP/KCNIP3/LRRC52/RGS4/MIR212/ABCC8/DPP10",27
"GO:1904062","regulation of monoatomic cation transmembrane transport","63/2227","297/17353",3.37274493862224e-05,0.00137913825759878,0.00119276404432202,"FXYD6/AHNAK/KCNE2/ADCYAP1R1/GSTM2/PLP1/GPER1/ATP1B2/DPP6/FHL1/GPD1L/BDKRB1/FXYD1/KCNIP4/NOS1/SLMAP/CACNB2/PLN/GLRX/SLC31A2/ATP4A/P2RX2/PRNP/ATP1A2/KCNMB1/EDN3/DMD/CASQ2/AKAP6/PIRT/ATP2B4/ACTN2/FLNA/SNTA1/KCNN2/KCNIP2/ANK2/JPH2/RYR2/CHP2/JPH4/TRPC1/TMEM38A/CAV1/JSRP1/SCN2B/KCNH2/SNCA/GRIN2A/SCN4B/FGF14/PDZK1/CASQ1/TMC1/GRP/KCNIP3/LRRC52/RGS4/STAC2/CD19/LHCGR/MIR212/DPP10",63
"GO:0051146","striated muscle cell differentiation","62/2227","291/17353",3.37808092915568e-05,0.00137913825759878,0.00119276404432202,"SYNPO2L/ACADM/RGS2/TPM1/PI16/NIBAN2/MYOM2/KLHL41/HOPX/DMPK/LMOD3/JAM2/MYL9/CSRP1/NOS1/MYMX/SORBS2/TMOD1/BARX2/PLEKHO1/MYOZ1/PGM5/ADRA1A/P2RX2/CFL2/MEIS1/AKAP6/ACTN2/LMOD1/ASB2/LDB3/BHLHA15/CACNA1H/MYOZ2/BVES/ADGRB3/CDON/ACTC1/MYH11/CSRP2/PLPP7/RBM24/POPDC2/MYOCD/MYH7/IRX3/SOX6/TNNT3/SMYD1/AVPR1A/ISL1/FLNC/ADAMTS15/SIK1/CASQ1/MYEF2/DNER/RGS4/TBX5/WNT3A/MYPN/KLHL40",62
"GO:0010565","regulation of cellular ketone metabolic process","35/2227","136/17353",3.40647850948363e-05,0.00138072661312452,0.0011941377523968,"KAT2B/GIP/ANXA1/APOA4/NR4A3/ACACB/PDK4/BMP6/APOC3/FABP5/EGR1/PLIN5/FMO4/ATP2B4/FMO2/FABP1/AKR1C3/ATCAY/ACADL/MFSD2A/CAV1/SNCA/BMP5/AVPR1A/WNT4/NR1H4/CYP7A1/CNR1/MALRD1/RGN/CES1/BHMT/UGT1A8/GHSR/ADIPOQ",35
"GO:0048662","negative regulation of smooth muscle cell proliferation","18/2227","51/17353",3.45113769187191e-05,0.00138883641114331,0.00120115160719362,"ACE2/NDRG2/NDRG4/CDKN1A/TPM1/CTNNBIP1/GPER1/NPR1/PDCD4/VIP/MYOCD/ANG/VIPR2/CNN1/MIR145/IL12A/OGN/ADIPOQ",18
"GO:0007620","copulation","10/2227","19/17353",3.63699200575192e-05,0.00145324914612811,0.00125685972337631,"SLC6A4/ADA/P2RY1/ABAT/VIP/AVPR1A/DDO/TAC1/CNR1/TACR1",10
"GO:0042692","muscle cell differentiation","79/2227","396/17353",3.67571582636196e-05,0.00145837908209319,0.00126129640920901,"SYNPO2L/ACADM/RGS2/TPM1/PI16/NIBAN2/MYOM2/KLHL41/FOXF1/GPER1/HOPX/DMPK/LMOD3/JAM2/MYL9/CSRP1/RORA/RBPMS2/PDCD4/NOS1/MYMX/SORBS2/TMOD1/BARX2/ITGA8/PLEKHO1/MYOZ1/PGM5/ADRA1A/P2RX2/CFL2/DMD/MEIS1/AKAP6/ACTN2/LMOD1/KIT/ASB2/LDB3/BHLHA15/CACNA1H/ANK2/MYOZ2/BVES/SPEG/ADGRB3/SMARCD3/CDON/ACTC1/MYH11/CSRP2/PLPP7/WFIKKN2/RBM24/POPDC2/MYOCD/ZEB1/MYH7/IRX3/MIR145/SOX6/TNNT3/SMYD1/AVPR1A/WNT4/ISL1/FLNC/SYPL2/ADAMTS15/SIK1/CASQ1/MYEF2/FGF10/DNER/RGS4/TBX5/WNT3A/MYPN/KLHL40",79
