"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Lipopolysaccharide 11970143 human GSE5504 sample 3483","1/132",0.631018989802208,0.983904221071494,0,0,1.01024642655874,0.465136974890384,"HOXC13"
"CADMIUM 23973 human GSE9951 sample 3404","2/287",0.636860592570155,0.983904221071494,0,0,0.92769084874348,0.418578283084463,"LIN28B;MMP3"
"NVP-TNKS656 (tankyrase inhibitor) 71227201 human GSE55624 sample 3247","2/293",0.648069010632981,0.983904221071494,0,0,0.908284573233027,0.393975782034381,"HOTAIR;HOXC10"
"N-NITROSODIMETHYLAMINE 6124 rat GSE5509 sample 3569","2/298",0.657200256010509,0.983904221071494,0,0,0.892713659605551,0.374731291315562,"APOA2;BAAT"
"TRICHLOROETHYLENE 6575 mouse GSE24278 sample 3322","2/299",0.659003806537773,0.983904221071494,0,0,0.88966238966239,0.371012319476105,"IGFBP1;WNT2"
"1-Naphthyl isothiocyanate 11080 rat GSE5509 sample 3568","2/299",0.659003806537773,0.983904221071494,0,0,0.88966238966239,0.371012319476105,"APOA2;BAAT"
"Monuron 8800 rat GSE51163 sample 2468","2/299",0.659003806537773,0.983904221071494,0,0,0.88966238966239,0.371012319476105,"IGFBP1;CLDN6"
"phorbol ester 12-O-tetradecanoylphorbol-13-acetate (TPA) 27924 mouse GSE40849 sample 3256","2/304",0.667908648227603,0.983904221071494,0,0,0.874709146232325,0.35303599562312,"MMP3;MMP8"
"NICKEL CHLORIDE 24385 rat GSE31503 sample 3280","2/305",0.669667113889267,0.983904221071494,0,0,0.871777718312372,0.349560665229648,"C4BPA;BAAT"
"CADMIUM 23973 human GSE9951 sample 3403","2/306",0.67141810632675,0.983904221071494,0,0,0.868865576102418,0.346124094536508,"LIN28B;MMP3"
"arsenic CID 5359596 human GSE20320 sample 2551","2/307",0.673161637905781,0.983904221071494,0,0,0.865972529906956,0.342725777547825,"MAGEA1;WNT2"
"TRICHLOROETHYLENE 6575 mouse GSE24278 sample 3320","2/311",0.68006141058827,0.983904221071494,0,0,0.854587597306044,0.329505198793111,"HOXC9;CPN1"
"resveratrol DB02709 human GSE41168 sample 3495","2/312",0.68176783101338,0.983904221071494,0,0,0.85178727114211,0.326290830396639,"CSAG3;HOXA11"
"bleomycin DB00290 human GSE3598 sample 3588","2/312",0.68176783101338,0.983904221071494,0,0,0.85178727114211,0.326290830396639,"C4BPA;HOXC10"
