"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"permethrin DB04930 rat GSE7955 sample 3417","1/308",0.903357836706207,0.96579705111918,0,0,0.427234768161249,0.0434226587499528,"ASAH2"
"Lipopolysaccharide 11970143 mouse GSE367 sample 3656","1/309",0.904093975231549,0.96579705111918,0,0,0.425825852000349,0.0429326008884174,"AQP4"
"isoflurane 3763 rat GSE6433 sample 3653","1/310",0.904824543394334,0.96579705111918,0,0,0.424426055037901,0.0424486445690649,"MAL"
"estradiol 5757 human GSE24592 sample 3344","1/310",0.904824543394334,0.96579705111918,0,0,0.424426055037901,0.0424486445690649,"KRT13"
"bleomycin DB00290 mouse GSE43695 sample 3104","1/311",0.905549583139499,0.96579705111918,0,0,0.423035289023598,0.0419707039475267,"CRCT1"
"atorvastatin DB01076 human GSE11393 sample 3401","1/311",0.905549583139499,0.96579705111918,0,0,0.423035289023598,0.0419707039475267,"KRT1"
"CADMIUM 23973 human GSE9951 sample 3404","1/313",0.906983243099183,0.96579705111918,0,0,0.420280502495268,0.0410325335553506,"ENPP7"
"alpha-Tocopherol 14985 mouse GSE8150 sample 3477","1/314",0.907691945540582,0.96579705111918,0,0,0.418916311083474,0.0405721389723351,"MAL"
"PLX4720 CID 24180719 human GSE50791 sample 2507","1/315",0.908395283964583,0.96579705111918,0,0,0.417560808788954,0.0401174304401664,"KRT13"
"PBDE 47 CID 95170 rat GSE19868 sample 3392","1/315",0.908395283964583,0.96579705111918,0,0,0.417560808788954,0.0401174304401664,"FABP2"
"isoflurane 3763 rat GSE6433 sample 3654","1/316",0.909093298653892,0.96579705111918,0,0,0.416213912858208,0.0396683288467203,"MAL"
"Lapatinib DB01259 human GSE38376 sample 2583","1/317",0.909786029602241,0.96579705111918,0,0,0.414875541585252,0.0392247563358325,"NCCRP1"
