gene,target_class,n_gastric,gastric_mean_CERES,gastric_median,gastric_min,gastric_frac_dep,pancancer_mean,pancancer_frac_dep,delta_gastric_minus_pan,gastric_dependent,gastric_selective
PIK3CA,PI3K/mTOR,35,-0.741986069432679,-0.597422847305221,-2.14053115827218,0.571428571428571,-0.485940874732148,0.390492359932088,-0.256045194700531,TRUE,TRUE
MTOR,PI3K/mTOR,35,-1.18409761774879,-1.12342690589097,-2.28364064117972,1,-1.17213610486515,0.98641765704584,-0.011961512883643,TRUE,FALSE
PIK3CB,PI3K/mTOR,35,-0.189122204995861,-0.151002389656571,-0.8598999193509,0.0571428571428571,-0.194975645866921,0.0602716468590832,0.00585344087105966,FALSE,FALSE
CDK4,CDK4/6,35,-0.824805563328897,-0.596448640673891,-3.02311584844052,0.657142857142857,-0.764634012173235,0.66723259762309,-0.0601715511556615,TRUE,FALSE
CDK6,CDK4/6,35,-0.548461011712995,-0.535151600208497,-1.26532315106237,0.514285714285714,-0.58818271498768,0.50509337860781,0.0397217032746853,TRUE,FALSE
FGFR1,FGFR,35,-0.0374985793855552,-0.000992429621020918,-0.776867959760859,0.0285714285714286,-0.123162296246623,0.0933786078098472,0.0856637168610678,FALSE,FALSE
FGFR2,FGFR,35,-0.220374126570849,-0.0364686587889942,-2.58809313346986,0.114285714285714,-0.031305704384206,0.0135823429541596,-0.189068422186643,FALSE,FALSE
FGFR3,FGFR,35,0.0617165798959611,0.0606449050079736,-0.208604434501287,0,0.0642924374320605,0.00509337860780985,-0.00257585753609939,FALSE,FALSE
FGFR4,FGFR,35,0.0579469022258624,0.068452752188163,-0.566891100774469,0.0285714285714286,0.031881378064155,0.00594227504244482,0.0260655241617074,FALSE,FALSE
