"score","EBV","MSI","GS","CIN","p_kruskal","p_adj_BH"
"CD8 T cells (MCP)",9.01417859728102,7.35220239120993,7.9334976201243,7.23896827701877,1.96916866858044e-07,1.96916866858044e-07
"T cells (MCP)",8.4933203874821,7.61904390426595,7.81273207741313,7.26538376833462,5.90274801027546e-08,8.85412201541319e-08
"ImmuneScore (xCell)",0.185402442667968,0.100133407316196,0.0870189826938441,0.040892649493934,2.2802799851933e-09,6.84083995557991e-09
