"population","median_tumor","median_normal","direction","p_wilcox","p_adj_BH"
"CD8 T cells (MCP)",7.44151709304525,7.85011764354191,"down_in_tumor",0.585294467595255,0.783907675881274
"Cytotoxic lymphocytes (MCP)",6.37136801052532,6.70780217307671,"down_in_tumor",0.618001226896381,0.783907675881274
"T cells (MCP)",7.52815447953158,7.630441022731,"down_in_tumor",0.671920865041092,0.783907675881274
"Monocytic lineage (MCP)",9.83617538791446,9.27594392562243,"up_in_tumor",0.00024575412105501,0.000860139423692534
"CD8+ T-cells (xCell)",0.00537133883304361,4.27885979982769e-18,"up_in_tumor",0.630048281012576,0.783907675881274
"Macrophages (xCell)",0.0190610663377671,0.00898868041409703,"up_in_tumor",0.000185005313240992,0.000860139423692534
"Monocytes (xCell)",2.60145729431537e-18,5.14087005318843e-18,"down_in_tumor",0.961317506774474,0.961317506774474
