"score","median_Diffuse","median_Intestinal","p_wilcox","p_adj_BH"
"CD8 T cells (MCP)",8.03786026160948,7.28211943752369,0.00349163268148583,0.00349163268148583
"T cells (MCP)",7.81150983792665,7.4059899785722,0.000239352721394994,0.000718058164184983
"ImmuneScore (xCell)",0.103403622698087,0.0576392219471756,0.00116807066471223,0.00175210599706834
