"gene","module","MM","GS","GS_trait","hubScore"
"PRICKLE1","turquoise",0.76,-0.074,"status_Tumor",0.056
"LGI2","turquoise",0.76,0.013,"status_Tumor",0.01
"PCP4L1","turquoise",0.759,-0.331,"status_Tumor",0.251
"MEOX2","turquoise",0.759,-0.088,"status_Tumor",0.066
"ZFHX4","turquoise",0.759,-0.036,"status_Tumor",0.027
"NPTX1","turquoise",0.758,-0.288,"status_Tumor",0.218
"MORN5","turquoise",0.758,-0.275,"status_Tumor",0.209
"GPM6B","turquoise",0.757,-0.421,"status_Tumor",0.319
"FAM181B","turquoise",0.757,-0.34,"status_Tumor",0.257
"PTPN5","turquoise",0.757,-0.191,"status_Tumor",0.145
"PLXNA4","turquoise",0.757,-0.052,"status_Tumor",0.039
"GPR88","turquoise",0.756,-0.128,"status_Tumor",0.097
"TTLL7","turquoise",0.755,-0.23,"status_Tumor",0.174
"SUSD5","turquoise",0.755,-0.131,"status_Tumor",0.099
"KCTD8","turquoise",0.754,-0.36,"status_Tumor",0.272
"FAM43B","turquoise",0.754,-0.169,"status_Tumor",0.128
"SSPN","turquoise",0.754,-0.165,"status_Tumor",0.124
"PPP1R1A","turquoise",0.753,-0.389,"status_Tumor",0.293
"RASGRP2","turquoise",0.753,-0.255,"status_Tumor",0.192
"ZNF354C","turquoise",0.753,-0.212,"status_Tumor",0.16
"GAP43","turquoise",0.753,-0.096,"status_Tumor",0.072
"MMRN1","turquoise",0.752,-0.381,"status_Tumor",0.287
"SCARA3","turquoise",0.752,-0.279,"status_Tumor",0.21
"CNTN2","turquoise",0.752,-0.238,"status_Tumor",0.179
"SNAP91","turquoise",0.752,-0.236,"status_Tumor",0.177
"COL21A1","turquoise",0.75,-0.239,"status_Tumor",0.18
"NPTXR","turquoise",0.75,-0.186,"status_Tumor",0.139
"LMO1","turquoise",0.75,-0.162,"status_Tumor",0.121
"CYP1B1","turquoise",0.75,-0.156,"status_Tumor",0.117
"DPT","turquoise",0.749,-0.534,"status_Tumor",0.4
"SLC5A7","turquoise",0.749,-0.415,"status_Tumor",0.311
"KL","turquoise",0.749,-0.281,"status_Tumor",0.21
"EVC2","turquoise",0.749,-0.196,"status_Tumor",0.147
"MEF2C","turquoise",0.749,-0.161,"status_Tumor",0.121
"LETR1","turquoise",0.749,-0.087,"status_Tumor",0.065
"GPIHBP1","turquoise",0.748,-0.319,"status_Tumor",0.238
"RELN","turquoise",0.748,-0.316,"status_Tumor",0.236
"FAT4","turquoise",0.748,-0.119,"status_Tumor",0.089
"SOX5","turquoise",0.747,-0.252,"status_Tumor",0.188
"TSPAN18","turquoise",0.747,-0.145,"status_Tumor",0.108
"THBS4","turquoise",0.747,0.051,"status_Tumor",0.038
"PTCHD1","turquoise",0.746,-0.327,"status_Tumor",0.244
"FENDRR","turquoise",0.746,-0.301,"status_Tumor",0.225
"LARP6","turquoise",0.746,-0.269,"status_Tumor",0.2
"ZNF568","turquoise",0.746,-0.258,"status_Tumor",0.192
"SOD3","turquoise",0.746,-0.236,"status_Tumor",0.176
"GRIN2A","turquoise",0.745,-0.275,"status_Tumor",0.205
"FAM110B","turquoise",0.745,-0.249,"status_Tumor",0.185
"CNTN4","turquoise",0.745,-0.2,"status_Tumor",0.149
"GASK1A","turquoise",0.745,-0.095,"status_Tumor",0.071
"WNT9A","turquoise",0.744,-0.234,"status_Tumor",0.174
"FAXC","turquoise",0.744,-0.233,"status_Tumor",0.173
"NR2F2-AS1","turquoise",0.744,-0.159,"status_Tumor",0.118
"MAN1C1","turquoise",0.743,-0.147,"status_Tumor",0.109
"IGF1","turquoise",0.743,-0.12,"status_Tumor",0.089
"ATOH8","turquoise",0.742,-0.383,"status_Tumor",0.284
"NRG2","turquoise",0.742,-0.366,"status_Tumor",0.272
"CTNNA3","turquoise",0.742,-0.243,"status_Tumor",0.18
"A2M","turquoise",0.742,-0.059,"status_Tumor",0.044
"ADHFE1","turquoise",0.741,-0.43,"status_Tumor",0.319
"ISL1-DT","turquoise",0.741,-0.166,"status_Tumor",0.123
"KLHL38","turquoise",0.741,-0.087,"status_Tumor",0.064
"CNGA3","turquoise",0.74,-0.277,"status_Tumor",0.205
"C3orf70","turquoise",0.74,-0.209,"status_Tumor",0.155
"COL19A1","turquoise",0.739,-0.233,"status_Tumor",0.172
"OLFML3","turquoise",0.739,-0.222,"status_Tumor",0.164
"TRPC4","turquoise",0.739,-0.127,"status_Tumor",0.094
"CGNL1","turquoise",0.738,-0.331,"status_Tumor",0.245
"NUDT11","turquoise",0.738,-0.188,"status_Tumor",0.139
"ANKRD35","turquoise",0.737,-0.424,"status_Tumor",0.312
"GPR17","turquoise",0.737,-0.27,"status_Tumor",0.199
"TAC1","turquoise",0.737,-0.222,"status_Tumor",0.163
"BMP3","turquoise",0.737,-0.212,"status_Tumor",0.156
"ASPA","turquoise",0.736,-0.471,"status_Tumor",0.347
"TACR2","turquoise",0.736,-0.257,"status_Tumor",0.19
"GRID1","turquoise",0.736,-0.155,"status_Tumor",0.114
"PLCXD3","turquoise",0.735,-0.385,"status_Tumor",0.283
"PRKAA2","turquoise",0.735,-0.276,"status_Tumor",0.203
"SLC18A3","turquoise",0.734,-0.307,"status_Tumor",0.226
"PNMA8A","turquoise",0.734,-0.114,"status_Tumor",0.084
"CXCL12","turquoise",0.733,-0.309,"status_Tumor",0.227
"ASXL3","turquoise",0.732,-0.286,"status_Tumor",0.209
"CBX6","turquoise",0.732,-0.193,"status_Tumor",0.142
"SELP","turquoise",0.732,-0.179,"status_Tumor",0.131
"RPRM","turquoise",0.731,-0.433,"status_Tumor",0.317
"ACTN2","turquoise",0.731,-0.256,"status_Tumor",0.187
"BEND6","turquoise",0.731,-0.03,"status_Tumor",0.022
"P2RY14","turquoise",0.73,-0.435,"status_Tumor",0.318
"SLC9A9","turquoise",0.73,-0.377,"status_Tumor",0.275
"PDE1C","turquoise",0.73,-0.338,"status_Tumor",0.247
"CRTAC1","turquoise",0.73,-0.317,"status_Tumor",0.231
"FOXD3","turquoise",0.73,-0.317,"status_Tumor",0.231
"LRRC4C","turquoise",0.73,-0.134,"status_Tumor",0.098
"CCDC136","turquoise",0.73,-0.086,"status_Tumor",0.063
"CHRD","turquoise",0.73,-0.072,"status_Tumor",0.052
"CSDC2","turquoise",0.73,-0.069,"status_Tumor",0.05
"ARL4D","turquoise",0.729,-0.347,"status_Tumor",0.253
"IGFBP5","turquoise",0.729,-0.21,"status_Tumor",0.153
"CARTPT","turquoise",0.728,-0.285,"status_Tumor",0.208
"TPO","turquoise",0.728,-0.248,"status_Tumor",0.181
"LRRTM1","turquoise",0.727,-0.352,"status_Tumor",0.256
"SELENOM","turquoise",0.727,-0.291,"status_Tumor",0.211
"LEPR","turquoise",0.727,-0.248,"status_Tumor",0.18
"GAS7","turquoise",0.727,-0.199,"status_Tumor",0.144
"SV2B","turquoise",0.727,-0.073,"status_Tumor",0.053
"CLDN5","turquoise",0.726,-0.364,"status_Tumor",0.264
"BARX1","turquoise",0.726,-0.176,"status_Tumor",0.128
"CACNA2D1","turquoise",0.726,-0.159,"status_Tumor",0.116
"LINC00578","turquoise",0.726,-0.034,"status_Tumor",0.025
"CHRDL2","turquoise",0.726,0.007,"status_Tumor",0.005
"CDON","turquoise",0.725,-0.177,"status_Tumor",0.129
"CTSF","turquoise",0.724,-0.303,"status_Tumor",0.219
"DYNC1I1","turquoise",0.724,-0.192,"status_Tumor",0.139
"EPHA3","turquoise",0.724,-0.021,"status_Tumor",0.015
"ELN","turquoise",0.724,0.003,"status_Tumor",0.002
"KCNN3","turquoise",0.723,-0.34,"status_Tumor",0.246
"SMYD1","turquoise",0.723,-0.193,"status_Tumor",0.139
"ADAMTS9-AS1","turquoise",0.722,-0.31,"status_Tumor",0.224
"ZNF728","turquoise",0.722,-0.164,"status_Tumor",0.118
"CH25H","turquoise",0.721,-0.261,"status_Tumor",0.188
"FBXO32","turquoise",0.721,-0.16,"status_Tumor",0.115
"ISM1","turquoise",0.721,-0.032,"status_Tumor",0.023
"RORB","turquoise",0.72,-0.27,"status_Tumor",0.194
"ZNF829","turquoise",0.72,-0.24,"status_Tumor",0.173
"REEP1","turquoise",0.719,-0.298,"status_Tumor",0.214
"MYOM1","turquoise",0.719,-0.285,"status_Tumor",0.205
"TMEM132C","turquoise",0.718,-0.426,"status_Tumor",0.306
"PKIA","turquoise",0.718,-0.274,"status_Tumor",0.197
"PTGFR","turquoise",0.718,-0.08,"status_Tumor",0.058
"IGSF11","turquoise",0.717,-0.353,"status_Tumor",0.253
"TAFA4","turquoise",0.717,-0.322,"status_Tumor",0.231
"IGFBP4","turquoise",0.717,-0.141,"status_Tumor",0.101
"GEM","turquoise",0.717,-0.135,"status_Tumor",0.097
"CHODL","turquoise",0.716,-0.432,"status_Tumor",0.31
"PDK4","turquoise",0.716,-0.374,"status_Tumor",0.268
"LYNX1","turquoise",0.716,-0.266,"status_Tumor",0.19
"PENK","turquoise",0.716,-0.218,"status_Tumor",0.156
"ADD2","turquoise",0.716,-0.13,"status_Tumor",0.093
"WDR17","turquoise",0.715,-0.288,"status_Tumor",0.206
"MUSK","turquoise",0.715,-0.268,"status_Tumor",0.191
"APOD","turquoise",0.715,-0.177,"status_Tumor",0.127
"KCNK2","turquoise",0.715,-0.16,"status_Tumor",0.114
"IGFBP6","turquoise",0.714,-0.417,"status_Tumor",0.298
"LINC00092","turquoise",0.714,-0.376,"status_Tumor",0.268
"MTUS2","turquoise",0.714,-0.37,"status_Tumor",0.264
"ANKRD65","turquoise",0.713,-0.356,"status_Tumor",0.254
"PNCK","turquoise",0.713,-0.32,"status_Tumor",0.228
"NMUR1","turquoise",0.713,-0.247,"status_Tumor",0.176
"DTX3","turquoise",0.713,-0.226,"status_Tumor",0.161
"ADCYAP1","turquoise",0.712,-0.209,"status_Tumor",0.149
"LOC392787","turquoise",0.712,-0.2,"status_Tumor",0.142
"WSCD2","turquoise",0.711,-0.344,"status_Tumor",0.245
"ZNF662","turquoise",0.711,-0.32,"status_Tumor",0.228
"TRAM1L1","turquoise",0.711,-0.181,"status_Tumor",0.129
"PAPLN","turquoise",0.711,-0.145,"status_Tumor",0.103
"RGS7BP","turquoise",0.711,-0.132,"status_Tumor",0.094
"NAV3","turquoise",0.711,-0.009,"status_Tumor",0.007
"SHISA9","turquoise",0.71,-0.277,"status_Tumor",0.197
"SHISA3","turquoise",0.71,-0.235,"status_Tumor",0.167
"ZNF727","turquoise",0.71,-0.199,"status_Tumor",0.141
"CHRNA3","turquoise",0.71,-0.105,"status_Tumor",0.075
"PDLIM4","turquoise",0.709,-0.29,"status_Tumor",0.206
"SNTG2","turquoise",0.709,-0.274,"status_Tumor",0.194
"CILP","turquoise",0.709,-0.18,"status_Tumor",0.127
"CNTNAP3B","turquoise",0.709,-0.174,"status_Tumor",0.123
"FABP4","turquoise",0.708,-0.365,"status_Tumor",0.258
"VWC2","turquoise",0.708,-0.336,"status_Tumor",0.238
"THSD7B","turquoise",0.708,-0.014,"status_Tumor",0.01
"CACNA2D3","turquoise",0.707,-0.356,"status_Tumor",0.251
"CTSG","turquoise",0.707,-0.347,"status_Tumor",0.245
"PRDM5","turquoise",0.707,-0.191,"status_Tumor",0.135
"KIT","turquoise",0.706,-0.361,"status_Tumor",0.255
"FOXF2","turquoise",0.706,-0.324,"status_Tumor",0.229
"LSAMP","turquoise",0.706,-0.043,"status_Tumor",0.03
"NOS1","turquoise",0.705,-0.349,"status_Tumor",0.246
"SCN3B","turquoise",0.705,-0.183,"status_Tumor",0.129
"FGF10-AS1","turquoise",0.705,-0.143,"status_Tumor",0.1
"DPY19L2","turquoise",0.705,-0.103,"status_Tumor",0.073
"MOXD1","turquoise",0.704,-0.119,"status_Tumor",0.084
"LINC02613","turquoise",0.703,-0.264,"status_Tumor",0.186
"GFOD3P","turquoise",0.703,-0.237,"status_Tumor",0.167
"PHF24","turquoise",0.703,-0.228,"status_Tumor",0.161
"CELF2","turquoise",0.702,-0.266,"status_Tumor",0.186
"FHOD3","turquoise",0.702,-0.171,"status_Tumor",0.12
"GNG7","turquoise",0.701,-0.502,"status_Tumor",0.352
"SV2A","turquoise",0.701,-0.117,"status_Tumor",0.082
"ZBTB20","turquoise",0.701,-0.097,"status_Tumor",0.068
"NRK","turquoise",0.701,0.021,"status_Tumor",0.015
"HLF","turquoise",0.7,-0.393,"status_Tumor",0.275
"PRDM8","turquoise",0.7,-0.295,"status_Tumor",0.206
"PCBP3","turquoise",0.7,-0.079,"status_Tumor",0.055
"LINC02593","turquoise",0.699,-0.219,"status_Tumor",0.153
"GRIA1","turquoise",0.699,-0.21,"status_Tumor",0.147
"LDLRAD4","turquoise",0.699,-0.122,"status_Tumor",0.085
"KCNA6","turquoise",0.698,-0.249,"status_Tumor",0.174
"GALNT17","turquoise",0.698,-0.219,"status_Tumor",0.153
"TCF21","turquoise",0.697,-0.317,"status_Tumor",0.221
"PCDHGC3","turquoise",0.697,-0.245,"status_Tumor",0.171
"WASF3","turquoise",0.697,-0.217,"status_Tumor",0.151
"CMA1","turquoise",0.696,-0.407,"status_Tumor",0.283
"RSPO2","turquoise",0.696,-0.38,"status_Tumor",0.264
"LONRF2","turquoise",0.696,-0.273,"status_Tumor",0.19
"SAMD11","turquoise",0.696,-0.189,"status_Tumor",0.132
"SCARA5","turquoise",0.694,-0.48,"status_Tumor",0.333
"NSG2","turquoise",0.694,-0.354,"status_Tumor",0.246
"MAPT","turquoise",0.694,-0.255,"status_Tumor",0.177
"PAK3","turquoise",0.694,-0.154,"status_Tumor",0.107
"SNRPN","turquoise",0.693,-0.381,"status_Tumor",0.264
"LRRK2","turquoise",0.693,-0.255,"status_Tumor",0.177
"PCDHGA2","turquoise",0.693,-0.177,"status_Tumor",0.123
"PCDH19","turquoise",0.692,-0.328,"status_Tumor",0.226
"RIMS1","turquoise",0.692,-0.324,"status_Tumor",0.224
"CDH23","turquoise",0.692,-0.231,"status_Tumor",0.16
"TRIM9","turquoise",0.692,-0.129,"status_Tumor",0.089
"PCDHB5","turquoise",0.692,-0.091,"status_Tumor",0.063
"ITIH3","turquoise",0.692,-0.08,"status_Tumor",0.055
"KCNA2","turquoise",0.691,-0.375,"status_Tumor",0.259
"ZNF626","turquoise",0.691,-0.33,"status_Tumor",0.228
"C11orf96","turquoise",0.691,-0.3,"status_Tumor",0.207
"ESR1","turquoise",0.691,-0.214,"status_Tumor",0.148
"RGS4","turquoise",0.691,-0.126,"status_Tumor",0.087
"SULT1C4","turquoise",0.691,-0.094,"status_Tumor",0.065
"ELOVL4","turquoise",0.69,-0.277,"status_Tumor",0.191
"MYEF2","turquoise",0.69,-0.2,"status_Tumor",0.138
"SEZ6L","turquoise",0.689,-0.327,"status_Tumor",0.225
"LINC01018","turquoise",0.689,-0.31,"status_Tumor",0.214
"SEMA3G","turquoise",0.689,-0.197,"status_Tumor",0.136
"LINC00924","turquoise",0.689,-0.073,"status_Tumor",0.05
"KCNIP1","turquoise",0.689,-0.031,"status_Tumor",0.021
"VEGFD","turquoise",0.688,-0.534,"status_Tumor",0.367
"EMILIN3","turquoise",0.688,-0.463,"status_Tumor",0.318
"SNAP25","turquoise",0.688,-0.187,"status_Tumor",0.129
"GRPR","turquoise",0.688,-0.164,"status_Tumor",0.113
"PART1","turquoise",0.687,-0.38,"status_Tumor",0.261
"RTL3","turquoise",0.687,-0.158,"status_Tumor",0.108
"TMEFF2","turquoise",0.686,-0.302,"status_Tumor",0.207
"RGS5","turquoise",0.686,-0.256,"status_Tumor",0.176
"NCS1","turquoise",0.686,-0.199,"status_Tumor",0.137
"MKX","turquoise",0.686,-0.115,"status_Tumor",0.079
"MYOZ3","turquoise",0.686,-0.014,"status_Tumor",0.009
"LINC02984","turquoise",0.685,-0.197,"status_Tumor",0.135
"PHOX2A","turquoise",0.684,-0.287,"status_Tumor",0.196
"SNCA","turquoise",0.684,-0.256,"status_Tumor",0.175
"NTNG1","turquoise",0.684,-0.209,"status_Tumor",0.143
"CYP7B1","turquoise",0.684,-0.097,"status_Tumor",0.067
"PTCH2","turquoise",0.684,0.095,"status_Tumor",0.065
"C16orf89","turquoise",0.683,-0.48,"status_Tumor",0.328
"TNN","turquoise",0.683,-0.006,"status_Tumor",0.004
"KLF8","turquoise",0.682,-0.315,"status_Tumor",0.215
"ZSCAN23","turquoise",0.681,-0.198,"status_Tumor",0.134
"MAP9","turquoise",0.681,-0.172,"status_Tumor",0.117
"CCN5","turquoise",0.679,-0.476,"status_Tumor",0.323
"SLC17A7","turquoise",0.679,-0.326,"status_Tumor",0.222
"SLC8A2","turquoise",0.679,-0.221,"status_Tumor",0.15
"SORCS2","turquoise",0.679,-0.106,"status_Tumor",0.072
"PEBP4","turquoise",0.678,-0.508,"status_Tumor",0.344
"SYNGR1","turquoise",0.678,-0.34,"status_Tumor",0.23
"AVPR2","turquoise",0.678,-0.2,"status_Tumor",0.136
"FGF13","turquoise",0.677,-0.23,"status_Tumor",0.155
"LOC101928847","turquoise",0.676,-0.288,"status_Tumor",0.195
"EBF4","turquoise",0.676,-0.191,"status_Tumor",0.129
"RNF217-AS1","turquoise",0.676,-0.153,"status_Tumor",0.104
"ZNF208","turquoise",0.676,-0.129,"status_Tumor",0.087
"KERA","turquoise",0.676,-0.042,"status_Tumor",0.028
"BHLHE22","turquoise",0.675,-0.067,"status_Tumor",0.045
"PRDM6","turquoise",0.675,-0.06,"status_Tumor",0.041
"ADRB2","turquoise",0.674,-0.483,"status_Tumor",0.326
"FGD1","turquoise",0.674,-0.14,"status_Tumor",0.094
"LOC107984948","turquoise",0.674,0.059,"status_Tumor",0.04
"FRMPD3","turquoise",0.674,-0.05,"status_Tumor",0.034
"SHC4","turquoise",0.674,0.024,"status_Tumor",0.016
"COL4A6","turquoise",0.673,-0.395,"status_Tumor",0.266
"FCER1A","turquoise",0.673,-0.371,"status_Tumor",0.25
"STK32A","turquoise",0.673,-0.185,"status_Tumor",0.124
"SERTM2","turquoise",0.673,-0.17,"status_Tumor",0.114
"SCN11A","turquoise",0.673,-0.118,"status_Tumor",0.079
"ACSS3","turquoise",0.673,-0.083,"status_Tumor",0.056
"ZNF570","turquoise",0.672,-0.235,"status_Tumor",0.158
"GDF6","turquoise",0.672,-0.107,"status_Tumor",0.072
"CLEC3B","turquoise",0.671,-0.573,"status_Tumor",0.385
"ADGRL2","turquoise",0.671,-0.151,"status_Tumor",0.101
"ID4","turquoise",0.67,-0.395,"status_Tumor",0.264
"RNLS","turquoise",0.67,-0.354,"status_Tumor",0.237
"ITGA8","turquoise",0.67,-0.332,"status_Tumor",0.222
"LRRC10B","turquoise",0.67,-0.218,"status_Tumor",0.146
"FIGN","turquoise",0.67,-0.149,"status_Tumor",0.1
"KCNQ5","turquoise",0.669,-0.308,"status_Tumor",0.206
"SORCS3","turquoise",0.669,-0.295,"status_Tumor",0.198
"GDF7","turquoise",0.668,-0.347,"status_Tumor",0.232
"IGSF10","turquoise",0.668,-0.277,"status_Tumor",0.185
"ACTC1","turquoise",0.668,-0.226,"status_Tumor",0.151
"CSPG4","turquoise",0.668,-0.145,"status_Tumor",0.097
"NCAM2","turquoise",0.668,-0.099,"status_Tumor",0.066
"NOG","turquoise",0.668,-0.054,"status_Tumor",0.036
"COL4A5","turquoise",0.667,-0.315,"status_Tumor",0.21
"GPER1","turquoise",0.666,-0.386,"status_Tumor",0.257
"LPAR1","turquoise",0.666,-0.344,"status_Tumor",0.229
"HSPB3","turquoise",0.666,-0.33,"status_Tumor",0.22
"TGFBR3","turquoise",0.666,-0.294,"status_Tumor",0.196
"SYT15B","turquoise",0.666,-0.232,"status_Tumor",0.154
"PALMD","turquoise",0.666,-0.213,"status_Tumor",0.142
"ZDBF2","turquoise",0.666,-0.186,"status_Tumor",0.124
"WSCD1","turquoise",0.666,-0.185,"status_Tumor",0.123
"CALY","turquoise",0.665,-0.352,"status_Tumor",0.234
"RND2","turquoise",0.665,-0.28,"status_Tumor",0.186
"RPS6KA6","turquoise",0.664,-0.38,"status_Tumor",0.253
"PTPN13","turquoise",0.663,-0.26,"status_Tumor",0.172
"MPP2","turquoise",0.663,-0.222,"status_Tumor",0.147
"TMEM130","turquoise",0.663,-0.047,"status_Tumor",0.031
"GNAI1","turquoise",0.662,-0.289,"status_Tumor",0.191
"RBFOX3","turquoise",0.662,-0.258,"status_Tumor",0.171
"KCNH2","turquoise",0.662,-0.212,"status_Tumor",0.141
"TUSC3","turquoise",0.662,-0.198,"status_Tumor",0.131
"CSRNP3","turquoise",0.662,-0.174,"status_Tumor",0.116
"PCSK2","turquoise",0.661,-0.453,"status_Tumor",0.299
"LGI1","turquoise",0.661,-0.396,"status_Tumor",0.262
"FGL2","turquoise",0.661,-0.312,"status_Tumor",0.206
"NPR3","turquoise",0.661,-0.245,"status_Tumor",0.162
"FRMD6","turquoise",0.661,-0.161,"status_Tumor",0.106
"SLC7A14","turquoise",0.659,-0.21,"status_Tumor",0.139
"SMO","turquoise",0.659,-0.162,"status_Tumor",0.107
"NEFL","turquoise",0.658,-0.334,"status_Tumor",0.22
"ZNF385B","turquoise",0.658,-0.292,"status_Tumor",0.192
"VLDLR","turquoise",0.658,-0.276,"status_Tumor",0.181
"MEOX1","turquoise",0.658,-0.194,"status_Tumor",0.128
"NIPAL4","turquoise",0.657,-0.305,"status_Tumor",0.2
"LIX1","turquoise",0.657,-0.226,"status_Tumor",0.148
"UBE2QL1","turquoise",0.656,-0.404,"status_Tumor",0.265
"KY","turquoise",0.656,-0.347,"status_Tumor",0.227
"DGKG","turquoise",0.656,-0.336,"status_Tumor",0.22
"PPP2R2B","turquoise",0.656,-0.298,"status_Tumor",0.196
"SYT15","turquoise",0.656,-0.229,"status_Tumor",0.15
"ZNF418","turquoise",0.656,-0.191,"status_Tumor",0.125
"ANKRD6","turquoise",0.656,-0.141,"status_Tumor",0.093
"HMCN2","turquoise",0.655,-0.187,"status_Tumor",0.123
"LRRN2","turquoise",0.655,-0.09,"status_Tumor",0.059
"SESN3","turquoise",0.654,-0.167,"status_Tumor",0.109
"RYR2","turquoise",0.653,-0.24,"status_Tumor",0.157
"DYNC2H1","turquoise",0.652,-0.133,"status_Tumor",0.087
"TSLP","turquoise",0.651,-0.396,"status_Tumor",0.258
"PLA2G5","turquoise",0.651,-0.242,"status_Tumor",0.158
"ZNF569","turquoise",0.651,-0.235,"status_Tumor",0.153
"PRTG","turquoise",0.651,-0.006,"status_Tumor",0.004
"ZNF536","turquoise",0.65,-0.397,"status_Tumor",0.258
"SLC8A3","turquoise",0.65,-0.261,"status_Tumor",0.169
"PCA3","turquoise",0.65,-0.097,"status_Tumor",0.063
"ODAD2","turquoise",0.649,-0.089,"status_Tumor",0.058
"ISLR2","turquoise",0.649,-0.01,"status_Tumor",0.006
"SORBS2","turquoise",0.648,-0.33,"status_Tumor",0.214
"ARHGEF26-AS1","turquoise",0.648,-0.248,"status_Tumor",0.161
"PRG4","turquoise",0.648,0.017,"status_Tumor",0.011
"GREM1-AS1","turquoise",0.648,-0.007,"status_Tumor",0.004
"RANBP3L","turquoise",0.647,-0.357,"status_Tumor",0.231
"CRLF1","turquoise",0.647,-0.179,"status_Tumor",0.116
"SLITRK2","turquoise",0.647,-0.169,"status_Tumor",0.109
"GRIK2","turquoise",0.646,-0.234,"status_Tumor",0.151
"TSPAN11","turquoise",0.646,-0.161,"status_Tumor",0.104
"CLDN11","turquoise",0.646,-0.119,"status_Tumor",0.077
"LYVE1","turquoise",0.645,-0.474,"status_Tumor",0.306
"GABRA5","turquoise",0.645,-0.327,"status_Tumor",0.211
"CHL1","turquoise",0.645,-0.323,"status_Tumor",0.208
"PDE9A","turquoise",0.645,-0.249,"status_Tumor",0.161
"OSBPL6","turquoise",0.645,-0.245,"status_Tumor",0.158
"ATRNL1","turquoise",0.645,-0.237,"status_Tumor",0.152
"CRISPLD1","turquoise",0.645,0.177,"status_Tumor",0.114
"GPBAR1","turquoise",0.645,-0.128,"status_Tumor",0.082
"RIMKLB","turquoise",0.645,-0.118,"status_Tumor",0.076
"RASGEF1C","turquoise",0.644,-0.3,"status_Tumor",0.193
"PTX3","turquoise",0.644,-0.283,"status_Tumor",0.182
"HOXA2","turquoise",0.644,-0.217,"status_Tumor",0.14
"RAB3C","turquoise",0.643,-0.163,"status_Tumor",0.105
"GREM1","turquoise",0.643,0.07,"status_Tumor",0.045
"VIT","turquoise",0.642,-0.439,"status_Tumor",0.282
"RBP7","turquoise",0.642,-0.354,"status_Tumor",0.228
"SV2C","turquoise",0.642,-0.332,"status_Tumor",0.213
"PHYHD1","turquoise",0.641,-0.394,"status_Tumor",0.253
"GALNT15","turquoise",0.641,-0.288,"status_Tumor",0.185
"RAB6B","turquoise",0.641,-0.283,"status_Tumor",0.182
"CDK15","turquoise",0.641,-0.223,"status_Tumor",0.143
"CTF1","turquoise",0.64,-0.232,"status_Tumor",0.149
"TSHZ2","turquoise",0.639,-0.027,"status_Tumor",0.017
"PTENP1-AS","turquoise",0.638,-0.265,"status_Tumor",0.169
"NPY1R","turquoise",0.638,-0.231,"status_Tumor",0.148
"DIRAS1","turquoise",0.637,-0.359,"status_Tumor",0.229
"CAMK2A","turquoise",0.637,-0.196,"status_Tumor",0.125
"LRRC17","turquoise",0.637,-0.149,"status_Tumor",0.095
"TSC22D3","turquoise",0.636,-0.409,"status_Tumor",0.26
"A4GALT","turquoise",0.636,-0.238,"status_Tumor",0.151
"C1QTNF3","turquoise",0.636,-0.229,"status_Tumor",0.146
"CAMK1D","turquoise",0.636,-0.218,"status_Tumor",0.139
"HACD1","turquoise",0.635,-0.299,"status_Tumor",0.19
"TMEM255A","turquoise",0.635,-0.264,"status_Tumor",0.168
"HHIP-AS1","turquoise",0.635,-0.182,"status_Tumor",0.116
"SIX2","turquoise",0.635,-0.118,"status_Tumor",0.075
"MEG3","turquoise",0.634,-0.089,"status_Tumor",0.057
"BACH2","turquoise",0.634,-0.08,"status_Tumor",0.051
"MDGA1","turquoise",0.633,-0.225,"status_Tumor",0.143
"COL25A1","turquoise",0.633,-0.147,"status_Tumor",0.093
"CHST10","turquoise",0.633,-0.125,"status_Tumor",0.079
"ZNF415","turquoise",0.631,-0.248,"status_Tumor",0.157
"RGS2","turquoise",0.63,-0.385,"status_Tumor",0.243
"GGTA1","turquoise",0.63,-0.376,"status_Tumor",0.237
"GSPT2","turquoise",0.629,-0.233,"status_Tumor",0.147
"CLVS2","turquoise",0.629,-0.154,"status_Tumor",0.097
"KLF17","turquoise",0.629,0.064,"status_Tumor",0.04
"HIF3A","turquoise",0.628,-0.254,"status_Tumor",0.159
"CCN3","turquoise",0.628,-0.11,"status_Tumor",0.069
"PDGFRL","turquoise",0.628,-0.093,"status_Tumor",0.058
"GFRA3","turquoise",0.627,-0.343,"status_Tumor",0.215
"SLC16A7","turquoise",0.627,-0.33,"status_Tumor",0.207
"DIRAS3","turquoise",0.627,-0.265,"status_Tumor",0.166
"ADGRB1","turquoise",0.627,-0.156,"status_Tumor",0.098
"ZNF528-AS1","turquoise",0.627,-0.11,"status_Tumor",0.069
"FAM66B","turquoise",0.626,-0.242,"status_Tumor",0.151
"IL33","turquoise",0.626,-0.206,"status_Tumor",0.129
"AP3B2","turquoise",0.626,-0.165,"status_Tumor",0.103
"GPX3","turquoise",0.625,-0.52,"status_Tumor",0.325
"PPP2R3A","turquoise",0.625,-0.328,"status_Tumor",0.205
"DGKB","turquoise",0.625,-0.242,"status_Tumor",0.151
"KIF5A","turquoise",0.625,-0.178,"status_Tumor",0.111
"TNC","turquoise",0.625,-0.001,"status_Tumor",0
"CHIC1","turquoise",0.624,-0.17,"status_Tumor",0.106
"RGS22","turquoise",0.624,-0.108,"status_Tumor",0.067
"SYT4","turquoise",0.623,-0.297,"status_Tumor",0.185
