"gene","module","MM","GS","GS_trait","hubScore","cox_HR","cox_p"
"PI15","red",0.483,0.311,"Leukocyte_pct",0.15,1.105,0.00805
"DNM1","red",0.483,0.059,"Leukocyte_pct",0.029,1.06,0.33
"SOX11","red",0.478,-0.11,"Leukocyte_pct",0.053,1.017,0.787
"GPSM1","red",0.475,0.087,"Leukocyte_pct",0.041,1.108,0.119
"KIF26B","red",0.474,0.05,"Leukocyte_pct",0.024,1.041,0.497
"LINC02257","red",0.469,0.088,"Leukocyte_pct",0.041,1.102,0.123
"ECEL1","red",0.467,0.308,"Leukocyte_pct",0.144,1.042,0.333
"APLNR","red",0.464,0.478,"Leukocyte_pct",0.222,1.168,0.0188
"FADS2","red",0.463,0.131,"Leukocyte_pct",0.061,1.047,0.434
"FKBP10","red",0.461,0.023,"Leukocyte_pct",0.011,1.189,0.000728
"MC2R","red",0.458,0.087,"Leukocyte_pct",0.04,1.139,0.107
"APELA","red",0.454,0.167,"Leukocyte_pct",0.076,1.045,0.47
"EFNB3","red",0.453,0.121,"Leukocyte_pct",0.055,1.158,0.00943
"C5orf46","red",0.451,-0.048,"Leukocyte_pct",0.022,1.114,0.0221
"TMEM158","red",0.444,0.179,"Leukocyte_pct",0.08,0.946,0.442
"NKAIN4","red",0.441,-0.006,"Leukocyte_pct",0.003,1.188,0.00028
"ELOVL2","red",0.438,0.153,"Leukocyte_pct",0.067,1.209,0.000154
"IGLON5","red",0.438,0.043,"Leukocyte_pct",0.019,1.11,0.0796
"PMEPA1","red",0.436,-0.082,"Leukocyte_pct",0.036,1.053,0.39
"FADS1","red",0.428,0.07,"Leukocyte_pct",0.03,1.141,0.0445
"TGM2","red",0.424,0.296,"Leukocyte_pct",0.126,1.088,0.167
"EVA1A","red",0.423,-0.111,"Leukocyte_pct",0.047,1.044,0.413
"H19","red",0.419,-0.015,"Leukocyte_pct",0.006,1.08,0.0147
"SELE","red",0.415,0.361,"Leukocyte_pct",0.15,1.117,0.0204
"TMEM200A","red",0.41,0.109,"Leukocyte_pct",0.045,1.183,0.00289
"GSDME","red",0.409,0.086,"Leukocyte_pct",0.035,1.169,0.00937
"OLFM2","red",0.408,0.238,"Leukocyte_pct",0.097,1.034,0.535
"IL6","red",0.401,0.325,"Leukocyte_pct",0.13,1.09,0.0327
"RHOBTB3","red",0.4,-0.037,"Leukocyte_pct",0.015,1.169,0.0154
"DIO3","red",0.396,0.194,"Leukocyte_pct",0.077,1.054,0.191
"GLIS3","red",0.396,0.16,"Leukocyte_pct",0.063,1.092,0.105
"NKILA","red",0.395,-0.118,"Leukocyte_pct",0.047,1.083,0.145
"STMN3","red",0.394,0.154,"Leukocyte_pct",0.061,0.997,0.953
"OXTR","red",0.392,-0.015,"Leukocyte_pct",0.006,1.115,0.117
"MXRA5Y","red",0.389,0.212,"Leukocyte_pct",0.082,1.037,0.385
"STRA6","red",0.388,0.025,"Leukocyte_pct",0.01,1.018,0.637
"SLN","red",0.381,0.095,"Leukocyte_pct",0.036,1.087,0.13
"MMP13","red",0.38,-0.036,"Leukocyte_pct",0.014,1.047,0.237
"BST1","red",0.379,0.322,"Leukocyte_pct",0.122,1.22,0.00592
"SRRM3","red",0.378,0.051,"Leukocyte_pct",0.019,1.04,0.474
"PCDHB2","red",0.377,0.05,"Leukocyte_pct",0.019,1.189,0.00161
"L1TD1","red",0.374,0.271,"Leukocyte_pct",0.101,1.047,0.436
"PCDHB16","red",0.374,0.021,"Leukocyte_pct",0.008,1.12,0.0506
"RARRES1","red",0.371,0.29,"Leukocyte_pct",0.107,1.033,0.468
"WT1","red",0.368,0.036,"Leukocyte_pct",0.013,1.088,0.0303
"PYGL","red",0.367,0.231,"Leukocyte_pct",0.085,1.121,0.0521
"CST1","red",0.366,-0.134,"Leukocyte_pct",0.049,1.008,0.806
"F2RL3","red",0.363,0.38,"Leukocyte_pct",0.138,1.171,0.0184
"ALPL","red",0.359,0.361,"Leukocyte_pct",0.129,1.077,0.179
"MFAP3L","red",0.354,-0.018,"Leukocyte_pct",0.006,1.107,0.0622
"PRSS35","red",0.352,0.072,"Leukocyte_pct",0.025,1.168,0.00772
"ALKAL1","red",0.349,0.012,"Leukocyte_pct",0.004,1.072,0.158
"INHBB","red",0.345,-0.024,"Leukocyte_pct",0.008,1.057,0.21
"ACAN","red",0.344,0.07,"Leukocyte_pct",0.024,0.998,0.974
"HMGA2-AS1","red",0.341,-0.049,"Leukocyte_pct",0.017,1.136,0.0266
"IGF2-AS","red",0.339,-0.081,"Leukocyte_pct",0.028,1.066,0.292
"CEMIP","red",0.339,0.012,"Leukocyte_pct",0.004,0.986,0.729
"GRIP2","red",0.337,0.285,"Leukocyte_pct",0.096,0.989,0.868
"IFIT1","red",0.335,0.279,"Leukocyte_pct",0.093,1.1,0.0802
"COL7A1","red",0.328,0.007,"Leukocyte_pct",0.002,0.982,0.728
"COL22A1","red",0.322,0.102,"Leukocyte_pct",0.033,1.046,0.351
"LINC02985","red",0.32,0.083,"Leukocyte_pct",0.027,1.064,0.263
"PCDHGB2","red",0.319,0.053,"Leukocyte_pct",0.017,0.986,0.807
"PTGS2","red",0.317,0.188,"Leukocyte_pct",0.06,1.092,0.0444
"DLX5","red",0.316,-0.037,"Leukocyte_pct",0.012,1.113,0.0324
"ILDR2","red",0.314,-0.225,"Leukocyte_pct",0.071,1.076,0.156
"IGFL2","red",0.314,0.106,"Leukocyte_pct",0.033,1.031,0.498
"SHOX2","red",0.305,-0.069,"Leukocyte_pct",0.021,1.157,0.00476
"KHDRBS3","red",0.305,-0.04,"Leukocyte_pct",0.012,1.023,0.699
"CTXN1","red",0.305,0.036,"Leukocyte_pct",0.011,1.052,0.358
"RASL10B","red",0.304,-0.066,"Leukocyte_pct",0.02,1.081,0.1
"KIAA1549L","red",0.303,-0.025,"Leukocyte_pct",0.008,1.073,0.108
"CCL26","red",0.296,0.13,"Leukocyte_pct",0.038,1.042,0.376
"WNT5A","red",0.294,0.081,"Leukocyte_pct",0.024,1.094,0.175
"BEAN1","red",0.294,0.027,"Leukocyte_pct",0.008,1.007,0.907
"PCDHB9","red",0.288,0.019,"Leukocyte_pct",0.006,1.04,0.535
"CACNA1E","red",0.287,0.116,"Leukocyte_pct",0.033,1.032,0.453
"FGF18","red",0.285,0.041,"Leukocyte_pct",0.012,0.964,0.52
"GABRD","red",0.284,0.04,"Leukocyte_pct",0.011,0.99,0.894
"UCN2","red",0.283,0.009,"Leukocyte_pct",0.003,1.042,0.498
"PTK7","red",0.282,-0.164,"Leukocyte_pct",0.046,1.009,0.884
"CYP27A1","red",0.278,0.154,"Leukocyte_pct",0.043,1.077,0.214
"IGFL3","red",0.272,0.001,"Leukocyte_pct",0,1.12,0.0805
"LIF","red",0.268,0.092,"Leukocyte_pct",0.025,0.969,0.633
"PCDHGB1","red",0.267,-0.062,"Leukocyte_pct",0.016,1.018,0.729
"IBSP","red",0.259,-0.203,"Leukocyte_pct",0.053,1.058,0.183
